,folder,file,headers
0,FILES,cfg_ad_common.csv,"['ad_login_gift1_gold', 'ad_login_gift1_offline_time', 'ad_login_gift2_gold', 'ad_login_gift2_offline_time']"
1,FILES,cfg_battle_array.csv,"['id', 'type', 'team_alive_count', 'attribute_change_value', 'attribute_change_permillage']"
2,FILES,cfg_big_region.csv,"['id', 'name', 'game_url', 'log_url', 'is_default', 'need_ping', 'test_game_url', 'test_log_url', 'short_name', 'ai_help_tag']"
3,FILES,cfg_chat_bubble.csv,"['id', 'name', 'quality', 'end_time', 'icon_thing', 'icon_left', 'icon_right', 'desc', 'is_permanent', 'expiration_time']"
4,FILES,cfg_checkerboard.csv,"['cfg_id', 'type', 'minutes', 'level_low', 'level_high', 'weight', 'reward_str', 'releation_cfg_id', 'if_once', 'desc']"
5,FILES,cfg_common_global.csv,"['REQUEST_WAIT_TIME_WHEN_RETURN_FAIL', 'SKILL_NORMAL_ATTACK_ROUND', 'FAST_FIGHT_TIME', 'OFFLINE_FIGHT_TIME_MIN', 'OFFLINE_FIGHT_TIME_MAX', 'AVG_FIGHT_TIME', 'STARSHOP_COUNT_INPUT_LIMIT', 'USER_NAME_LENGTH_MAX', 'CHAT_CD_TIME', 'CHAT_CD_COUNT', 'THING_TONG_BAO_XIANG', 'THING_YIN_BAO_XIANG', 'THING_JIN_BAO_XIANG', 'THING_YI_JI_BAO_SHI_BAG', 'THING_SHI_WU_JI_BAO_SHI_BAG', 'THING_GUILD_BOX_START', 'THING_GUILD_BOX_END', 'THING_TONG_YAO_SHI', 'THING_YIN_YAO_SHI', 'THING_JIN_YAO_SHI', 'THING_KUAI_SU_ZHAN_DOU_QUAN_I', 'THING_GAO_JI_SHEN_HUN_SHUI_JIN', 'THING_SHEN_HE', 'TRAIN_GOODS_PU_TONG', 'TRAIN_GOODS_ZHI_ZUN', 'ARMOR_GOODS_EXP_STONE', 'THING_XIAN_DING_ZHAO_HUAN_QUAN', 'THING_SHI_SHI_ZHAO_HUAN_QUAN', 'THING_CHUAN_SHUO_ZHAO_HUAN_QUAN', 'GOODS_GOD_KEY', 'GOODS_LUCKY_PLACE_ID', 'GOODS_ABYSS_RECOVER', 'GOODS_ABYSS_REVIVE', 'WISH_JUMP_GOODS_ID', 'DRESS_EXP_STONE', 'THING_ZHEN_ZHU', 'THING_LIU_LI', 'THING_SHUI_JING', 'THING_FEI_CUI', 'GOODS_CUSTOM_BOX_START_ID', 'GOODS_CUSTOM_BOX_END_ID', 'GOODS_WEDDING_RING', 'GOODS_HUNTING_ARROW', 'GOODS_RELIC_RESET_TICKET', 'RELIC_CAPACITY_DEFAULT', 'RELIC_CAPACITY_MAX', 'RELIC_CAPACITY_COST', 'RELIC_CAPACITY_ADD_COUNT', 'RELIC_SELL_PRICE', 'ARMOR_CAPACITY_DEFAULT', 'ARMOR_CAPACITY_MAX', 'ARMOR_CAPACITY_COST', 'ARMOR_CAPACITY_ADD_COUNT', 'ARMOR_CAPACITY_MONTH_VIP_ADDITION', 'GEM_PRICE', 'GEM_BUY_COUNT_MIN', 'GEM_BUY_COUNT_MAX', 'GEM_SLOT_COUNT_MAX', 'ARMOR_SPECIAL_DEVOUR_NEED_COIN_EACH_EXP', 'ARMOR_SPECIAL_MAKE_NEED_FUSION', 'ARMOR_ORANGE_MAKE_NEED_FUSION', 'ARMOR_MAKE_MAX_COUNT', 'ARMOR_EXP_STONE_ADD_EXP', 'ARMOR_DRESS_MAX', 'ARMOR_ONE_KEY_STHENGTHEN_COUNT', 'SPECIAL_ARMOR_DRESS_MAX', 'SUMMON_FREE_CD', 'SUMMON_SCORE_ONCE_NORMAL', 'SUMMON_SCORE_ONCE_HIGHGRADE', 'SUMMON_PLACE_NORMAL', 'SPINE_HERO_ANIMATION_IDLE', 'SPINE_HERO_ANIMATION_ACTION', 'ARENA_SHOP_BUY_GOODS_MIN_COUNT', 'ARENA_SHOP_BUY_GOODS_MAX_COUNT', 'ARENA_CHALLENGE_COUNT_BUY_MIN', 'ARENA_CHALLENGE_COUNT_BUY_MAX', 'ARENA_CHALLENGE_UNIT_PRICE', 'MAX_ADVENTURE_COUNT', 'ADVENTURE_SPEED_MONEY_COST', 'ARENA_CHALLENGE_MAX_COUNT', 'ARENA_CHALLENGE_REWARD_WIN_COUNT', 'ARENA_CHALLENGE_REWARD_FAIL_COUNT', 'ARENA_REPORT_MAX_COUNT', 'NEWBIE_GUIDE_ONE_NORMAL_SUMMON_HERO_ID', 'NEWBIE_GUIDE_ONE_HIGHGRADE_SUMMON_HERO_ID', 'NEWBIE_GUIDE_TEN_NOMRAL_SUMMON_HERO_ID', 'NEWBIE_SUMMON_HERO_CONFIG_ID', 'SKY_STONE_FREE_MAX', 'SKY_STONE_REFRESH_TIME', 'CHAT_LIMIT', 'CHAT_LINE_LIMIT', 'TRIAL_ENEMY_COUNT_MAX', 'DAILY_DUNGEON_UNIT_PRICE', 'DAILY_DUNGEON_UP_PRICE', 'MONTH_CARD_EXP_ADD_PERMILLAGE', 'ADVANCED_MONTH_CARD_EXP_ADD_PERMILLAGE', 'ADVANCED_MONTH_CARD__HOLYCORE_ADD_PERMILLAGE', 'ADVANCED_MONTH_CARD__ESSENCE_ADD_PERMILLAGE', 'ZDHJ_LOOP_TIME_DEFAULT', 'RENAME_GOLD_COST', 'CHECKERBOARD_STAMINA_COST', 'CHECKERBOARD_DEFAULT_STAMINA', 'CHECKERBOARD_STAMINA_RECOVER_SECONDS', 'CUSTOM_GIFT_ARMOR_STRENGTHEN_LEVEL', 'AD_ADVENTURE_MULTIPLE_COUNT', 'THING_ACTIVITY_HOLIDAT_CHALLENGE_BOSS', 'THING_ACTIVITY_HOLIDAT_BOX', 'ACTIVITY_HOLIDAY_BOSS_DEL_HP', 'ACTIVITY_HOLIDAY_BOSS_ENTITY_ID', 'ACTIVITY_CAKE_BOSS_ENTITY_ID', 'ACTIVITY_CAKE_BOSS_MAX_ROUND', 'ACTIVITY_CAKE_BOSS_BATTLE_COUNT', 'ACTIVITY_CAKE_BOSS_BATTLE_BUY_COUNT', 'ACTIVITY_CAKE_BOSS_BATTLE_BUY_CONSUME', 'ACTIVITY_HERO_PRACTICE_BOSS_ENTITY_ID', 'ACTIVITY_HERO_PRACTICE_CHALLENGE_BOSS_MAX_ROUND', 'HERO_PRACTICE_HERO_LEGEND_COUNT', 'ACTIVITY_HERO_PRACTICE_HERO_LEGEND_MAX_ROUND', 'BATTLE_TEAM_HERO_COUNT_MAX', 'BATTLE_ACTIVE_COUNT', 'BATTLE_WAIT_COUNT', 'TSJL_COUNT_NEED', 'BOUNTY_SOCIETY_PERIOD', 'BOUNTY_SOCIETY_START_DELAY', 'BOUNTY_SOCIETY_GOODS_CFG_ID', 'BOUNTY_SOCIETY_CHARGE_CONFIG_ID', 'GEM_HUNTER_PERIOD', 'GEM_HUNTER_GOODS_CFG_ID', 'GEM_HUNTER_CHARGE_CONFIG_ID', 'GEM_HUNTER_OPEN_USER_LEVEL', 'HOLYCORE_HUNTER_PERIOD', 'HOLYCORE_HUNTER_GOODS_CFG_ID', 'HOLYCORE_HUNTER_CHARGE_CONFIG_ID', 'HOLYCORE_SOCIETY_START_DELAY', 'ZSZZ_ROBOT_UID', 'ZSZZ_ROBOT_AWAKE', 'ZSZZ_ROBOT_GOD_AWAKE', 'ZSZZ_ROBOT_NAME', 'ZSZZ_BATTLE_GROUP_USER_COUNT_MIN', 'LONG_TIME_DAY_NOT_LOGIN', 'GUILD_WAR_BATTLE_MAX_COUNT', 'GUILD_WAR_BATTLE_ROUND', 'GUILD_WAR_SIGN_UP_LEVEL_LIMIT', 'GUILD_ASPL_BATTLE_MAX_COUNT', 'GUILD_ASPL_SIGN_UP_LEVEL_LIMIT', 'WISH_REFRESH_TIME', 'WISH_COST_COIN', 'WISH_AUTO_COUNT', 'DRESS_STONE_EXP', 'CHARGE_ID_ADD', 'ACTIVITY_HOT_OPEN_TIME', 'ACTIVITY_HOT_COST_KEEP_NEED', 'ACTIVITY_HOLIDAY_COIN_2_GOLD', 'USER_BACK_TIME', 'USER_BACK_NEW_ENTRY_REWARD', 'USER_BACK_NEW_ENTRY_REWARD_LOW_LEVEL', 'USER_BACK_ACTIVITY_TIME', 'DRESS_CAPACITY_DEFAULT', 'HERO_PALACE_LINEUP_GOLD_AWARD', 'LINEUP_ONE_AWAKE_STR_ADD_GLARENESS', 'GUILD_NAME_LENGTH_MAX', 'GEM_MAX_LEVEL', 'HERO_PRACTICE_CHALLENGE_BOSS_LIMIT_COUNT', 'RANK_TOP_SHOW_MAX', 'COUNTRY_WAR_STRATEGY_START_TIME', 'COUNTRY_WAR_MEMBER_STRATEGY_END_TIME', 'COUNTRY_WAR_LEADER_STRATEGY_END_TIME', 'COUNTRY_WAR_BATTLE_START_TIME', 'COUNTRY_WAR_BATTLE_END_TIME', 'COUNTRY_WAR_SETTLE_TIME', 'COUNTRY_WAR_BATTLE_ONE_ROUND_TIME', 'VOWED_HERO_RENAME_INTERVAL', 'VOWED_HERO_RENAME_MAX_LENGTH', 'RELIC_SET_OPTIONAL_ATTR_CONSUME', 'RELIC_OPTIONAL_VALUE_INCREASE_PRE_TICKET', 'SKY_STONE_PRICES[0]', 'SKY_STONE_PRICES[1]', 'SKY_STONE_PRICES[2]', 'SKY_STONE_PRICES[3]', 'SKY_STONE_PRICES[4]', 'SKY_STONE_PRICES[5]', 'ACQUIRE_ANIMAL_GOLD_AWARD', 'OUTLAND_RES_BUILDING_COLLECT_INTERAL', 'OUTLAND_ENTRANCE_SHOW_LEVEL', 'ACTIVITY_HOLIDAY_SUMMON_PLACE_BY_DROP', 'ACTIVITY_HOLIDAY_SUMMON_PLACE_BY_DROP_COPY', 'ACTIVITY_HOLIDAY_SUMMON_SCORE_BY_DROP', 'ACTIVITY_HOLIDAY_SUMMON_SCORE_ICON', 'ACTIVITY_HOLIDAY_SUMMON_RANK_SHOW_COUNT', 'ACTIVITY_HERO_PRACTICE_RANK_SHOW_COUNT', 'OUTLAND_DAILY_LIKE_LIMIT', 'OUTLAND_DAILY_ASSIST_LIMIT', 'OUTLAND_DAILY_BE_ASSISTED_LIMIT', 'OUTLAND_ASSISIT_REWARD_TIME', 'OUTLAND_ASSISIT_SPEED_VALUE_MAX', 'OUTLAND_ASSISIT_SPEED_TIME_MAX', 'OUTLAND_ASSISIT_SPEED_VALUE', 'OUTLAND_ASSISIT_SPEED_TIME', 'OUTLAND_BE_VISITED_LOG_MAX', 'NWHC_MAX_LEVEL_NVWU', 'ARMOR_ILLUSION_STONE_COST', 'ARMOR_ILLUSION_STONE_DROP_WEIGHT_MAX', 'ARMOR_ATTRIBUTE_DIALOG_HEIGHT_NORMAL', 'ARMOR_ATTRIBUTE_DIALOG_HEIGHT_ILLUSION', 'BATTLE_SPEED_UP_UNLOCK_DUNGEON_ID', 'LOGOUT_TIME', 'SP_HERO_APPEAR_USER_LEVEL', 'HIGH_LEVEL_ADD_ARMOR_MAX_LEVEL', 'ZHONGSHANG_1', 'ZHONGSHANG_2', 'ZHONGSHANG_3', 'HP_CHANGE_DAMAGE_ADD_SELF_LOSE_HP_RATE_1', 'ZSZZ_SIGN_UP_WAIT_TIME', 'HP_CHANGE_DAMAGE_ADD_SELF_LOSE_HP_RATE_2', 'CAN_AUTO_FIGHT_DUNGEON_ID', 'COUNT_DOWN_AUTO_FIGHT', 'COUNT_RELIC_RESET_CONSUME', 'COMMON_RELIC_CFG_ID', 'RELIC_RST_RD_ATTR', 'LIANJIE_1', 'LIANJIE_2', 'LIANJIE_3', 'LIANJIE_4', 'ZHONGSHANG_4', 'USER_BACK_NEW_ACTIVITY_TIME', 'VIP_EXP_INHERIT_MIN_VALUE', 'USER_BACK_MIN_LEVEL', 'VIP_EXP_INHERIT_ACTIVITY_TIME', 'VIP_EXP_INHERIT_BOX_1_PERCENT', 'VIP_EXP_INHERIT_BOX_2_PERCENT', 'VIP_EXP_INHERIT_BOX_3_PERCENT', 'VIP_EXP_INHERIT_BOX_4_PERCENT', 'VIP_EXP_INHERIT_BOX_5_PERCENT', 'ACTIVITY_CAKE_MONSTER_DAILY_FIGHT_NUMBER', 'ACTIVITY_CAKE_TASTE_MAX', 'ACTIVITY_CAKE_CANDLE_GOODS_ID', 'ACTIVITY_CAKE_CARD_GOODS_ID', 'ACTIVITY_CAKE_CANDLE_GOODS_EXCHANGE', 'ACTIVITY_CAKE_CARD_GOODS__EXCHANGE', 'ACTIVITY_BATTLE_TEAM_HERO_COUNT_MAX', 'ACTIVITY_DAILY_GIFT_BUY_DAYS', 'ACTIVITY_DAILY_GIFT_LOTTERY_GOODS_ID', 'ACTIVITY_DAILY_GIFT_SENIOR_REWARD_LEVEL', 'ZHONGSHANG_5', 'UR_PLUS_DUNGEON_SELECT_CONSUME', 'UR_PLUS_DUNGEON_ACTIVTY_BATTLE_DAILY_COUNT', 'UR_PLUS_DUNGEON_COMMON_BATTLE_DAILY_COUNT', 'UR_PLUS_DUNGEON_IDLE_TIME_MAX', 'UR_PLUS_DUNGEON_MAX_ROUND', 'ACTIVITY_UR_PLUS_HERO_LOGIN_GIFT', 'ACTIVITY_UR_PLUS_BOSS_ENTITY_ID', 'ACTIVITY_UR_PLUS_LOGIN_GIFT_VIP_EXP', 'BEFORE_FIGHT_SKILL_ID', 'OUTLAND_AIRSHIP_BUY_NORMAL_GIFT_VALUE_GET', 'OUTLAND_AIRSHIP_BUY_SPECIAL_GIFT_VALUE_GET', 'OUTLAND_AIRSHIP_BUY_VALUE_MAX', 'OUTLAND_AIRSHIP_NORMAL_GIFT_NUM', 'OUTLAND_AIRSHIP_SPECIAL_GIFT_NUM', 'OUTLAND_AIRSHIP_TIME', 'OUTLAND_AIRSHIP_REFRESH_TIME', 'OUTLAND_AIRSHIP_GO_POS_TIME', 'OUTLAND_AIRSHIP_OPEN_TIME_MAX', 'OUTLAND_AIRSHIP_STAY_TIME', 'DUNGEON_PROGRESS_REWARD_MAX_SHOW', 'DUNGEON_PROGRESS_REWARD_RECEIVE_ALL_LIMIT', 'ABYSS_FASE_BATTLE_DAILY_NUM', 'RELIC_AWAKE_INHERIT_CONSUME', 'RELIC_QUALITY_INHERIT_CONSUME', 'ACTIVITY_TURN_BRAND_BAT_GOODS_ID', 'ACTIVITY_TURN_BRAND_PUMPKIN_GOODS_ID', 'ACTIVITY_TURN_BRAND_BAT_GOODS_EXCHANGE', 'ACTIVITY_TURN_BRAND_PUMPKIN_GOODS__EXCHANGE', 'ACTIVITY_TURN_BRAND_NUM', 'ACTIVITY_TURN_BRAND_OPEN_ONE_GET_COUNT', 'FACE_PACKAGE_CONFUSE_STRING', 'HERO_COMPARE_CARD_VALUE_DEFAULT', 'PALACE_SKIN_GOODS_ID', 'HERO_COMPARE_TOTAL_VALUE_DENOMINATOR', 'THANKSGIVING_DAY_GOODS_ID_PUMPKIN_PIE', 'THANKSGIVING_DAY_GOODS_ID_TURKEY', 'THANKSGIVING_DAY_NORMAL_MAKING_NEED_PUMPKIN_PIE_COUNT', 'THANKSGIVING_DAY_ADVANCE_MAKING_NEED_PUMPKIN_PIE_COUNT', 'THANKSGIVING_DAY_ADVANCE_MAKING_NEED_TURKEY_COUNT', 'THANKSGIVING_DAY_NORMAL_MAKING_GET_SCORE', 'THANKSGIVING_DAY_ADVANCE_MAKING_GET_SCORE', 'TGD_COPY_GOODS_ID_PUMPKIN_PIE', 'TGD_COPY_GOODS_ID_TURKEY', 'TGD_COPY_NORMAL_MAKING_NEED_PUMPKIN_PIE_COUNT', 'TGD_COPY_ADVANCE_MAKING_NEED_PUMPKIN_PIE_COUNT', 'TGD_COPY_ADVANCE_MAKING_NEED_TURKEY_COUNT', 'TGD_COPY_NORMAL_MAKING_GET_SCORE', 'TGD_COPY_ADVANCE_MAKING_GET_SCORE', 'THANKSGIVING_DAY_SCORE_ICON', 'THANKSGIVING_DAY_PUMPKIN_PIE_GOODS_EXCHANGE', 'THANKSGIVING_DAY_TURKEY_GOODS_EXCHANGE', 'THANKSGIVING_DAY_SCORE_GOODS_ID', 'TGD_SCORE_GOODS_ID', 'DRIFTING_DUNGEON_UNLOCK_MAP_ID', 'DRIFTING_DUNGEON_UNLOCK_LAYER_ID', 'DRIFTING_DUNGEON_UNLOCK_REWARD_ALL_NUM', 'DRIFTING_DUNGEON_CUSTOM_GIFT_TYPE', 'NUMBER_ONE_HERO_FIGHT_VALUE_CHANGE_PERMILLAGE_LET_DOWN', 'DRESS_DECOMPOSE_EXP_STONE', 'DRESS_DECOMPOSE_STONE_EXP', 'RANK_COUNT_LIMIT', 'HIGH_LEVEL_CASTING_EXP', 'HIGH_LEVEL_BOSS_ENTITY_ID', 'HIGH_LEVEL_BOSS_CHALLENGE_TIME', 'HIGH_LEVEL_CHALLENGE_BOSS_MAX_ROUND', 'COMBINE_ZONE_ACTIVITY_PRIVILAGE_REWARD', 'COMBINE_ZONE_ACTIVITY_CHALLEGE_BOSS_TIME', 'COMBINE_ZONE_ACTIVITY_ADD_COIN', 'COMBINE_ZONE_ACTIVITY_ADD_EXP', 'COMBINE_ZONE_ACTIVITY_ADD_ARMOR', 'COMBINE_ZONE_ACTIVITY_ADD_HOLYCORE', 'COMBINE_ZONE_ACTIVITY_ADD_ARENA', 'COMBINE_ZONE_ACTIVITY_ADD_ZSZZ', 'COMBINE_ZONE_ACTIVITY_BOSS_ENTITY_ID', 'COMBINE_ZONE_ACTIVITY_BOSS_MAX_ROUND', 'COMBINE_ZONE_ACTIVITY_BUY_TIME_COST', 'COMBINE_ZONE_ACTIVITY_BUY_TIME_MAX', 'MAIN_HERO_TO_UR_NEED_AWAKE_COUNT', 'EID_FOR_DAMAGE_TO_SHIELD_1', 'EID_FOR_DAMAGE_TO_SHIELD_2', 'SKILL_ID_FOR_BEFORE_DIE_1', 'BE_KILLED_REDUCE_ATTACK_EID_1', 'BE_KILLED_REDUCE_ATTACK_EID_2', 'BE_KILLED_REDUCE_ATTACK_EID_3', 'BE_KILLED_REDUCE_ATTACK_EID_4', 'HELUSI_HERO_CID', 'EID_ADD_BY_HELUSI_MAX_ATTACK', 'EID_ADD_BY_HELUSI_MIN_ATTACK', 'EID_ADD_BY_HELUSI_DEFEND', 'LIFE_STAR_COMMON_GOODS_ID', 'EID_FOR_DAMAGE_TO_SHIELD_3', 'NIGHTMARE_DUNGEON_OPEN_CONDITION_MAIN_DUNGEON_ID', 'NIGHTMARE_DUNGEON_DAILY_PASS_COUNT', 'REPETITION_USE_SKILL_PROBABILITY', 'WUYUAN_DISPEL_BUFF_FAIL_RATIO', 'LIFE_STAR_GROUP_LEVEL_1', 'LIFE_STAR_GROUP_LEVEL_2', 'LIFE_STAR_GROUP_LEVEL_3', 'ZHOUSI_NO_DEATH_EFFECT_ID', 'WEINASI_HERO_CID', 'SKILL_ID_FOR_BEFORE_DIE_2', 'RESONANCE_SPECIAL_ARMOR_NEED_COUNT', 'ARUISI_DAMAGE_ADD_BUFF_ID', 'SEVEN_SPECIAL_ARMOR_EAT_ONE_EXP_NEED_SECOND', 'SPECIAL_ARMOR_EAT_EXP_MAX_TIME', 'YUAN_JIE_SHEN_UR_PLUS_ADD_BUFF_ID', 'YUAN_JIE_SHEN_CAN_ADD_BUFF_EFFECT_IDS', 'ACTIVITY_WANSHENG_ICON', 'ABOLUO_CHANGE_TO_STAR_HAVE_BUFF_ID', 'ABOLUO_CHANGE_TO_STAR_ADD_XUANYUN_BUFF_ID', 'ABOLUO_CHANGE_TO_STAR_ADD_BUFF_COUNT', 'ABOLUO_RECOVER_ALL_HP_PLAY_EFFECT_ID', 'ACTIVITY_MR_HERO_CHALLENGE_BOSS_MAX_ROUND', 'ACTIVITY_MR_HERO_CHALLENGE_BOSS_MAX_STAGE', 'ABOLUO_CHANGE_TO_STAR_REMOVE_DEBUFF_EFFECT_ID']"
6,FILES,cfg_debris.csv,"['cfg_id', 'position_count', 'max_count', 'quality', 'restore', 'name', 'icon', 'icon_review', 'description']"
7,FILES,cfg_extra_pack_res.csv,"['prefab_name', 'extra_pack_id']"
8,FILES,cfg_extra_pack_trigger.csv,"['id', 'wifi_trigger_level', 'focre_trigger_level', 'wifi_trigger_dungeon_id', 'focre_trigger_dungeon_id', 'start_game_focre_downlaod']"
9,FILES,cfg_face_frame.csv,"['cfg_id', 'type', 'quality', 'name', 'useEffect', 'end_time', 'icon', 'desc']"
