dungeon_id,boss_monster_npc_id,normal_monster_npc_id_list,armor_drop_rate_when_offline_fight,bg_path,bg_path_shenhe,name,map_id,reward
1,2001,1001|1002|1003,180,ShenNvQiSuo,ShenNvQiSuo,1-1,1,
2,2002,1001|1002|1003,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-1,2,5:3000004:5
3,2003,1004|1005|1006,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-2,2,
4,2004,1004|1005|1006,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-3,2,
5,2005,1007|1008|1009|1010,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-4,2,5:3000004:5
6,2006,1007|1008|1009|1010,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-5,2,
7,2007,1011|1012|1013|1014,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-6,2,
8,2008,1011|1012|1013|1014,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-7,2,5:3000004:5
9,2009,1015|1016|1017|1018,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-8,2,
10,2010,1015|1016|1017|1018,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-9,2,
11,2011,1019|1020|1021|1022,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-10,2,5:3000004:5
12,2012,1019|1020|1021|1022,180,TianZhaoShenShe-Combined,TianZhaoShenShe-Combined,2-11,2,
13,2013,1023|1024|1025|1026,180,YueDuShenShe,YueDuShenShe,2-12,2,
14,2014,1023|1024|1025|1026,180,YueDuShenShe,YueDuShenShe,2-13,2,
15,2015,1027|1028|1029|1030,180,YueDuShenShe,YueDuShenShe,2-14,2,
16,2016,1027|1028|1029|1030,180,YueDuShenShe,YueDuShenShe,2-15,2,5:3000004:5
17,2017,1031|1032|1033|1034,180,YueDuShenShe,YueDuShenShe,2-16,2,
18,2018,1031|1032|1033|1034,180,YueDuShenShe,YueDuShenShe,2-17,2,
19,2019,1035|1036,90,YueDuShenShe,YueDuShenShe,2-18,2,
20,2020,1035|1036,90,YueDuShenShe,YueDuShenShe,2-19,2,5:3000004:5
21,2021,1037|1038,90,YouAnMiGong,YueDuShenShe,3-1,3,
22,2022,1037|1038,90,YouAnMiGong,YueDuShenShe,3-2,3,
23,2023,1039|1040,90,YouAnMiGong,YueDuShenShe,3-3,3,
24,2024,1039|1040,90,YouAnMiGong,YueDuShenShe,3-4,3,
25,2025,1041|1042,90,YouAnMiGong,YueDuShenShe,3-5,3,
26,2026,1041|1042,90,YouAnMiGong,YueDuShenShe,3-6,3,
27,2027,1043|1044,90,YouAnMiGong,YueDuShenShe,3-7,3,
28,2028,1043|1044,90,YouAnMiGong,YueDuShenShe,3-8,3,
29,2029,1045|1046,90,YouAnMiGong,YueDuShenShe,3-9,3,
30,2030,1045|1046,90,YouAnMiGong,YueDuShenShe,3-10,3,5:3000004:5
31,2031,1047|1048,90,YouAnMiGong,YueDuShenShe,3-11,3,
32,2032,1047|1048,90,YouAnMiGong,YueDuShenShe,3-12,3,
33,2033,1049|1050,90,YouAnMiGong,YueDuShenShe,3-13,3,
34,2034,1049|1050,90,YouAnMiGong,YueDuShenShe,3-14,3,
35,2035,1051|1052,90,YouAnMiGong,YueDuShenShe,3-15,3,
36,2036,1051|1052,90,YouAnMiGong,YueDuShenShe,3-16,3,
37,2037,1053|1054,90,YouAnMiGong,YueDuShenShe,3-17,3,
38,2038,1053|1054,90,YouAnMiGong,YueDuShenShe,3-18,3,
39,2039,1055|1056,90,YouAnMiGong,YueDuShenShe,3-19,3,
40,2040,1055|1056,90,YouAnMiGong,YueDuShenShe,3-20,3,5:3000004:5
41,2041,1057|1058,90,PanDuoLaShenMiao,YueDuShenShe,4-1,4,
42,2042,1057|1058,90,PanDuoLaShenMiao,YueDuShenShe,4-2,4,
43,2043,1059|1060,90,PanDuoLaShenMiao,YueDuShenShe,4-3,4,
44,2044,1059|1060,90,PanDuoLaShenMiao,YueDuShenShe,4-4,4,
45,2045,1061|1062,90,PanDuoLaShenMiao,YueDuShenShe,4-5,4,
46,2046,1061|1062,90,PanDuoLaShenMiao,YueDuShenShe,4-6,4,
47,2047,1063|1064,90,PanDuoLaShenMiao,YueDuShenShe,4-7,4,
48,2048,1063|1064,90,PanDuoLaShenMiao,YueDuShenShe,4-8,4,
49,2049,1065|1066,90,PanDuoLaShenMiao,YueDuShenShe,4-9,4,
50,2050,1065|1066,90,PanDuoLaShenMiao,YueDuShenShe,4-10,4,5:3000005:2
51,2051,1067|1068,90,PanDuoLaShenMiao,YueDuShenShe,4-11,4,
52,2052,1067|1068,90,PanDuoLaShenMiao,YueDuShenShe,4-12,4,
53,2053,1069|1070,90,PanDuoLaShenMiao,YueDuShenShe,4-13,4,
54,2054,1069|1070,90,PanDuoLaShenMiao,YueDuShenShe,4-14,4,
55,2055,1071|1072,90,PanDuoLaShenMiao,YueDuShenShe,4-15,4,
56,2056,1071|1072,90,PanDuoLaShenMiao,YueDuShenShe,4-16,4,
57,2057,1073|1074,90,PanDuoLaShenMiao,YueDuShenShe,4-17,4,
