dungeon_map_id,name,name_video,bg_path,switch_opr_guide_id,switch_opr_guide_id_video,need_swipe_guide,map_lock
1,Seoul,New York,00078_bg_memory_bg_memory.png,0,0,0,0
2,Tokyo,Washington,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200101,201101,0,0
3,Athens,Athens,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200102,200102,1,0
4,Sparta,Sparta,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200103,200103,0,0
5,The Great Pyramid,The Great Pyramid,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200104,200104,0,0
6,The Nile,The Nile,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200105,200105,0,0
7,Hell,Hell,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200106,200106,1,0
8,Scarlet Castle,Scarlet Castle,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200107,200107,0,0
9,Asgard,Asgard,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200108,200108,0,0
10,Purgatory,Purgatory,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200109,200109,0,0
11,Nuwa Palace,Nuwa Palace,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200110,200110,1,0
12,Kunlun Mountains,Kunlun Mountains,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200111,200111,0,0
13,Godban Gorge,Godban Gorge,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200112,200112,1,0
14,God Valley,God Valley,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200113,200113,0,0
15,Abyss,Abyss,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200114,200114,0,0
16,Shadow Sea,Shadow Sea,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200115,200115,0,0
17,Milan,Milan,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200116,200116,1,0
18,Rome,Rome,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200117,200117,0,0
19,Sicily,Sicily,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200118,200118,0,0
20,Napoli,Napoli,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200119,200119,0,0
21,Realm,Realm,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200120,200120,1,0
22,Aegean Sea,Aegean Sea,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200121,200121,0,0
23,Kefalonia,Kefalonia,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200122,200122,0,0
24,Volcano,Volcano,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200123,200123,0,0
25,Sky City,Sky City,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200124,200124,1,0
26,Spirit Canyon,Spirit Canyon,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200125,200125,0,0
27,Snowland,Snowland,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200126,200126,0,0
28,Temple,Temple,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200127,200127,0,0
29,Mississippi,Mississippi,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200128,200128,1,0
30,Alabama,Alabama,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200129,200129,0,0
31,Bermuda,Bermuda,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200130,200130,0,0
32,Seabed,Seabed,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200131,200131,0,0
33,Babylon,Babylon,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200132,200132,1,0
34,Caspian,Caspian,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200133,200133,0,0
35,Sacred land,Sacred land,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200134,200134,0,0
36,Shrine,Shrine,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200135,200135,0,0
37,Kilimanjaro,Kilimanjaro,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200136,200136,1,0
38,East African Rift Valley,East African Rift Valley,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200137,200137,0,0
39,Crimson Sea,Crimson Sea,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200138,200138,0,0
40,sahara desert,sahara desert,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200139,200139,0,0
41,Novosibirsk,Novosibirsk,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200140,200140,1,0
42,Saint Petersburg,Saint Petersburg,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200141,200141,0,0
43,Lake Baikal,Lake Baikal,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200142,200142,0,0
44,Yekaterinburg,Yekaterinburg,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200143,200143,0,0
45,Chukchi,Chukchi,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200144,200144,1,0
46,Wales,Wales,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200145,200145,0,0
47,Tera,Tera,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200146,200146,0,0
48,Nome,Nome,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200147,200147,0,0
