hero_cid,index,default_super_common_skill_index,fight_value
1001,0,0|1|1|3|0|0,8145803264
2037,1,0|0|1|2|3|0,16995043328
2039,2,0|0|1|3|1|0,7757974528
2047,3,0|0|1|3|1|0,6367827968
2049,4,0|0|2|2|3|0,12144039936
2050,5,0|1|1|1|2|0,6292358144
2051,6,0|1|1|1|2|0,4072519424
2053,7,0|0|2|2|3|0,9864013824
2054,8,0|1|1|3|1|0,4436016128
2055,9,0|1|1|1|2|0,3599046400
2056,10,0|0|2|2|3|0,7091032064
2057,11,0|0|2|2|3|0,5791907328
2060,12,0|0|2|2|3|0,14305844224
2063,13,0|1|1|3|1|0,5741821440
2065,14,0|0|2|2|3|0,9939093504
2067,15,0|0|2|2|3|0,8861462528
2068,16,0|0|1|1|2|0,5718915072
2069,17,0|0|2|2|3|0,8036928000
2071,18,0|1|1|1|2|0,4429234688
2073,19,0|1|1|1|2|0,4312364032
2074,20,0|1|1|1|2|0,4647816192
2075,21,0|0|2|2|3|0,8380247552
2076,22,0|0|2|2|3|0,8536651264
2077,23,0|0|2|2|3|0,10390434816
2078,24,0|0|2|2|3|0,10240207872
2081,25,0|1|1|3|1|0,4924225536
2082,26,0|1|1|3|1|0,5047924736
2083,27,0|0|1|3|1|0,8096240128
2084,28,0|0|1|3|1|0,6723802112
2086,29,0|0|1|3|1|0,3941708288
2087,30,0|0|1|3|1|0,9522334720
2088,31,0|0|1|3|1|0,4048443904
2090,32,0|0|1|3|1|0,5276977152
2091,33,0|0|1|3|1|0,8516670464
2092,34,0|0|1|3|1|0,4131873024
