rid,team
1001,1001|2050|2076|2083|2039|2063
1002,2076|2083|2039|2063|2050|1001
1003,2063|2050|2083|1001|2076|2039
1004,2063|2039|2076|2050|1001|2083
1005,2076|2063|1001|2050|2083|2039
1006,2039|1001|2081|2073|2075|2057
1007,2075|1001|2057|2039|2081|2073
1008,2081|2039|2057|2073|1001|2075
1009,2073|1001|2057|2039|2081|2075
1010,2057|2039|2081|2073|2075|1001
1011,2077|2078|2047|2039|1001|2074
1012,2039|2077|2078|2047|1001|2074
1013,2074|2039|1001|2047|2078|2077
1014,2039|2077|2078|2047|2074|1001
1015,1001|2074|2077|2047|2078|2039
1016,2039|1001|2073|2054|2084|2067
1017,2084|2039|2067|2073|2054|1001
1018,2067|2073|2054|2039|1001|2084
1019,2054|1001|2084|2067|2039|2073
1020,1001|2073|2067|2054|2084|2039
1021,2071|2051|2081|2039|1001|2050
1022,1001|2071|2081|2039|2051|2050
1023,2081|1001|2050|2051|2071|2039
1024,2081|2071|2039|2050|2051|1001
1025,2050|2081|2051|2071|1001|2039
1026,2055|2037|2077|2039|1001|2069
1027,1001|2039|2069|2077|2037|2055
1028,2055|2039|2069|1001|2077|2037
1029,2077|2055|2039|2037|2069|1001
1030,2039|2037|2077|1001|2055|2069
1031,2050|2076|2067|1001|2039|2047
1032,2076|2039|2067|2050|2047|1001
1033,2047|1001|2050|2067|2076|2039
1034,2039|1001|2047|2076|2050|2067
1035,2067|2047|2039|2076|2050|1001
1036,2068|2054|1001|2074|2039|2073
1037,2074|1001|2039|2054|2073|2068
1038,2039|1001|2074|2068|2054|2073
1039,2054|1001|2039|2074|2068|2073
1040,2074|2073|2054|2039|2068|1001
1041,2078|2039|1001|2074|2071|2057
1042,2057|2071|1001|2039|2074|2078
1043,2057|2074|1001|2039|2071|2078
1044,1001|2074|2071|2039|2078|2057
1045,2078|1001|2071|2039|2074|2057
1046,1001|2081|2057|2039|2055|2056
1047,2056|1001|2057|2039|2081|2055
1048,2055|2081|2056|2057|1001|2039
1049,2057|2039|1001|2055|2056|2081
1050,2081|1001|2039|2057|2056|2055
1051,2063|2039|2083|2053|2054|1001
1052,2039|2053|2054|2063|1001|2083
1053,2053|2063|2039|2054|1001|2083
1054,2039|1001|2063|2054|2083|2053
1055,2083|2039|2053|2063|1001|2054
1056,2047|2051|2067|2049|1001|2039
1057,2067|2039|2049|1001|2051|2047
1058,2049|1001|2067|2051|2047|2039
1059,2049|2067|2051|1001|2047|2039
1060,2057|2074|1001|2039|2071|2078
1061,2039|2067|2051|2057|2071|1001|2049|2083|2050|2047|2073|2076
1062,2067|2083|2039|2076|2047|2073|1001|2057|2051|2071|2049|2050
1063,2071|2073|2050|2067|2076|2039|2057|1001|2051|2083|2049|2047
1064,1001|2047|2051|2050|2076|2073|2071|2067|2039|2049|2083|2057
1065,2067|2071|2050|2076|2039|2073|1001|2057|2049|2047|2051|2083
1066,2071|2054|2039|1001|2074|2077|2055|2056|2073|2081|2078|2053
1067,2039|2055|2054|2074|2071|2081|2077|2078|2056|2073|2053|1001
1068,2074|2071|2073|2053|2081|1001|2077|2078|2055|2056|2054|2039
1069,2053|2073|2071|2081|2077|2039|2074|2055|1001|2054|2078|2056
1070,2081|2056|2074|2077|2078|2071|1001|2053|2055|2054|2073|2039
1071,2063|2067|2050|2081|2083|2069|2039|2047|2068|1001|2037|2065
1072,2047|2063|2065|2083|1001|2081|2037|2067|2050|2039|2069|2068
1073,2037|2039|2047|2083|2069|2065|2067|2063|2068|2050|2081|1001
1074,2068|2083|2081|2050|2047|2069|2063|1001|2065|2037|2067|2039
1075,2039|2063|2068|2065|2047|2081|2067|2083|1001|2069|2037|2050
1076,2039|2067|2051|2057|2071|1001|2049|2083|2050|2047|2073|2076
1077,2067|2083|2039|2076|2047|2073|1001|2057|2051|2071|2049|2050
1078,2071|2073|2050|2067|2076|2039|2057|1001|2051|2083|2049|2047
1079,1001|2047|2051|2050|2076|2073|2071|2067|2039|2049|2083|2057
1080,2067|2071|2050|2076|2039|2073|1001|2057|2049|2047|2051|2083
1081,2071|2054|2039|1001|2074|2077|2055|2056|2073|2081|2078|2053
1082,2039|2055|2054|2074|2071|2081|2077|2078|2056|2073|2053|1001
1083,2074|2071|2073|2053|2081|1001|2077|2078|2055|2056|2054|2039
1084,2053|2073|2071|2081|2077|2039|2074|2055|1001|2054|2078|2056
1085,2081|2056|2074|2077|2078|2071|1001|2053|2055|2054|2073|2039
1086,2063|2067|2050|2081|2083|2069|2039|2047|2068|1001|2037|2065
1087,2047|2063|2065|2083|1001|2081|2037|2067|2050|2039|2069|2068
1088,2037|2039|2047|2083|2069|2065|2067|2063|2068|2050|2081|1001
1089,2068|2083|2081|2050|2047|2069|2063|1001|2065|2037|2067|2039
1090,2039|2063|2068|2065|2047|2081|2067|2083|1001|2069|2037|2050
1091,2050|2037|2053|2039|2054|2055|2049|2063|2047|2056|1001|2051
1092,1001|2037|2054|2049|2053|2051|2047|2063|2055|2050|2056|2039
1093,2056|2063|2037|2055|2047|2051|2053|2039|2050|2054|2049|1001
1094,2051|2053|2054|1001|2056|2055|2063|2049|2039|2050|2037|2047
1095,2055|2050|2054|2051|2047|1001|2049|2039|2053|2063|2037|2056
1096,2053|2082|1001|2047|2039|2056|2065|2086|2055|2081|2054|2063
1097,1001|2086|2055|2065|2063|2082|2053|2039|2047|2054|2056|2081
1098,2039|2065|2063|2047|2082|1001|2054|2056|2055|2081|2086|2053
1099,2047|2081|2056|2082|2055|2086|2053|2065|2054|2063|1001|2039
1100,2047|1001|2065|2054|2055|2081|2039|2086|2056|2082|2053|2063
1101,2056|2039|2053|2051|2054|2047|2049|2055|2037|2050|1001|2063
1102,2047|2037|2049|2063|1001|2050|2051|2053|2039|2056|2055|2054
1103,2037|2051|2049|2063|2047|2039|2050|2053|1001|2054|2055|2056
1104,2053|2063|2051|1001|2056|2037|2049|2047|2055|2039|2050|2054
1105,2053|2047|2051|2063|2055|1001|2049|2050|2054|2039|2037|2056
1106,2081|2055|2047|2054|1001|2053|2065|2082|2056|2039|2086|2063
1107,2054|2086|2047|2082|2063|1001|2039|2081|2065|2055|2056|2053
1108,2047|2063|1001|2056|2055|2082|2081|2065|2054|2086|2039|2053
1109,2053|2086|2056|1001|2081|2055|2082|2047|2065|2039|2054|2063
1110,2081|2056|2086|2039|1001|2054|2082|2065|2053|2047|2063|2055
1111,2065|2081|1001|2084|2082|2054|2053|2039|2086|2063|2068|2051
1112,2086|2081|2068|2054|2063|2065|2053|2051|2039|1001|2084|2082
1113,2051|2082|2065|2084|2068|2081|2063|2039|2053|2054|2086|1001
1114,2039|2084|2063|2054|2053|2068|2051|2081|2065|1001|2082|2086
1115,2039|2081|2065|2053|2082|2051|2063|2084|2054|1001|2068|2086
1116,1001|2081|2086|2051|2039|2063|2053|2084|2082|2054|2068|2065
1117,2051|1001|2081|2053|2039|2065|2054|2063|2068|2082|2086|2084
1118,2065|2081|2082|2063|2084|2068|1001|2039|2053|2086|2054|2051
1119,2039|2068|2053|1001|2081|2065|2084|2051|2063|2054|2082|2086
1120,2039|2063|2086|2053|2068|2082|2065|2081|2084|1001|2054|2051
