task_id,task_type,task_group,task_index,task_id_before,is_daily,task_condition,task_value,reward
45000101,45,0,0,0,1,124,0,1:2:300|5:2000006:1
45000102,45,0,0,0,0,124,1,1:2:300|5:3000006:500
45000103,45,0,0,0,0,124,2,1:2:300|5:1000010:1
45000104,45,0,0,0,0,124,3,1:2:300|5:6000001:10
45000105,45,0,0,0,0,124,4,1:2:300|5:3000049:5
45000106,45,0,0,0,0,124,5,1:2:500|5:3000027:5
45000107,45,0,0,0,0,124,6,1:2:300|5:3000006:500
45000108,45,0,0,0,0,124,7,1:2:300|5:1000010:1
45000109,45,0,0,0,0,124,8,1:2:300|5:6000001:10
45000110,45,0,0,0,0,124,9,1:2:300|5:3000049:5
45000111,45,0,0,0,0,124,10,1:2:500|5:3000027:5
45000112,45,0,0,0,0,124,11,1:2:300|5:3000006:500
45000113,45,0,0,0,0,124,12,1:2:300|5:1000010:1
45000114,45,0,0,0,0,124,13,1:2:300|5:6000001:10
45000115,45,0,0,0,0,124,14,1:2:300|5:3000049:5
45000116,45,0,0,0,0,124,15,1:2:500|5:3000027:5
45000117,45,0,0,0,0,124,16,1:2:300|5:3000006:500
45000118,45,0,0,0,0,124,17,1:2:300|5:1000010:1
45000119,45,0,0,0,0,124,18,1:2:300|5:6000001:10
45000120,45,0,0,0,0,124,19,1:2:300|5:3000049:5
45000121,45,0,0,0,0,124,20,1:2:500|5:3000027:5
45000122,45,0,0,0,0,124,21,1:2:300|5:3000006:500
45000123,45,0,0,0,0,124,22,1:2:300|5:1000010:1
45000124,45,0,0,0,0,124,23,1:2:300|5:6000001:10
45000125,45,0,0,0,0,124,24,1:2:300|5:3000049:5
45000126,45,0,0,0,0,124,25,1:2:500|5:3000027:5
45000127,45,0,0,0,0,124,26,1:2:300|5:3000006:500
45000128,45,0,0,0,0,124,27,1:2:300|5:1000010:1
45000129,45,0,0,0,0,124,28,1:2:300|5:6000001:10
45000130,45,0,0,0,0,124,29,1:2:300|5:3000049:5
45000131,45,0,0,0,0,124,30,1:2:500|5:3000027:5
