task_id,task_type,task_group,task_index,task_id_before,task_subtype,task_condition,task_value,reward,qmkh_active_value,name,content,content_param
43000101,43,0,0,0,0,30,1000000,5:1000008:20|1:2:500,0,战斗力达到,The team's Combat Rating reaches 1000000,5
43000102,43,0,1,0,0,30,5000000,5:1000009:15|1:2:500,0,战斗力达到,The team's Combat Rating reaches 5000000,10
43000103,43,0,2,0,0,30,10000000,5:1000010:10|1:2:500,0,战斗力达到,The team's Combat Rating reaches 10000000,15
43000104,43,0,3,0,0,30,20000000,5:1000011:6|1:2:500,0,战斗力达到,The team's Combat Rating reaches 20000000,20
43000105,43,0,4,0,0,30,50000000,5:1000012:5|1:2:500,0,战斗力达到,The team's Combat Rating reaches 50000000,25
43000106,43,0,5,0,0,30,100000000,5:1000013:5|1:2:500,0,战斗力达到,The team's Combat Rating reaches 100000000,30
43000107,43,0,6,0,0,30,200000000,5:1000014:2|1:2:500,0,战斗力达到,The team's Combat Rating reaches 200000000,35
43000108,43,0,7,0,0,30,500000000,5:1000015:2|1:2:500,0,战斗力达到,The team's Combat Rating reaches 500000000,40
43000109,43,0,8,0,0,30,1000000000,5:1000016:1|1:2:500,0,战斗力达到,The team's Combat Rating reaches 1000000000,45
43000110,43,0,9,0,0,30,2000000000,5:1000017:1|1:2:500,0,战斗力达到,The team's Combat Rating reaches 2000000000,50
43000111,43,0,0,0,0,3,80,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 5–20,55
43000112,43,0,1,0,0,3,160,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 8–30,60
43000113,43,0,2,0,0,3,250,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 11–30,65
43000114,43,0,3,0,0,3,370,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 14–30,70
43000115,43,0,4,0,0,3,580,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 17–60,75
43000116,43,0,5,0,0,3,760,5:3000049:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 20–60,80
43000117,43,0,6,0,0,3,880,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 22–60,85
43000118,43,0,7,0,0,3,1000,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 24–60,90
43000119,43,0,8,0,0,3,1060,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 26–60,95
43000120,43,0,9,0,0,3,1120,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 28–60,100
43000121,43,0,10,0,0,3,1180,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 30–60,105
43000122,43,0,11,0,0,3,1240,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 32–60,110
43000123,43,0,12,0,0,3,1300,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 34–60,115
43000124,43,0,13,0,0,3,1360,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 36–60,120
43000125,43,0,14,0,0,3,1560,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 38–100,125
43000126,43,0,15,0,0,3,1760,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 40–100,130
43000127,43,0,16,0,0,3,1960,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 42–100,135
43000128,43,0,17,0,0,3,2160,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 44–100,140
43000129,43,0,18,0,0,3,2360,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 46–100,145
43000130,43,0,19,0,0,3,2560,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 48–100,150
43000131,43,0,20,0,0,3,2760,5:3000027:10|1:2:500,0,主线副本达到,Open after the Main Story reaches 50–100,155
43000132,43,0,0,0,0,344,20,5:3000049:5|1:2:500,0,女神总星级,The star sum of Angels reaches 20,105
43000133,43,0,1,0,0,344,40,5:3000049:5|1:2:500,0,女神总星级,The star sum of Angels reaches 40,110
43000134,43,0,2,0,0,344,60,5:3000049:5|1:2:500,0,女神总星级,The star sum of Angels reaches 60,115
43000135,43,0,3,0,0,344,80,5:3000049:5|1:2:500,0,女神总星级,The star sum of Angels reaches 80,120
43000136,43,0,4,0,0,344,100,5:3000049:10|1:2:500,0,女神总星级,The star sum of Angels reaches 100,125
43000137,43,0,5,0,0,344,120,5:3000027:5|1:2:500,0,女神总星级,The star sum of Angels reaches 120,130
43000138,43,0,6,0,0,344,140,5:3000027:5|1:2:500,0,女神总星级,The star sum of Angels reaches 140,135
43000139,43,0,7,0,0,344,160,5:3000027:5|1:2:500,0,女神总星级,The star sum of Angels reaches 160,140
43000140,43,0,8,0,0,344,180,5:3000027:5|1:2:500,0,女神总星级,The star sum of Angels reaches 180,145
43000141,43,0,9,0,0,344,200,5:6000058:1|1:2:500,0,女神总星级,The star sum of Angels reaches 200,150
43000142,43,0,0,0,0,1,20,5:2000007:1|1:2:500,0,玩家等级,Upgrade to Lv.20,155
43000143,43,0,1,0,0,1,40,5:2000007:2|1:2:500,0,玩家等级,Upgrade to Lv.40,160
43000144,43,0,2,0,0,1,50,5:2000007:3|1:2:500,0,玩家等级,Upgrade to Lv.50,165
43000145,43,0,3,0,0,1,60,5:2000007:4|1:2:500,0,玩家等级,Upgrade to Lv.60,170
43000146,43,0,4,0,0,1,70,5:2000007:5|1:2:500,0,玩家等级,Upgrade to Lv.70,175
43000147,43,0,5,0,0,1,80,5:2000007:6|1:2:500,0,玩家等级,Upgrade to Lv.80,180
43000148,43,0,6,0,0,1,90,5:2000037:2|1:2:500,0,玩家等级,Upgrade to Lv.90,185
43000149,43,0,7,0,0,1,100,5:6000008:6|1:2:500,0,玩家等级,Upgrade to Lv.100,190
43000150,43,0,8,0,0,1,110,5:6000007:1|1:2:500,0,玩家等级,Upgrade to Lv.110,195
43000151,43,0,9,0,0,1,120,5:6000015:1|1:2:500,0,玩家等级,Upgrade to Lv.120,200
