cfg_id,rank_id,rank_min,rank_max,reward
101,1,1,1,5:3000027:20|5:3000278:30
102,1,2,2,5:3000027:18|5:3000278:25
103,1,3,3,5:3000027:15|5:3000278:20
104,1,4,5,5:3000027:12|5:3000278:15
105,1,6,10,5:3000027:10|5:3000278:10
106,1,11,20,5:3000027:7|5:3000278:5
107,1,21,50,5:3000027:5|5:3000278:3
108,1,51,100,5:3000027:3|1:2:500
109,1,101,500,5:3000027:2|1:2:300
110,1,501,99999,5:3000027:1|1:2:100
201,2,1,1,5:3000027:20|5:3000278:30
202,2,2,2,5:3000027:18|5:3000278:25
203,2,3,3,5:3000027:15|5:3000278:20
204,2,4,5,5:3000027:12|5:3000278:15
205,2,6,10,5:3000027:10|5:3000278:10
206,2,11,20,5:3000027:7|5:3000278:5
207,2,21,50,5:3000027:5|5:3000278:3
208,2,51,100,5:3000027:3|1:2:500
209,2,101,500,5:3000027:2|1:2:300
210,2,501,99999,5:3000027:1|1:2:100
301,3,1,1,5:3000027:20|5:3000278:30
302,3,2,2,5:3000027:18|5:3000278:25
303,3,3,3,5:3000027:15|5:3000278:20
304,3,4,5,5:3000027:12|5:3000278:15
305,3,6,10,5:3000027:10|5:3000278:10
306,3,11,20,5:3000027:7|5:3000278:5
307,3,21,50,5:3000027:5|5:3000278:3
308,3,51,100,5:3000027:3|1:2:500
309,3,101,500,5:3000027:2|1:2:300
310,3,501,99999,5:3000027:1|1:2:100
401,4,1,1,5:3000027:20|5:3000278:30
402,4,2,2,5:3000027:18|5:3000278:25
403,4,3,3,5:3000027:15|5:3000278:20
404,4,4,5,5:3000027:12|5:3000278:15
405,4,6,10,5:3000027:10|5:3000278:10
406,4,11,20,5:3000027:7|5:3000278:5
407,4,21,50,5:3000027:5|5:3000278:3
408,4,51,100,5:3000027:3|1:2:500
409,4,101,500,5:3000027:2|1:2:300
410,4,501,99999,5:3000027:1|1:2:100
