id,tier,point,base_award
1001,1,1000,102
1002,1,1500,105
1003,1,2000,109
1004,1,2500,113
1005,1,3000,117
1006,1,3500,119
1007,1,4000,123
2001,2,1000,117
2002,2,1500,120
2003,2,2000,124
2004,2,2500,129
2005,2,3000,134
2006,2,3500,136
2007,2,4000,141
3001,3,1000,132
3002,3,1500,135
3003,3,2000,140
3004,3,2500,145
3005,3,3000,151
3006,3,3500,153
3007,3,4000,159
4001,4,1000,147
4002,4,1500,150
4003,4,2000,156
4004,4,2500,162
4005,4,3000,168
4006,4,3500,171
4007,4,4000,177
5001,5,1000,176
5002,5,1500,180
5003,5,2000,187
5004,5,2500,194
5005,5,3000,201
5006,5,3500,205
5007,5,4000,212
6001,6,1000,205
6002,6,1500,210
6003,6,2000,218
6004,6,2500,226
6005,6,3000,235
6006,6,3500,239
6007,6,4000,247
