npc_id,hero_cid,hero_level,hero_awake,name,avatar_path,spine_name,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10001,2001,60,2,Medusa,2001.png,MDS,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10002,2002,60,2,Poseidon,2002.png,BSD,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10003,2003,60,2,Jeanne d'Arc,2003.png,LXF,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10004,2004,60,2,Siren,2004.png,Y,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10005,2005,60,2,Nephthys,2005.png,NFDS,5569841,997022,1077856,526423,526423,538011,538011,142263,29421,148282,148282,150,200,480,240,1800,1700,1700,360,0,240,500
10006,2006,60,2,Tsukuyomi,2006.png,YYJZ,4714041,851268,917231,451220,451220,455903,455903,138030,28010,121003,121003,150,200,480,240,1800,1700,1700,360,0,240,500
10007,2007,60,2,Ungnyeo,2007.png,XN,4714041,851268,917231,451220,451220,455903,455903,138030,28010,121003,121003,150,200,480,240,1800,1700,1700,360,0,240,500
10008,2008,60,2,Shennong,2008.png,SN,5569841,997022,1077856,526423,526423,538011,538011,142263,29421,148282,148282,150,200,480,240,1800,1700,1700,360,0,240,500
10009,2009,60,2,Geb,2009.png,GB,6446359,1143922,1240772,601626,601626,621928,621928,146532,30844,177661,177661,150,200,480,240,1800,1700,1700,360,0,240,500
10010,2010,60,2,Lilith,2010.png,NBLS,5569841,997022,1077856,526423,526423,538011,538011,142263,29421,148282,148282,150,200,480,240,1800,1700,1700,360,0,240,500
10011,2011,60,2,Nuit,2011.png,NT,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10012,2012,60,2,Gaia,2012.png,GY,9533842,1609937,1780150,827236,827236,913666,913666,172272,39424,312238,312238,150,200,480,240,1800,1700,1700,360,0,240,500
10013,2013,60,2,Pandora,2013.png,PDL,8461655,1452220,1595600,752033,752033,812663,812663,163590,36530,263016,263016,150,200,480,240,1800,1700,1700,360,0,240,500
10014,2014,60,2,Nike,2014.png,NK,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10015,2015,60,2,Idun,2015.png,YD,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10016,2016,60,2,Valkyrie,2016.png,WEJL,9533842,1609937,1780150,827236,827236,913666,913666,172272,39424,312238,312238,150,200,480,240,1800,1700,1700,360,0,240,500
10017,2017,60,2,Raphael,2017.png,LFE,5569841,997022,1077856,526423,526423,538011,538011,142263,29421,148282,148282,150,200,480,240,1800,1700,1700,360,0,240,500
10018,2018,60,2,Minotaur,2018.png,MNTLS,4714041,851268,917231,451220,451220,455903,455903,138030,28010,121003,121003,150,200,480,240,1800,1700,1700,360,0,240,500
10019,2019,60,2,Nemesis,2019.png,NMXS,7432863,1296902,1415849,676829,676829,715449,715449,155016,33672,218195,218195,150,200,480,240,1800,1700,1700,360,0,240,500
10020,2020,60,2,Muse,2020.png,MS,4714041,851268,917231,451220,451220,455903,455903,138030,28010,121003,121003,150,200,480,240,1800,1700,1700,360,0,240,500
10021,2021,60,2,Iris,2021.png,YXS,6446359,1143922,1240772,601626,601626,621928,621928,146532,30844,177661,177661,150,200,480,240,1800,1700,1700,360,0,240,500
