npc_id,hero_cid,hero_level,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,name,avatar_path,spine_name,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
100101,2060,400,5,1,5,1,5,1,5,Freyja,2060_MR.png,FLY_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100102,2086,400,5,1,5,1,5,1,5,Hela,2086_MR.png,HLA_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100103,2047,400,5,1,5,1,5,1,5,Cupid,2047_MR.png,QBT_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100104,2063,400,5,1,5,1,5,1,5,Sim Cheong,2063_MR.png,SQE_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100105,2037,400,5,1,5,1,5,1,5,Ra,2037_MR.png,R_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
100106,2049,400,5,1,5,1,5,1,5,伊卡,2049_MR.png,YKLS_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
100201,2050,400,5,1,5,1,5,1,5,Chaos,2050_MR.png,KES_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100202,2055,400,5,1,5,1,5,1,5,冰龙,2055_MR.png,LB_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100203,2082,400,5,1,5,1,5,1,5,Frigga,2082_MR.png,FLJ_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100204,2054,400,5,1,5,1,5,1,5,Enmusubi,2054_MR.png,ZRNZ_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100205,2053,400,5,1,5,1,5,1,5,Himiko,2053_MR.png,BMH_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
100206,2078,400,5,1,5,1,5,1,5,Apollo,2078_MR.png,ABL_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
100301,2071,400,5,1,5,1,5,1,5,Capricornus,2071_MR.png,MJZ_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100302,2039,400,5,1,5,1,5,1,5,Hera,2039_MR.png,HL_MR,75752454,5762058,7933262,2107523,1619954,4408145,4608878,1519034,448269,2336181,2503704,0,0,600,300,2000,3000,3000,500,0,300,2500
100303,2068,400,5,1,5,1,5,1,5,Asura,2068_MR.png,AXL_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100304,2087,400,5,1,5,1,5,1,5,Prometheus,2087_MR.png,PLMXS_MR,80802618,6146196,8462146,2248024,1727951,4702021,4916136,1620303,478154,2491927,2670618,0,0,600,300,2000,3000,3000,500,0,300,2500
100305,1001,400,38,1,5,1,5,1,5,Player,1000_MR.png,USER_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
100306,2081,400,5,1,5,1,5,1,5,Horus,2081_MR.png,HLS_MR,85852782,6530333,8991030,2388526,1835948,4995898,5223395,1721572,508039,2647672,2837532,0,0,600,300,2000,3000,3000,500,0,300,2500
200101,2047,400,5,1,5,1,5,1,0,Cupid,2047_MR.png,QBT_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200102,2049,400,5,1,5,1,5,1,0,伊卡,2049_MR.png,YKLS_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200103,2050,400,5,1,5,1,5,1,0,Chaos,2050_MR.png,KES_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200104,2074,400,5,1,5,1,5,1,0,Venus,2074_MR.png,WNS_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200105,2078,400,5,1,5,1,5,1,0,Apollo,2078_MR.png,ABL_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
200106,2082,400,5,1,5,1,5,1,0,Frigga,2082_MR.png,FLJ_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
200201,2039,400,5,1,5,1,5,1,0,Hera,2039_MR.png,HL_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200202,2067,400,5,1,5,1,5,1,0,Chang'e,2067_MR.png,CE_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200203,2055,400,5,1,5,1,5,1,0,冰龙,2055_MR.png,LB_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200204,2063,400,5,1,5,1,5,1,0,Sim Cheong,2063_MR.png,SQE_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200205,2053,400,5,1,5,1,5,1,0,Himiko,2053_MR.png,BMH_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
200206,2084,400,5,1,5,1,5,1,0,Uriel,2084_MR.png,WLE_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
200301,2086,400,5,1,5,1,5,1,0,Hela,2086_MR.png,HLA_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200302,2037,400,5,1,5,1,5,1,0,Ra,2037_MR.png,R_MR,55551800,4225510,5817726,1545517,1187966,3232640,3379844,1113958,328731,1713200,1836050,0,0,600,300,2000,3000,3000,500,0,300,2300
200303,2068,400,5,1,5,1,5,1,0,Asura,2068_MR.png,AXL_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200304,2054,400,5,1,5,1,5,1,0,Enmusubi,2054_MR.png,ZRNZ_MR,60601964,4609647,6346610,1686019,1295963,3526516,3687103,1215227,358616,1868945,2002964,0,0,600,300,2000,3000,3000,500,0,300,2300
200305,2060,400,5,1,5,1,5,1,0,Freyja,2060_MR.png,FLY_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
200306,1001,400,33,1,5,1,5,1,0,Player,1000_MR.png,USER_MR,65652127,4993784,6875494,1826520,1403960,3820392,3994361,1316496,388500,2024691,2169877,0,0,600,300,2000,3000,3000,500,0,300,2300
300101,2081,400,5,1,5,1,5,0,0,Horus,2081_MR.png,HLS_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300102,2087,400,5,1,5,1,5,0,0,Prometheus,2087_MR.png,PLMXS_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300103,2084,400,5,1,5,1,5,0,0,Uriel,2084_MR.png,WLE_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300104,2071,400,5,1,5,1,5,0,0,Capricornus,2071_MR.png,MJZ_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300105,2049,400,5,1,5,1,5,0,0,伊卡,2049_MR.png,YKLS_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
300106,2055,400,5,1,5,1,5,0,0,冰龙,2055_MR.png,LB_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
300201,2047,400,5,1,5,1,5,0,0,Cupid,2047_MR.png,QBT_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300202,2053,400,5,1,5,1,5,0,0,Himiko,2053_MR.png,BMH_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300203,2082,400,5,1,5,1,5,0,0,Frigga,2082_MR.png,FLJ_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300204,2063,400,5,1,5,1,5,0,0,Sim Cheong,2063_MR.png,SQE_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300205,2037,400,5,1,5,1,5,0,0,Ra,2037_MR.png,R_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
300206,2050,400,5,1,5,1,5,0,0,Chaos,2050_MR.png,KES_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
300301,2039,400,5,1,5,1,5,0,0,Hera,2039_MR.png,HL_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300302,2060,400,5,1,5,1,5,0,0,Freyja,2060_MR.png,FLY_MR,35351146,2688961,3702189,983511,755979,2057135,2150810,708883,209193,1090218,1168396,0,0,600,300,2000,3000,3000,500,0,300,2100
300303,1001,400,32,1,5,1,5,0,0,Player,1000_MR.png,USER_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300304,2054,400,5,1,5,1,5,0,0,Enmusubi,2054_MR.png,ZRNZ_MR,40401309,3073098,4231073,1124012,863976,2351011,2458068,810152,239077,1245964,1335309,0,0,600,300,2000,3000,3000,500,0,300,2100
300305,2067,400,5,1,5,1,5,0,0,Chang'e,2067_MR.png,CE_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
300306,2068,400,5,1,5,1,5,0,0,Asura,2068_MR.png,AXL_MR,45451473,3457235,4759957,1264514,971973,2644887,2765327,911421,268962,1401709,1502223,0,0,600,300,2000,3000,3000,500,0,300,2100
400101,2086,400,5,1,5,0,0,0,0,Hela,2086_MR.png,HLA_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400102,2078,400,5,1,5,0,0,0,0,Apollo,2078_MR.png,ABL_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400103,2084,400,5,1,5,0,0,0,0,Uriel,2084_MR.png,WLE_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400104,2074,400,5,1,5,0,0,0,0,Venus,2074_MR.png,WNS_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400105,2053,400,5,1,5,0,0,0,0,Himiko,2053_MR.png,BMH_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
400106,2055,400,5,1,5,0,0,0,0,冰龙,2055_MR.png,LB_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
400201,2081,400,5,1,5,0,0,0,0,Horus,2081_MR.png,HLS_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400202,2049,400,5,1,5,0,0,0,0,伊卡,2049_MR.png,YKLS_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400203,2082,400,5,1,5,0,0,0,0,Frigga,2082_MR.png,FLJ_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400204,2047,400,5,1,5,0,0,0,0,Cupid,2047_MR.png,QBT_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400205,2037,400,5,1,5,0,0,0,0,Ra,2037_MR.png,R_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
400206,1001,400,26,1,5,0,0,0,0,Player,1000_MR.png,USER_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
400301,2039,400,5,1,5,0,0,0,0,Hera,2039_MR.png,HL_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400302,2060,400,5,1,5,0,0,0,0,Freyja,2060_MR.png,FLY_MR,15150491,1152412,1586653,421505,323991,881629,921776,303807,89654,467237,500741,0,0,600,300,2000,3000,3000,500,0,300,1900
400303,2050,400,5,1,5,0,0,0,0,Chaos,2050_MR.png,KES_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400304,2063,400,5,1,5,0,0,0,0,Sim Cheong,2063_MR.png,SQE_MR,20200655,1536549,2115537,562006,431988,1175506,1229034,405076,119539,622982,667655,0,0,600,300,2000,3000,3000,500,0,300,1900
400305,2087,400,5,1,5,0,0,0,0,Prometheus,2087_MR.png,PLMXS_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
400306,2068,400,5,1,5,0,0,0,0,Asura,2068_MR.png,AXL_MR,25250818,1920686,2644421,702508,539985,1469382,1536293,506345,149423,778727,834568,0,0,600,300,2000,3000,3000,500,0,300,1900
500101,2054,400,5,1,5,0,0,0,0,Enmusubi,2054_MR.png,ZRNZ_MR,12625410,960344,1322211,351254,269993,734691,768147,253173,74712,389364,417285,0,0,600,300,2000,3000,3000,500,0,300,1700
500102,2067,400,5,1,5,0,0,0,0,Chang'e,2067_MR.png,CE_MR,12625410,960344,1322211,351254,269993,734691,768147,253173,74712,389364,417285,0,0,600,300,2000,3000,3000,500,0,300,1700
500103,2055,400,5,1,5,0,0,0,0,冰龙,2055_MR.png,LB_MR,17675573,1344481,1851095,491756,377990,1028568,1075405,354442,104597,545109,584198,0,0,600,300,2000,3000,3000,500,0,300,1700
500104,2071,400,5,1,5,0,0,0,0,Capricornus,2071_MR.png,MJZ_MR,17675573,1344481,1851095,491756,377990,1028568,1075405,354442,104597,545109,584198,0,0,600,300,2000,3000,3000,500,0,300,1700
500105,2053,400,5,1,5,0,0,0,0,Himiko,2053_MR.png,BMH_MR,22725737,1728618,2379979,632257,485987,1322444,1382664,455711,134481,700855,751112,0,0,600,300,2000,3000,3000,500,0,300,1700
500106,2082,400,5,1,5,0,0,0,0,Frigga,2082_MR.png,FLJ_MR,22725737,1728618,2379979,632257,485987,1322444,1382664,455711,134481,700855,751112,0,0,600,300,2000,3000,3000,500,0,300,1700
500201,2086,400,5,1,5,0,0,0,0,Hela,2086_MR.png,HLA_MR,12625410,960344,1322211,351254,269993,734691,768147,253173,74712,389364,417285,0,0,600,300,2000,3000,3000,500,0,300,1700
500202,2037,400,5,1,5,0,0,0,0,Ra,2037_MR.png,R_MR,12625410,960344,1322211,351254,269993,734691,768147,253173,74712,389364,417285,0,0,600,300,2000,3000,3000,500,0,300,1700
500203,2084,400,5,1,5,0,0,0,0,Uriel,2084_MR.png,WLE_MR,17675573,1344481,1851095,491756,377990,1028568,1075405,354442,104597,545109,584198,0,0,600,300,2000,3000,3000,500,0,300,1700
