id,precondition,general_award,advanced_award
1,0,5:3000006:300,5:3000006:1500|1:2:500
2,630,5:2000018:1,5:2000028:1|1:2:100
3,1260,5:2000018:1,5:2000028:1|1:2:100
4,1890,5:2000018:1,5:2000028:1|1:2:100
5,2520,5:3000006:500,5:3000006:2500|1:2:500
6,3150,5:2000018:1,5:2000028:1|1:2:100
7,3780,5:2000018:1,5:2000028:1|1:2:100
8,4410,5:2000018:1,5:2000028:1|1:2:100
9,5040,5:2000018:1,5:2000028:1|1:2:100
10,5670,5:3000006:1000,5:3000006:5000|1:2:500
11,6300,5:2000018:1,5:2000028:1|1:2:100
12,6930,5:2000018:1,5:2000028:1|1:2:100
13,7560,5:2000018:1,5:2000028:1|1:2:100
14,8190,5:2000018:1,5:2000028:1|1:2:100
15,8820,5:3000006:1500,5:3000006:7500|1:2:500
16,9450,5:2000018:1,5:2000028:1|1:2:100
17,10080,5:2000018:1,5:2000028:1|1:2:100
18,10710,5:2000018:1,5:2000028:1|1:2:100
19,11340,5:2000018:1,5:2000028:1|1:2:100
20,11970,5:3000006:2000,5:3000006:10000|1:2:500
21,12600,5:2000018:1,5:2000028:1|1:2:100
22,13230,5:2000018:1,5:2000028:1|1:2:100
23,13860,5:2000018:1,5:2000028:1|1:2:100
24,14490,5:2000018:1,5:2000028:1|1:2:100
25,15120,5:3000006:3000,5:3000006:15000|1:2:500
