cfg_id,change_cfg_id,price,reward_str
1,2001,9.99,10:600|5:2000009:60
2,2002,19.99,10:1200|5:2000010:50
3,2003,29.99,10:1800|5:2000011:40
4,2004,4.99,10:300|5:3000007:50
5,2005,9.99,10:600|5:3000008:50
6,2006,29.99,10:1800|5:3000009:50
7,2007,99.99,10:6000|5:3000010:50
8,2008,4.99,10:300|5:3000006:300|5:2000018:3
9,2009,4.99,10:300|1:4:3000|5:2000027:1
10,2010,4.99,10:300|1:3:10000
11,2011,29.99,10:1800|5:3000048:10
12,2012,29.99,10:1800|5:3000049:10
13,2013,4.99,10:300|1:14:50000|5:2000020:3
14,2014,29.99,10:1800|5:3000011:7
15,2015,4.99,10:300|5:1000004:40
16,2016,19.99,10:1200|5:3000005:10
17,2017,4.99,10:300|5:3000052:10
18,2018,4.99,10:300|5:3000053:10
19,2019,29.99,10:1800|5:3000027:10
20,2020,19.99,10:1200|5:3000064:10
21,2021,24.99,10:1500|5:3000065:5
22,2023,4.99,10:300|5:3000096:1
200,2022,49.99,5:3000079:10|10:1800
23,2024,9.99,5:3000139:1500|10:600
24,2025,14.99,5:3000148:1|10:900
