vip_level,award
1,1:4:800|5:6000037:1
2,1:4:1000|5:6000037:1
3,1:4:1500|5:6000037:1
4,1:4:2000|5:6000037:1
5,1:4:2500|5:6000037:2|5:6000040:1
6,1:4:3000|5:6000037:2|5:6000040:1
7,1:4:3500|5:6000037:3|5:6000040:2
8,1:4:4000|5:6000037:3|5:6000040:3
9,1:4:4500|5:6000037:4|5:6000040:3
10,1:4:5000|5:6000037:4|5:6000040:4
11,1:4:5500|5:6000038:2|5:6000041:2
12,1:4:6000|5:6000038:3|5:6000041:2
13,1:4:6500|5:6000038:3|5:6000041:3
14,1:4:7000|5:6000038:4|5:6000041:3
15,1:4:7500|5:6000038:4|5:6000041:4
16,1:4:8000|5:6000039:3|5:6000042:2
17,1:4:9000|5:6000039:3|5:6000042:3
18,1:4:10000|5:6000039:4|5:6000042:4
19,1:4:11000|5:6000039:5|5:6000042:5
20,1:4:12000|5:6000039:6|5:6000042:6
