cid,is_open,quality_level,potential,str_initial,agi_initial,int_initial,sta_initial,skill_ids,name,avatar_path,bg_path,spine_name
1001,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,Player,1000.png,ASiJiaDe,USER
1002,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,Player,1000.png,ASiJiaDe,USER
1003,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,Player,1000.png,ASiJiaDe,USER
2037,1,8,5950,1600,1500,1500,1500,123601001|123602001|223611001|223612001|223613001|223614001,Ra,2037.png,DaJinZiTa,R
2039,1,8,6000,1500,1500,1600,1500,123801001|123802001|223811001|223812001|223813001|223814001,Hera,2039.png,PanDuoLaShenMiao,HL
2042,1,8,5400,1110,1110,1110,1110,124101001|124102001|224111001|224112001|224113001|224114001,Xmas Angel,2042.png,ShouErQingDian,SDNS
2047,1,8,5915,1450,1600,1450,1450,124601001|124602001|224611001|224612001|224613001|224614001,Cupid,2047.png,PanDuoLaShenMiao,QBT
2049,1,8,5960,1660,1480,1480,1480,124801001|124802001|224811001|224812001|224813001|224814001,Icarus,2049.png,PanDuoLaShenMiao,YKLS
2050,1,8,6000,1480,1480,1480,1600,124901001|124902001|224911001|224912001|224913001|224914001,Chaos,2050.png,PanDuoLaShenMiao,KES
2051,1,8,6025,1600,1450,1450,1450,125001001|125002001|225011001|225012001|225013001|225014001,Heimdall,2051.png,PanDuoLaShenMiao,HMDE
2053,1,8,6100,1650,1650,1650,1650,125201001|125202001|225211001|225212001|225213001|225214001,Himiko,2053.png,KunLunTianGong,BMH
2054,1,8,5460,1120,1120,1120,1120,125301001|125302001|225311001|225312001|225313001|225314001,Enmusubi,2054.png,ShenNvQiSuo,ZRNZ
2055,1,8,6000,1500,1500,1500,1500,125401001|125402001|225411001|225412001|225413001|225414001,Frost Dragon,2055.png,ShenNvQiSuo,LB
2056,1,8,6000,1500,1500,1500,1500,125501001|125502001|225511001|225512001|225513001|225514001,Ember Dragon,2056.png,RanShaoLianYu,LH
2057,1,8,6000,1500,1500,1500,1500,125601001|125602001|225611001|225612001|225613001|225614001,Storm Dragon,2057.png,KunLunTianGong,LL
2063,1,8,6110,1550,1550,1650,1550,126201001|126202001|226211001|226212001|226213001|226214001,Sim Cheong,2063.png,ShenNvQiSuo,SQE
2060,1,8,6000,1595,1595,1595,1595,125901001|125902001|225911001|225912001|225913001|225914001,Freyja,2060.png,PanDuoLaShenMiao,FLY
2067,1,8,6100,1655,1655,1655,1655,126601001|126602001|226611001|226612001|226613001|226614001,Chang'e,2067.png,NvWaQinGong,CE
2068,1,8,5980,1515,1515,1515,1515,126701001|126702001|226711001|226712001|226713001|226714001,Asura,2068.png,XieShenCangShenChu,AXL
2065,1,8,5950,1580,1580,1580,1580,126401001|126402001|226411001|226412001|226413001|226414001,Gemini,2065.png,KunLunTianGong,YWJ
2069,1,8,6000,1510,1510,1510,1510,126801001|126802001|226811001|226812001|226813001|226814001,Athena,2069.png,PanDuoLaShenMiao,YDN
2071,1,8,6000,1520,1520,1520,1520,127101001|127102001|227111001|227112001|227113001|227114001,Capricornus,2071.png,KunLunTianGong,MJZ
2073,1,8,6050,1500,1500,1500,1500,127301001|127302001|227311001|227312001|227313001|227314001,Pisces,2073.png,ShenNvQiSuo,SYZ
2074,1,8,6010,1510,1510,1510,1510,127401001|127402001|227411001|227412001|227413001|227414001,Venus,2074.png,ShenNvQiSuo,WNS
2075,1,8,6025,1505,1505,1505,1505,127501001|127502001|227511001|227512001|227513001|227514001,Zeus,2075.png,PanDuoLaShenMiao,ZS
2076,1,8,6080,1500,1500,1500,1500,127601001|127602001|227611001|227612001|227613001|227614001,Loki,2076.png,ASiJiaDe,LJ
2077,1,8,5914,1510,1510,1510,1510,127701001|127702001|227711001|227712001|227713001|227714001,Thor,2077.png,ASiJiaDe,SE
2078,1,8,6000,1540,1540,1540,1540,127801001|127802001|227811001|227812001|227813001|227814001,Apollo,2078.png,KunLunTianGong,ABL
2081,1,8,6100,1660,1660,1660,1660,128101001|128102001|228111001|228112001|228113001|228114001,Horus,2081.png,PanDuoLaShenMiao,HLS
2082,1,8,6000,1510,1510,1510,1510,128201001|128202001|228211001|228212001|228213001|228214001,Frigga,2082.png,PanDuoLaShenMiao,FLJ
2083,1,8,6050,1660,1660,1660,1660,128301001|128302001|228311001|228312001|228313001|228314001,Ares,2083.png,PanDuoLaShenMiao,ARS
2084,1,8,5950,1700,1700,1700,1700,128401001|128402001|228411001|228412001|228413001|228414001,Uriel,2084.png,PanDuoLaShenMiao,WLE
2086,1,8,6050,1700,1700,1700,1700,128601001|128602001|228611001|228612001|228613001|228614001,Hela,2086.png,PanDuoLaShenMiao,HLA
2087,1,8,6000,1750,1750,1750,1750,128701001|128702001|228711001|228712001|228713001|228714001,Prometheus,2087.png,PanDuoLaShenMiao,PLMXS
2088,1,8,6000,1750,1750,1750,1750,128801001|128802001|228811001|228812001|228813001|228814001,Raphael the Archangel,2088.png,PanDuoLaShenMiao,ZTSLFE
