cid,quality_level,potential,str_initial,agi_initial,int_initial,sta_initial,active_skill_ids,passive_skill_ids,use_skill_add_anger,normal_attack_add_anger,lose_hp_percent_for_anger,lose_hp_add_anger
1001,15,6800,1800,1800,1800,1800,160110001|160111001|160112001|160113001|160114001|160115001,0|230111001|230121001|230131001|230141001|230151001,60,40,2,1
1002,15,6800,1800,1800,1800,1800,160110001|160111001|160112001|160113001|160114001|160115001,0|230111001|230121001|230131001|230141001|230151001,60,40,2,1
1003,15,6800,1800,1800,1800,1800,160110001|160111001|160112001|160113001|160114001|160115001,0|230111001|230121001|230131001|230141001|230151001,60,40,2,1
2037,15,6611,1779,1779,1779,1779,163601001|163611001|163621001|163631001|163641001|163651001,0|233611001|233621001|233631001|233641001|233651001,60,40,2,1
2039,15,6666,1666,1666,1666,1666,163801001|163811001|163821001|163831001|163841001|163851001,0|233811001|233821001|233831001|233841001|233851001,60,40,2,1
2047,15,6574,1777,1777,1777,1777,164601001|164611001|164621001|164631001|164641001|164651001,0|234611001|234621001|234631001|234641001|234651001,60,40,2,1
2049,15,6621,1842,1842,1842,1842,164801001|164811001|164821001|164831001|164841001|164851001,0|234811001|234821001|234831001|234841001|234851001,60,40,2,1
2050,15,6666,1777,1777,1777,1777,164901001|164911001|164921001|164931001|164941001|164951001,0|234911001|234921001|234931001|234941001|234951001,60,40,2,1
2051,15,6694,1778,1778,1778,1778,165001001|165011001|165021001|165031001|165041001|165051001,0|235011001|235021001|235031001|235041001|235051001,60,40,2,1
2053,15,6778,1833,1833,1833,1833,165201001|165211001|165221001|165231001|165241001|165251001,0|235211001|235221001|235231001|235241001|235251001,60,40,2,1
2054,15,6500,1500,1500,1500,1500,165301001|165311001|165321001|165331001|165341001|165351001,0|235311001|235321001|235331001|235341001|235351001,60,40,2,1
2055,15,6666,1666,1666,1666,1666,165401001|165411001|165421001|165431001|165441001|165451001,0|235411001|235421001|235431001|235441001|235451001,60,40,2,1
2056,15,6666,1666,1666,1666,1666,165501001|165511001|165521001|165531001|165541001|165551001,0|235511001|235521001|235531001|235541001|235551001,60,40,2,1
2060,15,6666,1773,1773,1773,1773,165901001|165911001|165921001|165931001|165941001|165951001,0|235911001|235921001|235931001|235941001|235951001,60,40,2,1
2063,15,6789,1834,1834,1834,1834,166201001|166211001|166221001|166231001|166241001|166251001,0|236211001|236221001|236231001|236241001|236251001,60,40,2,1
2065,15,6611,1758,1758,1758,1758,166401001|166411001|166421001|166431001|166441001|166451001,0|236411001|236421001|236431001|236441001|236451001,60,40,2,1
2067,15,6778,1839,1839,1839,1839,166601001|166611001|166621001|166631001|166641001|166651001,0|236611001|236621001|236631001|236641001|236651001,60,40,2,1
2068,15,6644,1683,1683,1683,1683,166701001|166711001|166721001|166731001|166741001|166751001,0|236711001|236721001|236731001|236741001|236751001,60,40,2,1
2069,15,6666,1678,1678,1678,1678,166801001|166811001|166821001|166831001|166841001|166851001,0|236811001|236821001|236831001|236841001|236851001,60,40,2,1
2071,15,6666,1689,1689,1689,1689,167101001|167111001|167121001|167131001|167141001|167151001,0|237111001|237121001|237131001|237141001|237151001,60,40,2,1
2073,15,6722,1667,1667,1667,1667,167301001|167311001|167321001|167331001|167341001|167351001,0|237311001|237321001|237331001|237341001|237351001,60,40,2,1
2075,15,6694,1672,1672,1672,1672,167501001|167511001|167521001|167531001|167541001|167551001,0|237511001|237521001|237531001|237541001|237551001,60,40,2,1
2076,15,6756,1667,1667,1667,1667,167601001|167611001|167621001|167631001|167641001|167651001,0|237611001|237621001|237631001|237641001|237651001,60,40,2,1
2078,15,6667,1711,1711,1711,1711,167601001|167611001|167621001|167631001|167641001|167651001,0|237611001|237621001|237631001|237641001|237651001,60,40,2,1
2081,15,6778,1844,1844,1844,1844,168101001|168111001|168121001|168131001|168141001|168151001,0|238111001|238121001|238131001|238141001|238151001,60,40,2,1
2082,15,6666,1678,1678,1678,1678,168201001|168211001|168221001|168231001|168241001|168251001,0|238211001|238221001|238231001|238241001|238251001,60,40,2,1
2083,15,6722,1844,1844,1844,1844,168301001|168311001|168321001|168331001|168341001|168351001,0|238311001|238321001|238331001|238341001|238351001,60,40,2,1
2084,15,6611,1889,1889,1889,1889,168401001|168411001|168421001|168431001|168441001|168451001,0|238411001|238421001|238431001|238441001|238451001,60,40,2,1
2086,15,6722,1889,1889,1889,1889,168601001|168611001|168621001|168631001|168641001|168651001,0|238611001|238621001|238631001|238641001|238651001,60,40,2,1
2087,15,6666,1944,1944,1944,1944,168701001|168711001|168721001|168731001|168741001|168751001,0|238711001|238721001|238731001|238741001|238751001,60,40,2,1
