cfg_id,unlock_count,quality,restore,name,icon,description
2037,65,7,20,UR+ Ra Shard,2037_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2039,65,7,20,UR+ Hera Shard,2039_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2047,65,7,20,UR+ Cupid Shard(s),2047_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2049,65,7,20,UR+ Icarus Shard(s),2049_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2050,65,7,20,UR+ Chaos Shard(s),2050_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2051,65,7,20,UR+ Heimdall Shards,2051_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2053,65,7,20,UR+ Himiko Shard,2053_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2054,65,7,20,UR+ Enmusubi Shard,2054_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2055,65,7,20,UR+ Frost Dragon Shard,2055_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2056,65,7,20,UR+ Ember Dragon Shard,2056_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2057,65,7,20,UR+ Storm Dragon Shard,2057_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2060,65,7,20,UR+ Freyja Shard,2060_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2063,65,7,20,UR+ Sim Cheong Shard,2063_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2065,65,7,20,UR+ Gemini Shard,2065_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2067,65,7,20,UR+ Chang'e Shard,2067_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2068,65,7,20,UR+ Asura Shard,2068_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2069,65,7,20,UR+ Athena Shard,2069_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2071,65,7,20,UR+ Capricornus Shard,2071_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2073,65,7,20,UR+ Pisces Shard,2073_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2074,65,7,20,UR+ Venus Shard,2074_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2075,65,7,20,UR+ Zeus Shard,2075_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2076,65,7,20,UR+ Loki Shard,2076_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2077,65,7,20,UR+ Thor Shard,2077_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2081,65,7,20,UR+ Horus Shard,2081_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2082,65,7,20,UR+ Frigga Shard,2082_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
2083,65,7,20,UR+ Ares Shard,2083_UR_PLUS.png,This shard can be used to upgrade the quality of angel in Wonder Waken
