index,type,hero_id,weight
1,1,2006,1
2,1,2007,1
3,1,2018,1
4,1,2020,1
5,1,2030,1
6,2,2005,1
7,2,2008,1
8,2,2010,1
9,2,2017,1
10,2,2023,1
11,2,2029,1
12,3,2009,1
13,3,2021,1
14,3,2022,1
15,3,2027,1
16,3,2033,1
17,3,2034,1
18,4,2001,1
19,4,2002,1
20,4,2003,1
21,4,2004,1
22,4,2011,1
23,4,2014,1
24,4,2015,1
25,4,2019,1
26,4,2028,1
27,4,2036,1
28,5,2013,1
29,5,2024,1
30,5,2026,1
31,5,2038,1
32,5,2040,1
33,5,2041,1
34,5,2046,1
35,6,2012,1
36,6,2016,1
37,6,2025,1
38,6,2031,1
39,6,2032,1
40,6,2035,1
41,6,2037,1
42,6,2039,1
43,6,2042,1
44,6,2047,1
45,6,2048,1
