cfg_id,max_count,quality,restore,day_limit_count,limit_group,limit_level,name,show_in_bag,icon,description,icon_kor
3000001,999,3,1,0,0,0,Copper Hammer,1,3000001.png,Used to unlock the 3rd and 4th gem socket,
3000002,999,4,1,0,0,0,Silver Hammer,1,3000002.png,Used to unlock the 5th and 6th gem socket,
3000003,999,5,1,0,0,0,Gold Hammer,1,3000003.png,Used to unlock the 7th and 8th gem socket,
3000004,999,2,1,0,0,0,Standard Summon Scroll,1,3000004.png,Use it in the Summon screen. It's necessary for STD Summon,
3000005,999,4,1,0,0,0,Adv. Summon Scroll,1,3000005.png,Use it in the Summon screen. A necessary item for Adv. Summon,
3000006,9999999,4,1,0,0,0,Holy Core,1,3000006.png,Dedicated item for Angel level-up,
3000011,999,6,1,0,0,50,Artifact EXP stone,1,3000011.png,Add 10 artifact EXP in artifact Level-up,
3000012,999,4,1,0,0,0,Nuwa Summon Scroll,1,3000012.png,Nuwa patching sky event special Summon Scroll,
3000013,999,3,1,0,0,0,Nuit Summon Scroll,1,3000013.png,Sky Angel event special Summon Scroll,
3000014,999,3,1,0,0,0,Poseidon Summon Scroll,1,3000013.png,海神愤怒活动界面使用，波塞冬召唤必须道具,
3000018,999,5,1,0,0,0,Angel Shard,1,3000018.png,Get random 1 Shard in Line-up for this dungeon,
3000019,999,4,1,0,0,0,Bari Summon Scroll,1,3000013.png,Fork Princess event special Summon Scroll,
3000020,999,4,1,0,0,0,Phantasos Summon Scroll,1,3000013.png,Phantom Dancer event special Summon Scroll,
3000021,999,5,1,0,0,0,Amaterasu Summon Scroll,1,3000012.png,Bright and Eternal event special Summon Scroll,
3000022,999,4,1,0,0,0,Jeanne d'Arc Summon Scroll,1,3000013.png,Heavenly Revelation event special Summon Scroll,
3000023,999,4,1,0,0,0,Fuxi Summon Scroll,1,3000013.png,Human Ancestor event special Summon Scroll,
3000024,999,4,1,0,0,0,战争女神召唤券,1,3000013.png,战争女神活动界面使用，瓦尔基里召唤必须道具,
3000025,999,4,1,0,0,0,Medusa Summon Scroll,1,3000013.png,Snake Banshee event special Summon Scroll,
3000026,999,4,1,0,0,0,Nemesis Summon Scroll,1,3000013.png,Goddess of Revenge event special Summon Scroll,
3000027,999,6,1,0,0,0,Superior Summon Scroll,1,3000012.png,"Can be used in Epic Summon, Legend Summon and Limited Summon",
3000028,999,5,1,0,0,20,pumpkin lantern,1,3000028.png,Drop from battle during Halloween event. Drop items can redeem rewards in the event.,
3000029,999,4,1,0,0,20,Hallween Candy,1,3000029.png,Drop from battle during Halloween event. Drop items can redeem rewards in the event.,
3000030,999,5,1,0,0,0,Halloween Fashion,1,3000030.png,Can redeem Halloween Fashion in main Angel Fashion interface.,
3000031,999,6,1,0,0,0,5 Star Angel Credit,1,3000031.png,Can redeem 5 star Angel Fashion in Angel Fashion interface.,
3000032,999,5,1,0,0,20,Turkey leg,1,3000032.png,Drop during Thanksgiving event in battle and can be used to redeem items during event period.,
3000033,999,4,1,0,0,20,Maple leaf,1,3000033.png,Drop during Thanksgiving event in battle and can be used to redeem items during event period.,
3000034,999,5,1,0,0,20,Gingerbread,1,3000034.png,Drop during Xmas event in battle and can be used to redeem items during event period.,
3000035,999,4,1,0,0,20,Bell,1,3000035.png,Drop during Xmas event in battle and can be used to redeem items during event period.,
3000036,999,4,1,0,0,20,Lantern,1,3000036.png,"During the Spring Festival event, the battlefield will drop off items and you can exchange items in the event fucntion.",
3000037,999,5,1,0,0,20,Red Envelope,1,3000037.png,"During the Spring Festival event, the battlefield will drop off items and you can exchange items in the event fucntion.",
3000038,999,6,1,0,0,0,Spring Fashion,1,3000038.png,Can be used to redeem Spring Fashion in main Angel Fashion interface.,
3000039,999,4,1,0,0,20,Chocolate,1,3000039.png,"Drop during Valentine's Day event in battle, Boss challenge and Boss sweep and can be used to redeem items during event period.",
3000040,999,5,1,0,0,20,Rose,1,3000040.png,"Drop during Valentine's Day event in battle, Boss challenge and Boss sweep and can be used to redeem items during event period.",
3000041,999,4,1,0,0,20,Lily,1,3000041.png,"Drop during Angel's Day event in battle, Boss challenge and Boss sweep and can be used to redeem items during event period.",
3000042,999,5,1,0,0,20,Lipstick,1,3000042.png,"Drop during Angel's Day event in battle, Boss challenge and Boss sweep and can be used to redeem items during event period.",
3000043,999,4,1,0,0,20,Tickets,1,3000043.png,"Items drop during Easter Festival Event, you can redeem items in the event interface",
3000044,999,5,1,0,0,20,Easter Eggs,1,3000044.png,"Items drop during Easter Festival Event, you can redeem items in the event interface",
3000045,0,4,1,0,0,0,Supply Medal,0,3000045.png,Get in activity point treasure chest of daily task. Reach a certain amount to claim rewards in Supply House,
3000046,999,4,1,0,0,20,Letter,1,3000046.png,"Drop during Mother's Day event in battle, Boss challenge and Boss sweep. Can redeem items in event",
3000047,999,5,1,0,0,20,Bouquet,1,3000047.png,"Drop during Mother's Day event in battle, Boss challenge and Boss sweep. Can redeem items in event",
3000048,999,5,1,0,0,60,Epic Summon Scroll,1,3000013.png,Use it in the Summon screen. It's necessary for Epic Summon,
3000049,999,6,1,0,0,100,Legend Summon Scroll,1,3000014.png,Use it in the Summon screen. A necessary item for Legend Summon,
3000050,999,4,1,0,0,20,Starfish,1,3000050.png,Drop during Ocean Party event in battle and can be used to redeem items during event period.,
3000051,999,5,1,0,0,20,Shell,1,3000051.png,Drop during Ocean Party event in battle and can be used to redeem items during event period.,
3000052,999,5,1,0,0,0,King of Gods key,1,3000052.png,Use in Treasure House,
3000053,999,4,1,0,0,0,Lucky coin,1,3000053.png,Use in Lucky Valley event,
3000054,999,4,1,0,0,20,Ice cream,1,3000054.png,Drop from battle during Swimsuit party event and can be used to redeem items during event period.,
3000055,999,5,1,0,0,20,Sweet cone,1,3000055.png,Drop from battle during Swimsuit party event and can be used to redeem items during event period.,
3000056,999,6,1,0,0,0,Swimming Pool Tryst,1,3000056.png,Redeem the Swimsuit Party fashion in Main Angel Fashion interface.,
3000057,999,6,1,0,0,0,Himiko's Credit,1,3000057.png,Redeem the special fashion in Himiko's Fashion interface.,
3000058,999,4,1,0,0,20,Petal,1,3000058.png,Drop from battle during Peace and Love event. Drop items can redeem rewards in the event.,
3000059,999,5,1,0,0,20,Olive branch,1,3000059.png,Drop from battle during Peace and Love event. Drop items can redeem rewards in the event.,
3000060,0,4,1,0,0,70,Gem Essence,0,3000060.png,Players can be obtained rewards through the Star Trial.（Claim rewards in Gem Hunter),
3000061,0,4,1,0,0,30,Holy Core Essence,0,3000061.png,Players can be obtained rewards through the Adventure and Encounters.（Claim rewards in Core Hunter),
3000062,999,4,1,0,0,60,Recovery potion,1,3000062.png,"In the Secret Abyss, you can use it to restore an angel's HP to 50%.",
3000063,999,4,1,0,0,60,Resurrection Potion,1,3000063.png,"In the Secret Abyss, you can use it to restore an angel's HP to 100%.",
3000064,999,4,1,0,0,60,Relic Summon Coupon,1,3000064.png,Used to summon Relics,
3000065,999,6,1,0,0,100,Wish amulet,1,3000065.png,Use it in Wish to directly summon the Immortal Dragon,
3000066,999999999,6,1,0,0,100,Dragon scale,1,3000066.png,Immortal Dragon's scales are used to strengthen Attire. It will add 1200 EXP to your Attire.,
3000067,999,6,1,0,0,0,Magic Rain Credit,1,3000067.png,"Using the Fashion interface, you can exchange for the Enmusubi-Magic Rain.",
3000068,9999999,6,1,0,0,0,Blessing,1,3000068.png,Bless the Angel and increase the charm value of Angel by 30%. Only in the Apple of Discord.,
3000069,9999999,6,1,0,0,0,Dedication,1,3000069.png,"The Angel released herself, making her charm value increase 500%, but she can only fight once in battle. Only in the Apple of Discord.",
3000070,9999999,6,1,0,0,0,Enduring,1,3000070.png,Increase angel victory times to 10 times in battle. Only in the battle of Apple of Discord.,
3000071,9999999,6,1,0,0,0,Clone,1,3000071.png,Copy a clone with 20% charm of angel in fight. Angel will join the fight after the clone dies. Only in the battle of Apple of Discord.,
3000072,99999,5,1,0,0,20,Compass,1,3000072.png,"During the Sailing event, the Dungeon battles have a chance to drop event items, and you can exchange rewards with event items in the event interface.",
3000073,99999,4,1,0,0,20,Treasure Map,1,3000073.png,"During the Sailing event, the Dungeon battles have a chance to drop event items, and you can exchange rewards with event items in the event interface.",
3000074,999,6,1,0,0,0,阿努比斯的信物,1,3000074.png,皮肤界面使用，可以兑换阿努比斯的皮肤,
3000075,999,6,1,0,0,0,Cupid's Credit,1,3000075.png,Use it in Fashion to exchange Cupid's fashion.,
3000076,999,5,1,0,0,20,Sake,1,3000076.png,"During the Cherry Blossom Festival, the battlefield will drop off items and you can exchange items on the event.",
3000077,999,4,1,0,0,20,Bento,1,3000077.png,"During the Cherry Blossom Festival, the battlefield will drop off items and you can exchange items on the event.",
3000078,999,6,1,0,0,0,Valkyrie's Credit,1,3000078.png,Used in Fashion interface to exchange for Valkyrie's skin.,
3000079,999,6,1,0,0,0,Nekomata Summon Scroll,1,3000079.png,Use it in Nekomata limited summon event. A necessary item for Nekomata Summon.,
3000080,999,4,1,0,0,20,Carp streamer,1,3000080.png,"During the May Special event, the battlefield will drop off items and you can exchange items on the event.",
3000081,999,5,1,0,0,20,Wagashi,1,3000081.png,"During the May Special event, the battlefield will drop off items and you can exchange items on the event.",
3000082,999,6,1,0,0,0,Legend Horn,1,3000082.png,"In the cities which used horn, all allies increase ATK by 50% and DEF by 50%.",
3000083,999,5,1,0,0,0,Epic Horn,1,3000083.png,"In the cities which used horn, all allies increase ATK by 30% and DEF by 30%.",
3000084,999,4,1,0,0,0,Advanced Horn,1,3000084.png,"In the cities which used horn, all allies increase ATK by 10% and DEF by 20%.",
3000085,999,3,1,0,0,0,Elementary Horn,1,3000085.png,"In the cities which used horn, all allies increase ATK by 5% and DEF by 10%.",
3000086,999,6,1,0,0,20,Boss challenge scroll,1,3000086.png,"During the event, the battlefield will drop off items, which can be used to challenge the event boss.",
3000087,999,5,1,0,0,20,Bouquet,1,3000142.png,五月花季活动期间战场挂机掉落，可以在活动界面兑换道具。,
3000088,999,6,1,0,0,0,限定召唤五折券,1,3000088.png,在限定召唤中使用后可对限定召唤所需要消耗的钻石进行打五折,
3000089,999,6,1,0,0,0,限定召唤七折券,1,3000089.png,在限定召唤中使用后可对限定召唤所需要消耗的钻石进行打七折,
3000090,999,6,1,0,0,0,限定召唤八折券,1,3000090.png,在限定召唤中使用后可对限定召唤所需要消耗的钻石进行打八折,
3000091,999,6,1,0,0,0,限定召唤九折券,1,3000091.png,在限定召唤中使用后可对限定召唤所需要消耗的钻石进行打九折,
3000092,999999,4,1,0,0,100,Rune Essence,1,3000092.png,Item which is needed in leveling up general talent,
3000093,999999,4,1,0,0,100,Warrior Rune,1,3000093.png,Item which is needed in leveling up warrior talent,
3000094,999999,4,1,0,0,100,Mage Rune,1,3000094.png,Item which is needed in leveling up mage talent,
3000095,999999,4,1,0,0,100,Archer Rune,1,3000095.png,Item which is needed in leveling up archer talent,
3000096,999,6,1,0,0,0,Magic Star Ring,1,3000096.png,Precious material which is needed for vowing to your angels,
3000099,999,6,1,0,0,0,Romantic Beach,0,3000099.png,unlock the backgroud of hall page: Romantic Beach,
3000100,0,6,1,0,0,0,Halloween Carnival,0,3000100.png,Unlock the background of Hallo-Scream,
3000101,999999,4,1,0,0,20,Star Shard,1,3000101.png,"During the Celestial Party event, the battlefield will drop off items and you can exchange items at the event.",
3000102,999999,5,1,0,0,20,Moon Shard,1,3000102.png,"During the Celestial Party event, the battlefield will drop off items and you can exchange items at the event.",
3000103,999999,6,1,0,0,60,Relic Reforge Scroll,1,3000103.png,Used to reforge relics,
3000104,999999,2,1,0,0,60,Reiki fruit,1,3000104.png,Increase Eudemon experience by 100,
3000105,999999,3,1,0,0,60,Jade fruit,1,3000105.png,Increase Eudemon experience by 200,
3000106,999999,4,1,0,0,60,Dragonblood fruit,1,3000106.png,Increase Eudemon experience by 400,
3000107,999999,5,1,0,0,60,Divine fruit,1,3000107.png,Increase Eudemon experience by 800,
3000108,999999,2,1,0,0,60,Eudemon teaser wand,1,3000108.png,85% chance of increasing Eudemon experience by 150,
3000109,999999,3,1,0,0,60,Noble ribbon,1,3000109.png,90% chance of increasing Eudemon experience by 300,
