cfg_id,max_count,quality,restore,limit_level,name,show_in_bag,icon,description,Sort,favor_hero,common_increase,favor_increase
7000001,999,3,1,30,Classical Ale,0,7000001.png,"Use it on angel page, can increase favorability points",1,2050|2037|2060|2035|2014|2001|2011|2036|2015|2033|2010|2029|2005|2006|2020|2068|2070|2074|2078|2082|2086,5,6
7000002,999,3,1,30,Wind Chime,0,7000002.png,"Use it on angel page, can increase favorability points",1,2047|2049|2055|2058|2032|2054|2042|2013|2046|2002|2021|2034|2022|2017|2061|2065|2071|2075|2079|2083,5,6
7000003,999,3,1,30,Flawless Rose,0,7000003.png,"Use it on angel page, can increase favorability points",1,2062|2057|2063|2025|2059|2039|2026|2038|2028|2012|2004|2027|2009|2008|2023|2067|3072|2076|2080|2084,5,6
7000004,999,3,1,30,Ceremony Sword,0,7000004.png,"Use it on angel page, can increase favorability points",1,2051|2053|2056|2048|2031|2052|2016|2041|2024|2040|2019|2003|2018|2007|2030|2069|2073|2077|2081|2085,5,6
7000005,999,4,1,30,"Chateau Lafite-Rothschild, 1982",0,7000005.png,"Use it on angel page, can increase favorability points",2,2050|2037|2060|2035|2014|2001|2011|2036|2015|2033|2010|2029|2005|2006|2020|2068|2070|2074|2078|2082|2086,10,12
7000006,999,4,1,30,Exquisite Silk,0,7000006.png,"Use it on angel page, can increase favorability points",2,2047|2049|2055|2058|2032|2054|2042|2013|2046|2002|2021|2034|2022|2017|2061|2065|2071|2075|2079|2083,10,12
7000007,999,4,1,30,Wishing Crystal,0,7000007.png,"Use it on angel page, can increase favorability points",2,2062|2057|2063|2025|2059|2039|2026|2038|2028|2012|2004|2027|2009|2008|2023|2067|3072|2076|2080|2084,10,12
7000008,999,4,1,30,Futhark Rune,0,7000008.png,"Use it on angel page, can increase favorability points",2,2051|2053|2056|2048|2031|2052|2016|2041|2024|2040|2019|2003|2018|2007|2030|2069|2073|2077|2081|2085,10,12
7000009,999,5,1,30,Golden Space Mead,0,7000009.png,"Use it on angel page, can increase favorability points",3,2050|2037|2060|2035|2014|2001|2011|2036|2015|2033|2010|2029|2005|2006|2020|2068|2070|2074|2078|2082|2086,20,24
7000010,999,5,1,30,Artisan God's Painting,0,7000010.png,"Use it on angel page, can increase favorability points",3,2047|2049|2055|2058|2032|2054|2042|2013|2046|2002|2021|2034|2022|2017|2061|2065|2071|2075|2079|2083,20,24
7000011,999,5,1,30,World Tree Leaf,0,7000011.png,"Use it on angel page, can increase favorability points",3,2062|2057|2063|2025|2059|2039|2026|2038|2028|2012|2004|2027|2009|2008|2023|2067|3072|2076|2080|2084,20,24
7000012,999,5,1,30,God of War Flag,0,7000012.png,"Use it on angel page, can increase favorability points",3,2051|2053|2056|2048|2031|2052|2016|2041|2024|2040|2019|2003|2018|2007|2030|2069|2073|2077|2081|2085,20,24
7000013,999,6,1,30,Heavenly Fountain,0,7000013.png,"Use it on angel page, can increase favorability points",4,2050|2037|2060|2035|2014|2001|2011|2036|2015|2033|2010|2029|2005|2006|2020|2068|2070|2074|2078|2082|2086,50,60
7000014,999,6,1,30,Divinity Statue,0,7000014.png,"Use it on angel page, can increase favorability points",4,2047|2049|2055|2058|2032|2054|2042|2013|2046|2002|2021|2034|2022|2017|2061|2065|2071|2075|2079|2083,50,60
7000015,999,6,1,30,Tear of the Goddess,0,7000015.png,"Use it on angel page, can increase favorability points",4,2062|2057|2063|2025|2059|2039|2026|2038|2028|2012|2004|2027|2009|2008|2023|2067|3072|2076|2080|2084,50,60
7000016,999,6,1,30,Soul Force Holy Grail,0,7000016.png,"Use it on angel page, can increase favorability points",4,2051|2053|2056|2048|2031|2052|2016|2041|2024|2040|2019|2003|2018|2007|2030|2069|2073|2077|2081|2085,50,60
