award_id,notify_type,thing
1,3,6:2030
3,3,7:2022:5|7:2006:5|6:2022|7:2023:5|7:2021:5|7:2018:5|6:2020|7:2005:5|7:2018:5|7:2020:5
4,0,1:1:100000
5,0,1:3:20000|1:6:2000
6,1,3:1101:5
7,0,5:3000007:1
8,0,1:1:100000
9,1,5:3000006:200|1:1:40000|5:1000039:1
10,0,3:5001:2|3:7001:2|1:3:20
11,0,1:1:35000|4:101:2
13,3,15:150001:1|15:150002:1|15:150003:1|15:150005:1|15:150002:1|15:150004:1|15:150001:1|15:150015:1|15:150006:1|15:150001:1
14,1,16:160101
15,1,5:3000068:3|5:3000069:3|5:3000070:3|5:3000071:3
16,0,5:3000104:1
17,0,1:19:200
18,0,23:1:1
19,0,5:3000129:1000
20,0,25:1001:40
21,0,5:3000214:100
22,0,5:3000245:30
