switch_id,content,dialog
20301,冷静应对,20301
20401,大声呼救,20401
21101,畏畏缩缩,21101
21201,鼓起勇气,21201
21501,无奈,21501
21601,害怕,21601
22301,接受,22301
22401,Refuse,22401
31101,I will not let that happen.,30110115
31102,I may need your help...,30110117
31201,I cannot deny it. But only power can bring order.,30110305
31202,No one is innocent in the struggle for power!,30110306
31301,"Yes, you are right...",30120115
31302,"No, I am not like that!",30120118
31401,"As the goddess of war,you should know that we are mismatched in power!",30120208
31402,"As the goddess of wisdom, you should know that peace matters most.",30120211
31501,To rebuild the order of the Greek Gods.,30120311
31502,To conquer all other gods.,30120313
31601,Power is everything!,30130316
31602,I will never become a puppet of this divine power!,30130319
31701,"In the name of Queen Hera, attack on my signal!",30140110
32101,Well... Do you know who it is?,30210114
32102,I don't care about all these. Just take me out of here.,30210116
32201,I will still enjoy this last battle.,30230319
32202,I will not take chances on the future of the Greek gods.,30230320
33101,"Yes, I will insist on going on my path.",30330314
33102,No. Love cannot easily be defined. We all have an answer.,30330317
34101,I have the same feeling too...,30430314
34102,I suspect that it's the lingering remnants of Apep's power.,30430315
35101,I will give you to them.,30530318
35102,I will take you all to myself.,30530321
36101,I will not accept this!,30630319
36102,I accept you...,30630321
37101,I don't trust a word coming from your mouth. Tell us where Belldandy is!,30730316
37102,Oh? How?,30730318
38101,I accept your challenge!,30830310
38102,I'm not interested.,30830312
39101,My pursuit of power means nothing if I retreat.,30900094
39102,You are right. I shouldn't act on impulse.,30900095
40101,I am interested. What is it?,31000112
40102,I don't care. All I care is to take back my throne!,31000114
41101,I am up for the challenge!,31100126
41102,"Sorry, I don't think I am ready for that.",31100127
42101,"I’m sorry, Kaguya… I can’t sacrifice myself here. My people need me.",31200121
42102,"I understand. Even if I have to risk falling into the underworld, I will face her!",31200119
43101,"So many depend on the moon. I have to get it back, even if it costs me everything!",31300178
43102,You are right. Someone who can swallow the sky is not something I can deal with. I should go back and report to Xiwangmu.,31300180
44101,I... just want things to go back to the way they were. I want a peaceful life with my sister!,31400129
44102,You're right. Power is the only way to protect her...,31400130
45101,"No, age-old traditions should not be changed.",31500105
45102,"Well if you insist, then I will continue to rule Asgard. At least, until you change your mind...",31500106
46101,"I understand, sister. I will chase away the shadows in my heart.",31600126
46102,I need time to figure this all out...,31600127
47101,Then draw your weapon!,31700120
47102,"I have no intention of fighting you, it's pointless!",31700122
48101,No one is born strong. Strength is forged from the weak.,31800108
48102,The division between strength and weakness is absolute. There is no so-called growth.,31800110
49101,That's right. That's why I have the confidence to face my horrible past self.,31900130
49102,You're right. I should cherish the present more.,31900132
50101,(Use a trick to get Cronus' soul out of Athena's body),33000118
50102,(Continue to activate the seal),33000127
51101,...Seal her away. I cannot put the Greek Goddesses in danger.,34000136
51102,i will save her.She also has the right to live!,34000138
52101,I don't want to forget my companions.,34100159
52102,I will face my destiny.,34100160
53101,Forget it. I've got nothing to discuss with her.,34200147
53102,I guess this is the only way to figure everything out.,34200148
54101,I don't think I have the courage to face her...,34300071
54102,I will give her true happiness!,34300072
55101,"If even you struggle with such power, then it would be even more dangerous in my hands.",34400075
55102,I will master this power and make it the sharp spearhead of Asgard!,34400076
56101,"It sounds intriguing. If I can find pleasure on this path, I see no reason to refuse.",34500086
56102,"It sounds a bit tedious. Oh well, it's about time to head home.",34500087
