dungeon_id,begin_shot_id,end_shot_id,begin_shot_id_video,end_shot_id_video
1,6011,0,70054001,70054006
12,1009001,0,70056005,70056011
20,1010001,1010017,70056012,70056020
26,1011001,0,1011001,0
32,1012001,0,1012001,0
42,1013001,0,1013001,0
50,1014001,0,1014001,0
60,1015001,1015014,1015001,1015014
61,1016001,0,1016001,0
62,1017001,0,1017001,0
63,1018001,0,1018001,0
70,1019001,0,1019001,0
82,1020001,0,1020001,0
88,1021001,0,1021001,0
97,1022001,0,1022001,0
100,1023001,1023004,1023001,1023004
112,1024001,0,1024001,0
118,1025001,0,1025001,0
124,1026001,0,1026001,0
129,1027001,0,1027001,0
142,1028001,0,1028001,0
149,1029001,0,1029001,0
160,1030001,1030013,1030001,1030013
206,1031001,0,1031001,0
211,1032001,0,1032001,0
215,1033001,0,1033001,0
220,1034001,1034009,1034001,1034009
250,1035001,0,1035001,0
255,1036001,0,1036001,0
260,1037001,0,1037001,0
270,1038001,0,1038001,0
280,1039001,1039005,1039001,1039005
291,1040001,0,1040001,0
337,1041001,0,1041001,0
362,1042001,0,1042001,0
400,1043001,1043007,1043001,1043007
502,1044001,0,1044001,0
520,1045001,1045006,1045001,1045006
