id,dungeon_id,damage,thing_des,guild_exp
1,1,1000,5:1000023:1|1:13:10,10
4,1,3500,5:1000023:1|1:13:10,3
5,1,5300,5:1000023:1|1:13:10,2
8,1,18000,5:1000024:1|1:13:20,3
10,1,40000,5:1000024:1|1:13:20,2
15,2,114000,5:1000023:1|1:13:10,10
21,2,212000,5:1000024:1|1:13:20,5
22,2,298000,5:1000024:1|1:13:20,5
23,2,426000,5:1000024:1|1:13:20,5
25,2,910000,5:1000024:1|1:13:20,5
32,3,948000,5:1000023:1|1:13:10,5
39,3,1556000,5:1000024:1|1:13:20,10
40,3,1880000,5:1000024:1|1:13:20,15
42,3,3094000,5:1000024:1|1:13:20,15
43,3,4186000,5:1000025:1|1:13:35,10
53,4,4316000,5:1000024:1|1:13:20,10
60,4,6400000,5:1000025:1|1:13:35,10
61,4,7506000,5:1000025:1|1:13:35,10
62,4,9166000,5:1000025:1|1:13:35,10
63,4,11658000,5:1000025:1|1:13:35,20
76,5,12088000,5:1000024:1|1:13:20,10
81,5,14918000,5:1000025:1|1:13:35,10
82,5,16558000,5:1000025:1|1:13:35,10
83,5,18998000,5:1000025:1|1:13:35,20
84,5,22658000,5:1000025:1|1:13:35,20
