id,ruchang_anim,ruchang_effect,anim_time
102039300,HLjt,HLruchang_Effect,11.3
102047301,QBTruchang,QBTruchang_Effect,8.65
102050300,KESruchang,KESTruchang_Effect,9.7
102037300,LAruchng,LAruchang_Effect,10.5
102049300,YKLSruchang,YKLSruchang_Effect,10.5
102053300,BMHruchang,BMHTruchang_Effect,10.5
102051300,HMDEruchang,HMDEruchang_Effect,12.0
102057300,LLruchang,LLruchang_Effect,10.0
102056300,LHruchang,LHruchang_Effect,11.2
101003888,USERruchang,USERruchang_Effect,11.6
102055300,LBruchang,LBruchang_Effect,11.6
102081300,HLSruchang,HLSruchang_Effect,10.2
102063300,SQEruchang,SQEruchang_Effect,9.4
102067300,CEruchang,CEruchang_Effect,10.0
102065300,YWJruchang,YWJruchang_Effect,12.5
102060300,FLYruchang,FLYruchang_Effect,10.5
102082300,FLJruchang,FLJruchang_Effect,10.8
102069300,YDNruchang,YDNruchang_Effect,10.0
102068300,AXLruchang,AXLruchang_Effect,10.0
102071300,MJZruchang,MJZruchang_Effect,10.9
102075300,ZSruchang,ZSruchang_Effect,10.5
102073300,SYZruchang,SYZruchang_Effect,10.8
102074300,WNSruchang,WNSruchang_Effect,10.6
102083300,ARSruchang,ARSruchang_Effect,10.6
102054300,ZRNZruchang,ZRNZruchang_Effect,10.3
102077300,SEruchang,SEruchang_Effect,10.6
102076300,LJruchang,LJruchang_Effect,10.0
102078300,ABLruchang,ABLruchang_Effect,11.1
102039368,HLMRruchang,HLMRruchang_Effect,10.2
102047368,QBTMRruchang,QBTMRruchang_Effect,10.2
102084300,WLEURruchang,WLEURruchang_Effect,10.7
102084368,WLEMRruchang,WLEMRruchang_Effect,9.8
102049368,YKLSMRruchang,YKLSMRruchang_Effect,10.5
102037368,RMRruchang,RMRruchang_Effect,10.7
102050368,KESMRruchang,KESMRruchang_Effect,9.5
102053368,BMHMRruchang,BMHMRruchang_Effect,9.8
102051368,HMDEMRruchang,HMDRMRruchang_Effect,9.6
102055368,LBMRruchang,LBMRruchang_Effect,10.0
102054368,ZRNZMRruchang,ZRNZMRruchang_Effect,9.8
102056368,LHMRruchang,LHMRruchang_Effect,10.3
102065368,YWJMRruchang,YWJMRruchang_Effect,10.7
102082368,FLJMRruchang,FLJMRruchang_Effect,9.5
102063368,SQEMRruchang,SQEMRruchang_Effect,9.8
102086300,HLAruchang,HLAruchang_Effect,9.4
102086368,HLAMRruchang,HLAMRruchang_Effect,9.8
101003900,USERMRruchang,USERMRruchang_Effect,9.6
102060368,FLYMRruchang,FLYMRruchang_Effect,9.4
102067368,CEMRruchang,CEMRruchang_Effect,8.7
102076368,LJMRruchang,LJMRruchang_Effect,9.2
102068368,AXLMRruchang,AXLMRruchang_Effect,9.6
102083368,ARSMRruchang,ARSMRruchang_Effect,9.2
102081368,HLSMRruchang,HLSMRruchang_Effect,8.3
102087300,PLMXSruchang,PLMXSruchang_Effect,8.9
102087368,PLMXSMRruchang,PLMXSMRruchang_Effect,8.4
102075368,ZSMRruchang,ZSMRruchang_Effect,8.5
102069368,YDNMRruchang,YDNMRruchang_Effect,9.4
102071368,MJZMRruchang,MJZMRruchang_Effect,8.6
