index,hero_quality_level,awake_count,coin_need,skill_open,stone_need,level_max,level_add_attr_permillage
1,1,0,0,1,0,30,1000
2,1,1,10000,1|2,10,35,1000
3,1,2,20000,1|2|3,20,40,1000
4,2,0,0,1,0,50,1000
5,2,1,10000,1|2,10,60,1000
6,2,2,20000,1|2|3,20,70,1000
7,2,3,30000,1|2|3|4,30,80,1000
8,3,0,0,1,0,70,1000
9,3,1,10000,1|2,10,80,1000
10,3,2,20000,1|2|3,20,90,1000
11,3,3,30000,1|2|3|4,30,100,1000
12,4,0,0,1,0,100,1000
13,4,1,10000,1|2,10,120,1000
14,4,2,20000,1|2|3,20,140,1000
15,4,3,30000,1|2|3|4,30,150,1000
16,4,4,40000,1|2|3|4|5,40,160,1000
17,5,0,0,1,0,140,1000
18,5,1,10000,1|2,10,160,1000
19,5,2,20000,1|2|3,20,180,1000
20,5,3,30000,1|2|3|4,30,190,1000
21,5,4,40000,1|2|3|4|5,40,200,1000
22,6,0,0,1,0,180,1000
23,6,1,10000,1|2,10,200,1000
24,6,2,20000,1|2|3,20,220,1000
25,6,3,30000,1|2|3|4,30,240,1000
26,6,4,40000,1|2|3|4|5,40,250,1000
27,6,5,50000,1|2|3|4|5|6,50,260,1000
28,7,0,0,1,0,220,1000
29,7,1,10000,1|2,10,240,1000
30,7,2,20000,1|2|3,20,260,1000
31,7,3,30000,1|2|3|4,30,280,1000
32,7,4,40000,1|2|3|4|5,40,290,1000
33,7,5,50000,1|2|3|4|5|6,50,300,1000
34,8,5,0,1,0,300,1000
35,8,6,10000,1|2,10,320,1000
36,8,7,20000,1|2|3,20,340,1000
37,8,8,30000,1|2|3|4,30,360,1000
38,8,9,40000,1|2|3|4|5,40,380,1000
39,8,10,50000,1|2|3|4|5|6,50,400,1000
40,100,5,0,1|2|3|4|5|6,0,400,1000
