id,signal,index,pre_index,type,level,add_attr,value_type,show_type,cost_count
1,4,1,0,1,1,3:1:30|3:3:30,1|1,1|1,100
2,4,1,0,1,2,3:1:60|3:3:60,1|1,1|1,300
3,4,1,0,1,3,3:1:90|3:3:90,1|1,1|1,900
4,4,1,0,1,4,3:1:120|3:3:120,1|1,1|1,1500
5,4,1,0,1,5,3:1:150|3:3:150,1|1,1|1,1800
6,4,2,1,1,1,3:4:30|3:8:20,1|1,1|1,100
7,4,2,1,1,2,3:4:60|3:8:40,1|1,1|1,300
8,4,2,1,1,3,3:4:90|3:8:60,1|1,1|1,900
9,4,2,1,1,4,3:4:120|3:8:80,1|1,1|1,1500
10,4,2,1,1,5,3:4:150|3:8:100,1|1,1|1,1800
11,4,3,2,2,1,1:1:50,2,0,1
12,4,4,3,1,1,2:17:20|3:14:20,2|1,0|1,100
13,4,4,3,1,2,2:17:40|3:14:40,2|1,0|1,300
14,4,4,3,1,3,2:17:60|3:14:60,2|1,0|1,900
15,4,4,3,1,4,2:17:80|3:14:80,2|1,0|1,1500
16,4,4,3,1,5,2:17:100|3:14:100,2|1,0|1,1800
17,4,5,4,2,1,2:38:50|2:18:20,1|1,1|0,1
18,4,6,5,1,1,3:2:40|3:9:20,1|1,1|1,100
19,4,6,5,1,2,3:2:80|3:9:40,1|1,1|1,300
20,4,6,5,1,3,3:2:120|3:9:60,1|1,1|1,900
21,4,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1500
22,4,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1800
23,4,7,6,2,1,2:39:100|3:5:100,1|1,1|1,1
24,4,8,6,2,1,2:38:100|3:8:100,1|1,1|1,1
25,4,9,8,1,1,3:1:40|3:13:20,1|1,1|1,100
26,4,9,8,1,2,3:1:80|3:13:40,1|1,1|1,300
27,4,9,8,1,3,3:1:120|3:13:60,1|1,1|1,900
28,4,9,8,1,4,3:1:160|3:13:80,1|1,1|1,1500
29,4,9,8,1,5,3:1:200|3:13:100,1|1,1|1,1800
30,4,10,9,2,1,2:22:150|2:37:100,1|1,1|1,1
31,1,1,0,1,1,3:2:30|3:13:30,1|1,1|1,100
32,1,1,0,1,2,3:2:60|3:13:60,1|1,1|1,300
33,1,1,0,1,3,3:2:90|3:13:90,1|1,1|1,900
34,1,1,0,1,4,3:2:120|3:13:120,1|1,1|1,1500
