cid,dialog,dialog_book
2001,"Make an eternal vow with me? Uh... do you mean you want to be turned into stone? Wait...wait! I'm just kidding! Actually, I just wanted to watch you panic.",
2002,"I worry that I may never regain my powers, which sleep in the depths of the sea. But when sharing this vow with you, that concern seems far less important.",
2003,"This eternal vow is a union of our souls and beliefs. I have experienced countless dangers and trials, and now that you are with me, we will surely end this apocalyptic catastrophe.",
2004,"Traditionally, sirens sing when making their vows. But I am worried you would faint from happiness if I were to sing here and now. I should wait until the evening when we are alone.",
2005,"Wow! I'm surprised that you chose to make a vow with me! Although I cannot give you eternal life, I promise to make you the most beautiful mummy in the world!",
2006,"We have already placed our trust in each other, so a vow is irrelevant. Still, I am pleased with the gentleness that comes from the depths of your soul.",
2007,Awwww...I am very happy to earn your approval and make an eternal vow with you! But this little cutie next to me seems...er.. not pleased about this...,
2008,"The union of two souls through a vow is like preparing medicine. When blended, two ingredients, no matter how common, can create a miracle.",
2009,"Our vows create a dependence between our souls, much like that between lush trees and nourishing soil. I will always do my best to protect you like the earth.",
2010,"Ah... If I make this vow, does it mean that I only belong to you? But I want to be everyone's sweet heart!",
2011,I have been waiting for this day for a long time! Hey? Why are you staring at me? Are you hoping for a kiss? Haha... This is the first time I've seen you blush.,
2012,I am grateful for this eternal vow. I will always be there for you when you need me. Always trust in the power bestowed by the earth.,
2013,"You should know that I made this vow with you only because you seem very unlucky. Without my help, your luck will only get worse!",
2014,"Even the goddess of victory suffers from fear and anxiety. But with this vow, I feel courage in the depths of my soul. From now on, we will lead our companions to victory together.",
2015,I know that someday the end of your life will separate us. You are but a mere mortal. Yet I am still happy to make this vow. You will remain young in my heart forever.,
2016,I could feel the radiance of your soul the moment you made your vow. You are more courageous than any hero in Valhalla. It is my eternal honor and joy to accompany you on the battlefield.,
2017,"Angels must make vows with humans to ensure they do not stray down an evil path. May our spiritual bond bring you courage and wisdom, and may my love for you dispel your fear.",
2018,"Vows? My race does not make these. But if I make one with you, we can fight together to defeat our enemies in battle. How convenient!",
2019,Our vow is a symbol of justice. I sense the light of justice in your soul instead of the darkness of revenge. Perhaps we can work together to bring true order.,
2020,May our vows unite our destinies. May our souls stay united until the end of the world. ... What do you think of that vow? I wrote it last night!,
2021,"As a messenger for the gods, I like to be one step ahead of everything. But don't you think our relationship is moving... too fast? I'm so excited that my heart is jumping out of my chest!",
2022,"I have foreseen this moment since the day I met you. Destiny can be so boring, but you bring a lot of surprises.",
2023,"Even a leaf or a bunch of flowers can release nature's energy. Although my ability to control the earth fades, I will still do my best to support you in battle.",
2024,"Ha! Did you know that countless demons, devils, and angels have offered their vows to me? But you are the only human to make me genuinely willing to accept?",
2025,"Partings and reunions are part of nature's cycle, and spiritual bonds are its most precious blessing. I will not let this apocalypse weather my commitment. My vow to you will be as eternal as stone.",
2026,"From ancient times to the present, I seldom make vows. But whenever we're together, I find myself wanting time to pass more slowly. I have never been so firm in my vows before.",
2027,"I used to think vows were nonsense because everything fades with time. However, your soul resonates with mine, for you hope to face eternity with me.",
2028,You seem very eager to make this vow with me. Are you no longer satisfied with our mentor-student relationship? You seem like someone who can't handle being alone.,
2029,"Hmph... I am not interested in making a vow with someone aligned with justice. However, you have proven your strength, and that interests me...",
2030,"I still remember when this apocalypse began and, for the first time, I answered the call of a mortal. Perhaps we were meant to resolve this catastrophe together.",
2031,You are a very brave human to make an eternal vow with me--the god of death. I look forward to sleeping each night in your arms.,
2032,"Every day at sunset, I dreamed of finding the one who would make an eternal vow with me. Now destiny has brought you to me. I hope we can live happily together in the days to come.",
2033,"Humans used to fear the darkness of night. But now that we have made our vow, the night will no longer cause you to cower in fear. Instead, it will serve as a shield to protect you.",
