id,unlock_pre_id,number,belong_to_activity_hero_cid,face_image,first_dialog_id,second_dialog_id,reward
101,0,1,2055,2056.png,20550101,0,5:3000027:1
102,101,2,2055,2057.png,0,20550201,5:3000027:1
103,102,3,2055,2011_2.png,20550301,0,5:3000027:1
104,103,4,2055,2062.png,0,0,5:3000027:1
105,104,5,2055,2047_2.png,0,20550401,5:3000027:1
205601,0,1,2056,2057.png,20560101,0,5:3000027:1
205602,205601,2,2056,2055_UR.png,0,20560201,5:3000027:1
205603,205602,3,2056,2040_2.png,20560301,20560401,5:3000027:1
205604,205603,4,2056,2037_UR.png,20560501,0,5:3000027:1
205605,205604,5,2056,2035_2.png,0,20560601,5:3000027:1
205701,0,1,2057,2056_UR.png,20570101,0,5:3000027:1
205702,205701,2,2057,2055_UR.png,0,20570201,5:3000027:1
205703,205702,3,2057,2053_UR.png,20570301,0,5:3000027:1
205704,205703,4,2057,2012_2.png,0,0,5:3000027:1
205705,205704,5,2057,2051_4.png,0,20570401,5:3000027:1
205101,0,1,2051,2031.png,20510101,0,5:3000027:1
205102,205101,2,2051,2048.png,0,0,5:3000027:1
205103,205102,3,2051,2039_UR.png,0,20510201,5:3000027:1
205104,205103,4,2051,2035.png,20510301,20510401,5:3000027:1
205105,205104,5,2051,2057_UR.png,20510501,20510601,5:3000027:1
206001,0,1,2060,2016_2.png,20600101,0,5:3000027:1
206002,206001,2,2060,2057_UR.png,0,0,5:3000027:1
206003,206002,3,2060,2035_2.png,0,20600201,5:3000027:1
206004,206003,4,2060,2048_2.png,20600301,0,5:3000027:1
206005,206004,5,2060,2039_UR.png,0,20600401,5:3000027:1
206701,0,1,2067,2060_2.png,20670101,0,5:3000027:1
206702,206701,2,2067,2047_UR.png,0,20670201,5:3000027:1
206703,206702,3,2067,2026_2.png,20670301,0,5:3000027:1
206704,206703,4,2067,2040_2.png,0,0,5:3000027:1
206705,206704,5,2067,2025_4.png,0,20670401,5:3000027:1
206801,0,1,2068,2067_UR.png,20680101,0,5:3000027:1
206802,206801,2,2068,2063_UR.png,0,0,5:3000027:1
206803,206802,3,2068,2053_1.png,0,20680201,5:3000027:1
206804,206803,4,2068,2060_2.png,20680301,0,5:3000027:1
206805,206804,5,2068,2051_UR.png,0,20680401,5:3000027:1
205401,0,1,2054,2038.png,20540101,0,5:3000027:1
205402,205401,2,2054,2046.png,0,0,5:3000027:1
205403,205402,3,2054,2032.png,0,20540201,5:3000027:1
205404,205403,4,2054,2049_UR.png,20540301,0,5:3000027:1
205405,205404,5,2054,2039_UR.png,0,20540401,5:3000027:1
206501,0,1,2065,2063_UR.png,20650101,0,5:3000027:1
206502,206501,2,2065,2062.png,0,0,5:3000027:1
206503,206502,3,2065,2032.png,0,20650201,5:3000027:1
206504,206503,4,2065,2060_UR.png,20650301,20650401,5:3000027:1
206505,206504,5,2065,2055_UR.png,20650501,20650601,5:3000027:1
206901,0,1,2069,2065_UR.png,20690101,20690201,5:3000027:1
206902,206901,2,2069,2048.png,20690301,0,5:3000027:1
206903,206902,3,2069,2050_UR.png,0,0,5:3000027:1
206904,206903,4,2069,2049_UR.png,0,0,5:3000027:1
206905,206904,5,2069,2039_UR.png,0,20690401,5:3000027:1
207101,0,1,2071,2065_UR.png,20710101,0,5:3000027:1
207102,207101,2,2071,2069_UR.png,0,0,5:3000027:1
207103,207102,3,2071,2047_UR.png,0,0,5:3000027:1
207104,207103,4,2071,2056_UR.png,0,0,5:3000027:1
207105,207104,5,2071,2024_2.png,0,20710201,5:3000027:1
207301,0,1,2073,2057_UR.png,20730101,0,5:3000027:1
207302,207301,2,2073,2056_UR.png,0,20730201,5:3000027:1
207303,207302,3,2073,2071_UR.png,20730301,0,5:3000027:1
207304,207303,4,2073,2016_2.png,0,0,5:3000027:1
207305,207304,5,2073,2068_UR.png,0,20730401,5:3000027:1
207401,0,1,2074,2054_UR.png,20740101,0,5:3000027:1
207402,207401,2,2074,2060_UR.png,0,20740201,5:3000027:1
207403,207402,3,2074,2039_UR.png,20740301,0,5:3000027:1
207404,207403,4,2074,2051_UR.png,0,0,5:3000027:1
207405,207404,5,2074,2047_UR.png,0,20740401,5:3000027:1
207501,0,1,2075,2073_UR.png,20750101,0,5:3000027:1
207502,207501,2,2075,2039_UR.png,0,0,5:3000027:1
207503,207502,3,2075,2002_2.png,0,0,5:3000027:1
207504,207503,4,2075,2048_2.png,0,20750201,5:3000027:1
207505,207504,5,2075,2035_2.png,20750301,20750401,5:3000027:1
207601,0,1,2076,2055_UR.png,20760101,0,5:3000027:1
207602,207601,2,2076,2075_UR.png,20760201,0,5:3000027:1
207603,207602,3,2076,2024_2.png,20760301,0,5:3000027:1
207604,207603,4,2076,2051_UR.png,20760401,0,5:3000027:1
207605,207604,5,2076,2035_2.png,20760501,0,5:3000027:1
207701,0,1,2077,2016_2.png,20770101,0,5:3000027:1
207702,207701,2,2077,2049_UR.png,20770201,0,5:3000027:1
207703,207702,3,2077,2051_UR.png,20770301,0,5:3000027:1
207704,207703,4,2077,2076_UR.png,20770401,0,5:3000027:1
207705,207704,5,2077,2035_2.png,20770501,0,5:3000027:1
207801,0,1,2078,2054_UR.png,20780101,0,5:3000027:1
207802,207801,2,2078,2056_UR.png,20780201,0,5:3000027:1
207803,207802,3,2078,2047_UR.png,20780301,0,5:3000027:1
207804,207803,4,2078,2075_UR.png,20780401,0,5:3000027:1
207805,207804,5,2078,2037.png,20780501,0,5:3000027:1
