id,replace_id,armor_cfg_id,quality,strengthen_level,illusion_level
11,1,1159,5,200,3
12,1,3059,5,200,3
13,1,5059,5,200,3
14,1,6059,5,200,3
15,1,8059,5,200,3
16,1,14059,5,200,3
21,2,1159,5,200,3
22,2,3059,5,200,3
23,2,5059,5,200,3
24,2,6059,5,200,3
25,2,8059,5,200,3
26,2,14059,5,200,3
31,3,1163,6,260,4
32,3,3063,6,260,4
33,3,5063,6,260,4
34,3,6063,6,260,4
35,3,8063,6,260,4
36,3,14063,6,260,4
41,4,1159,5,200,3
42,4,3059,5,200,3
43,4,5059,5,200,3
44,4,6059,5,200,3
45,4,8059,5,200,3
46,4,14059,5,200,3
51,5,1167,6,260,4
52,5,3067,6,260,4
53,5,5067,6,260,4
54,5,6067,6,260,4
55,5,8067,6,260,4
56,5,14067,6,260,4
61,6,1167,6,260,4
62,6,3067,6,260,4
63,6,5067,6,260,4
64,6,6067,6,260,4
65,6,8067,6,260,4
66,6,14067,6,260,4
71,7,1185,6,260,5
72,7,3085,6,260,5
73,7,5085,6,260,5
74,7,6085,6,260,5
75,7,8085,6,260,5
76,7,14085,6,260,5
81,8,1185,6,260,5
82,8,3085,6,260,5
83,8,5085,6,260,5
84,8,6085,6,260,5
85,8,8085,6,260,5
86,8,14085,6,260,5
