id,replace_id,dress_cfg_id,level
11,1,160401,8
12,1,160402,8
13,1,160403,8
14,1,160404,8
15,1,160405,8
16,1,160406,8
21,2,160401,8
22,2,160402,8
23,2,160403,8
24,2,160404,8
25,2,160405,8
26,2,160406,8
31,3,160401,10
32,3,160402,10
33,3,160403,10
34,3,160404,10
35,3,160405,10
36,3,160406,10
41,4,160401,8
42,4,160402,8
43,4,160403,8
44,4,160404,8
45,4,160405,8
46,4,160406,8
51,5,160401,10
52,5,160402,10
53,5,160403,10
54,5,160404,10
55,5,160405,10
56,5,160406,10
61,6,160401,10
62,6,160402,10
63,6,160403,10
64,6,160404,10
65,6,160405,10
66,6,160406,10
71,7,160401,10
72,7,160402,10
73,7,160403,10
74,7,160404,10
75,7,160405,10
76,7,160406,10
