id,attr_arr
1,3:1000|1:7500|17:675|5:675|10:600|11:600
2,3:500
3,1:3750
4,17:300
5,5:300
6,10:300
7,11:300
8,3:500
9,1:3750
10,17:375
11,5:375
12,10:300
13,11:300
14,3:1000
15,1:7500
16,17:675
17,5:675
18,10:400
19,11:400
20,3:1000
21,1:7500
22,17:675
23,5:675
24,10:600
25,11:600
26,3:1000
27,1:7500
28,17:675
29,5:675
30,10:600
31,11:600
32,3:1000
33,1:7500
34,17:675
35,5:675
36,10:600
37,11:600
38,3:1000
39,1:7500
40,17:675
41,5:675
42,10:600
43,11:600
44,3:1000
45,1:7500
46,17:675
47,5:675
48,10:600
49,11:600
50,3:1000
51,1:7500
52,17:675
53,5:675
54,10:600
55,11:600
56,3:1000
57,1:7500
58,17:675
59,5:675
60,10:600
61,11:600
62,3:1000
63,1:7500
64,17:675
65,5:675
66,10:600
67,11:600
68,3:1000
69,1:7500
70,17:675
71,5:675
72,10:600
73,11:600
74,3:1000
75,1:7500
76,17:675
77,5:675
78,10:600
79,11:600
80,3:1000
81,1:7500
82,17:675
83,5:675
84,10:600
85,11:600
86,3:1000
87,1:7500
88,17:675
89,5:675
90,10:600
91,11:600
92,3:1000
93,1:7500
94,17:675
95,5:675
96,10:600
97,11:600
98,3:1000
99,1:7500
100,17:675|5:675|10:600|11:600
101,3:1000|1:7500|17:675|5:675|10:600|11:600
102,3:500
103,1:3750
104,17:300
105,5:300
106,10:300
107,11:300
108,3:500
109,1:3750
110,17:375
111,5:375
112,10:300
113,11:300
114,3:1000
115,1:7500
116,17:675
117,5:675
118,10:400
119,11:400
120,3:1000
121,1:7500
122,17:675
123,5:675
124,10:600
125,11:600
126,3:1000
127,1:7500
128,17:675
129,5:675
130,10:600
131,11:600
132,3:1000
133,1:7500
134,17:675
135,5:675
136,10:600
137,11:600
138,3:1000
139,1:7500
140,17:675
141,5:675
142,10:600
143,11:600
144,3:1000
145,1:7500
146,17:675
147,5:675
148,10:600
149,11:600
150,3:1000
151,1:7500
152,17:675
153,5:675
154,10:600
155,11:600
156,3:1000
157,1:7500
158,17:675
159,5:675
160,10:600
161,11:600
162,3:1000
163,1:7500
164,17:675
165,5:675
166,10:600
167,11:600
168,3:1000
169,1:7500
170,17:675
171,5:675
172,10:600
173,11:600
174,3:1000
175,1:7500
176,17:675
177,5:675
178,10:600
179,11:600
180,3:1000
181,1:7500
182,17:675
183,5:675
184,10:600
185,11:600
186,3:1000
187,1:7500
188,17:675
189,5:675
190,10:600
191,11:600
192,3:1000
193,1:7500
194,17:675
195,5:675
196,10:600
197,11:600
198,3:1000
199,1:7500
200,17:675|5:675|10:600|11:600
201,3:1000|1:7500|17:675|5:675|10:600|11:600
202,3:500
203,1:3750
204,17:300
205,5:300
206,10:300
207,11:300
208,3:500
209,1:3750
210,17:375
211,5:375
212,10:300
213,11:300
214,3:1000
215,1:7500
216,17:675
217,5:675
218,10:400
219,11:400
220,3:1000
221,1:7500
222,17:675
223,5:675
224,10:600
225,11:600
226,3:1000
227,1:7500
228,17:675
229,5:675
230,10:600
231,11:600
232,3:1000
233,1:7500
234,17:675
235,5:675
236,10:600
237,11:600
238,3:1000
239,1:7500
240,17:675
241,5:675
242,10:600
243,11:600
244,3:1000
245,1:7500
246,17:675
247,5:675
248,10:600
249,11:600
250,3:1000
251,1:7500
252,17:675
253,5:675
254,10:600
255,11:600
256,3:1000
257,1:7500
258,17:675
259,5:675
260,10:600
261,11:600
262,3:1000
263,1:7500
264,17:675
265,5:675
266,10:600
267,11:600
268,3:1000
269,1:7500
270,17:675
271,5:675
272,10:600
273,11:600
274,3:1000
275,1:7500
276,17:675
277,5:675
278,10:600
279,11:600
280,3:1000
281,1:7500
282,17:675
283,5:675
284,10:600
285,11:600
286,3:1000
287,1:7500
288,17:675
289,5:675
290,10:600
291,11:600
292,3:1000
293,1:7500
294,17:675
295,5:675
296,10:600
297,11:600
298,3:1000
299,1:7500
300,17:675|5:675|10:600|11:600
301,3:1000|1:7500|17:675|5:675|10:600|11:600
302,3:500
303,1:3750
304,17:300
305,5:300
306,10:300
307,11:300
308,3:500
309,1:3750
310,17:375
311,5:375
312,10:300
313,11:300
314,3:1000
315,1:7500
316,17:675
317,5:675
318,10:400
319,11:400
320,3:1000
321,1:7500
322,17:675
323,5:675
324,10:600
325,11:600
326,3:1000
327,1:7500
328,17:675
329,5:675
330,10:600
331,11:600
332,3:1000
333,1:7500
334,17:675
335,5:675
336,10:600
337,11:600
338,3:1000
339,1:7500
340,17:675
341,5:675
342,10:600
343,11:600
344,3:1000
345,1:7500
346,17:675
347,5:675
348,10:600
349,11:600
350,3:1000
351,1:7500
352,17:675
353,5:675
354,10:600
355,11:600
356,3:1000
357,1:7500
358,17:675
359,5:675
360,10:600
361,11:600
362,3:1000
363,1:7500
364,17:675
365,5:675
366,10:600
367,11:600
368,3:1000
369,1:7500
370,17:675
371,5:675
372,10:600
373,11:600
374,3:1000
375,1:7500
376,17:675
377,5:675
378,10:600
379,11:600
380,3:1000
381,1:7500
382,17:675
383,5:675
384,10:600
385,11:600
386,3:1000
387,1:7500
388,17:675
389,5:675
390,10:600
391,11:600
392,3:1000
393,1:7500
394,17:675
395,5:675
396,10:600
397,11:600
398,3:1000
399,1:7500
400,17:675|5:675|10:600|11:600
401,3:1000|1:7500|17:675|5:675|10:600|11:600
402,3:500
403,1:3750
404,17:300
405,5:300
406,10:300
407,11:300
408,3:500
409,1:3750
410,17:375
411,5:375
412,10:300
413,11:300
414,3:1000
415,1:7500
416,17:675
417,5:675
418,10:400
419,11:400
420,3:1000
421,1:7500
422,17:675
423,5:675
424,10:600
425,11:600
426,3:1000
427,1:7500
428,17:675
429,5:675
430,10:600
431,11:600
432,3:1000
433,1:7500
434,17:675
435,5:675
436,10:600
437,11:600
438,3:1000
439,1:7500
440,17:675
441,5:675
442,10:600
443,11:600
444,3:1000
445,1:7500
446,17:675
447,5:675
448,10:600
449,11:600
450,3:1000
451,1:7500
452,17:675
453,5:675
454,10:600
455,11:600
456,3:1000
457,1:7500
458,17:675
459,5:675
460,10:600
461,11:600
462,3:1000
463,1:7500
464,17:675
465,5:675
466,10:600
467,11:600
468,3:1000
469,1:7500
470,17:675
471,5:675
472,10:600
473,11:600
474,3:1000
475,1:7500
476,17:675
477,5:675
478,10:600
479,11:600
