id,hero_cid,stage,need_moqi,reward
1,99999,1,10,5:1000041:10
2,99999,2,30,5:1000041:10
3,99999,3,50,5:1000041:15
4,99999,4,100,5:1000041:15
5,99999,5,200,5:1000041:20
6,99999,6,300,5:3000027:10
7,99999,7,400,5:1000041:20
8,99999,8,500,5:3000031:1
9,2053,1,1,1:2:200|5:1000041:3
10,2053,2,3,1:2:200|5:1000041:3
11,2053,3,6,1:2:200|5:1000041:3
12,2053,4,10,1:2:200|5:1000041:3
13,2053,5,15,1:2:200|5:1000041:3
14,2053,6,20,1:2:200|5:1000041:3
15,2053,7,25,1:2:300|5:1000041:3
16,2053,8,30,5:3000027:3|5:1000041:3
17,2039,1,1,1:2:200|5:1000041:3
18,2039,2,3,1:2:200|5:1000041:3
19,2039,3,6,1:2:200|5:1000041:3
20,2039,4,10,1:2:200|5:1000041:3
21,2039,5,15,1:2:200|5:1000041:3
22,2039,6,20,1:2:200|5:1000041:3
23,2039,7,25,1:2:300|5:1000041:3
24,2039,8,30,5:3000027:3|5:1000041:3
25,2076,1,1,1:2:200|5:1000041:3
26,2076,2,3,1:2:200|5:1000041:3
27,2076,3,6,1:2:200|5:1000041:3
28,2076,4,10,1:2:200|5:1000041:3
29,2076,5,15,1:2:200|5:1000041:3
30,2076,6,20,1:2:200|5:1000041:3
31,2076,7,25,1:2:300|5:1000041:3
32,2076,8,30,5:3000027:3|5:1000041:3
