cid,default_super_common_skill_index,des,name,is_advance,is_super,is_mr,is_cshs,skin_cid
1001,1|0|2|2|1|0,,Player,1,1,1,0,101003900
1002,1|0|2|2|1|0,,Player,1,1,1,0,101003900
1003,1|0|2|2|1|0,,Player,1,1,1,0,101003900
2001,,,Medusa,0,0,0,0,100001000
2002,,,Poseidon,0,0,0,0,100002000
2003,,,Jeanne d'Arc,0,0,0,0,100003000
2004,,,Siren,0,0,0,0,100004000
2005,,,Nephthys,0,0,0,0,100005000
2006,,,Tsukuyomi,0,0,0,0,100006000
2007,,,Ungnyeo,0,0,0,0,100007000
2008,,,Shennong,0,0,0,0,100008000
2009,,,Geb,0,0,0,0,100009000
2010,,,Lilith,0,0,0,0,100010000
2011,,,Nuit,0,0,0,0,100011000
2012,,,Gaia,0,0,0,0,100012000
2013,,,Pandora,0,0,0,0,100013000
2014,,,Nike,0,0,0,0,100014000
2015,,,Idun,0,0,0,0,100015000
2016,,,Valkyrie,0,0,0,0,100016000
2017,,,Raphael,0,0,0,0,100017000
2018,,,Minotaur,0,0,0,0,100018000
2019,,,Nemesis,0,0,0,0,100019000
2020,,,Muse,0,0,0,0,100020000
2021,,,Iris,0,0,0,0,100021000
2022,,,Belldandy,0,0,0,0,100022000
2023,,,Sif,0,0,0,0,100023000
2024,,,Lucifer,0,0,0,0,100024000
2025,,ACTIVITY_SUMMON_DESC_21,Nuwa,0,0,0,0,100025000
2026,,,Fuxi,0,0,0,0,100026000
2027,,,Xiwangmu,0,0,0,0,100027000
2028,,,Princess Bari,0,0,0,0,100028000
2029,,,Apep,0,0,0,0,100029000
2030,,,Gabriel,0,0,0,0,100030000
2031,,ACTIVITY_SUMMON_DESC_8,Erebus,0,0,0,0,100031000
2032,,ACTIVITY_SUMMON_DESC_6,Amaterasu,0,0,0,0,100032000
2033,,,Nyx,0,0,0,0,100033000
2034,,,Anubis,0,0,0,0,100034000
2035,,ACTIVITY_SUMMON_DESC_19,Odin,0,0,0,0,100035000
2036,,,Phantasos,0,0,0,0,100036000
2037,0|0|2|2|1|0,High Speed\nSingle-target Kill,Ra,1,1,1,0,102037368
2038,,,Izu Dancer,0,0,0,0,100038000
2039,0|0|1|3|1|0,Group Buff\nBoost ATK and DEF,Hera,1,1,1,0,102039368
2040,,,Zhu Rong,0,0,0,0,100040000
2041,,,Hephaestus,0,0,0,0,100041000
2042,,"Group Debuff,\nControl Enemies with Debuffs",Xmas Angel,1,0,0,0,102042200
2046,,,Izanami,0,0,0,0,100046000
2047,0|1|1|3|2|0,群体减伤 提升异常抵抗 ,Cupid,1,1,1,0,102047368
2048,,"Single-target Kill,\nDispel Buffs",Hades,0,0,0,0,100048000
2049,0|0|2|2|1|0,"Group Output,\nContinuous Stacking DMG",Icarus,1,1,1,0,102049368
2050,0|1|1|0|2|0,Group Control\nReduce Enemy Debuff RES,Chaos,1,1,1,0,102050368
2051,0|1|1|0|2|0,"Provoke Enemies,\nProtect Allies",Heimdall,1,1,1,0,102051368
2052,,ACTIVITY_SUMMON_DESC_23,Michael,0,0,0,0,102052000
2053,0|0|2|2|1|0,"P.DMG, AoE Lifesteal,\nSingle-target Kill",Himiko,1,1,1,0,102053368
2054,0|1|1|3|2|0,Group Buff\nHigh Energy Return on Single Target,Enmusubi,1,1,1,0,102054368
2055,0|1|1|0|2|0,Group Control\n Reduce Enemy SPD and Energy Recover,Frost Dragon,1,1,1,0,102055368
2056,0|0|2|2|1|0,"Group Output,\nCounter High-HP Enemies",Ember Dragon,1,1,1,0,102056368
2057,0|0|2|2|1|0,Multiple Normal Attacks\nHigh DMG Output,Storm Dragon,1,1,1,0,102057368
2058,,ACTIVITY_SUMMON_DESC_30,Nekomata,0,0,0,0,102058000
2059,,ACTIVITY_SUMMON_DESC_27,Zodiac Ox,0,0,0,0,102059000
2060,0|0|2|2|1|0,"Group M.DMG Output\nSpell Combo, Chase After Kill",Freyja,1,1,1,0,102060368
2061,,ACTIVITY_SUMMON_DESC_35,Kingyo,0,0,0,0,102061000
2062,,ACTIVITY_SUMMON_DESC_36,Princess Kaguya,0,0,0,0,102062000
2063,0|1|1|3|2|0,"Group Buff, High Shield\nGroup Energy Recover",Sim Cheong,1,1,1,0,102063368
2065,0|0|2|2|1|0,Group M.DMG Output\nShield Breaker,Gemini,1,1,1,0,102065368
2067,0|0|2|2|1|0,Multi-hit Single-target Output\nCounter High-HP Enemies,Chang'e,1,1,1,0,102067368
2068,0|1|1|3|2|0,"Buff Allies, Debuff Enemies\nEnergy Drain",Asura,1,1,1,0,102068368
2069,0|0|2|2|1|0,Single-target Execution\nIgnore Mechanics,Athena,1,1,1,0,102069368
2070,,ACTIVITY_SUMMON_DESC_57,Zodiac Tiger,0,0,0,0,102070000
2071,0|1|1|3|2|0,Group Healing\nIncrease Max HP,Capricornus,1,1,1,0,102071368
3072,,,SP Gabriel,0,0,0,0,103072000
2073,0|1|1|0|2|0,Unique Sleep Control,Pisces,1,1,1,0,102073368
2074,0|1|1|3|2|0,DMG Mitigation\nReduce Enemy Regeneration,Venus,1,1,1,0,102074300
2075,0|0|1|3|1|0,"Low HP, Boost ATK\nHigh Burst AoE DMG",Zeus,1,1,1,0,102075368
2076,0|1|1|3|2|0,Group Buff\nDispel Enemy Buffs,Loki,1,1,1,0,102076368
2077,0|0|2|2|1|0,High-speed Output\nPosition-wise Control,Thor,1,1,0,0,102077300
2078,0|0|2|2|1|0,Unlimited Revival\nContinuous Output,Apollo,1,1,1,0,102078368
2079,,ACTIVITY_SUMMON_DESC_79,Sakura Spirit,0,0,0,0,102079000
2080,,ACTIVITY_SUMMON_DESC_82,Zodiac Rabbit,0,0,0,0,102080000
2081,0|0|1|3|1|0,"Group Immunity to Death\nIncrease ATK and DEF, Revive Allies",Horus,1,1,1,0,102081368
2082,0|1|1|0|2|0,Group Control\nIsolate Enemies,Frigga,1,1,1,0,102082368
2083,0|0|1|3|1|0,"Multi-hit P.DMG, Group Buff, Increase DMG Received by Enemies",Ares,1,1,1,0,102083368
2084,0|1|1|3|2|0,"Group Debuff, Dispel Buffs\nCurse Enemies",Uriel,1,1,1,0,102084368
2085,,ACTIVITY_SUMMON_DESC_124,Zodiac Dragon,0,0,0,0,102085000
2086,0|0|1|3|1|0,"Group Buff, Increase ATK and Max HP\nDecrease Enemy Max HP",Hela,1,1,1,0,102086368
2087,0|0|2|2|1|0,Multi-hit True DMG\nChase Enemies,Prometheus,1,1,1,0,102087368
2088,,ACTIVITY_SUMMON_DESC_154,Raphael the Archangel,0,0,1,0,102088368
2089,,ACTIVITY_SUMMON_DESC_160,Zodiac Snake,0,0,0,0,102089000
