id,type,param1,param2,rank,tips
1,1,1,1,1,"A survival-focused line-up that offers two tanks, high amount of healing, HP-to-ATK conversion and end-battle clean-up."
2,1,1,1,2,"A quick-attack-focused line-up that offers early-battle kill, crowd control, DMG reduction and continuous damage."
3,1,1,1,3,"A single core line-up that offers multiple Buffs, high amount of Shield, high single-target damage and delayed death."
4,1,1,2,1,"A single core line-up that offers triple Buff support, stable healing, resurrection and burst P.DMG."
5,1,1,2,2,"A survival-focused line-up that offers two healers, triple Buff support and P.DMG core DPS."
6,1,1,2,3,"An attack-focused line-up that offers double core DPS, Buff support, resurrection and AoE damage."
7,1,1,3,1,"A single core line-up that offers triple Buff support, two Shield-offering healers, resurrection and single-core damage."
8,1,1,3,2,"A single core line-up that offers Buffs, Shield, control and single-core burst damage."
9,1,1,3,3,"A survival-focused line-up that offers two tanks, triple Buff support and M.DMG core DPS."
10,1,2,0,1,"An attack-focused line-up that offers quick single-target kill, crowd control, multi-hit damage and unlimited resurrection."
11,1,2,0,2,"A survival-focused line-up that offers absolute defense, crowd control, multiple Buffs and high end-battle damage."
12,1,2,0,3,"A survival-focused line-up that offers multiple Buffs, stable healing, high amount of Shield and resurrection."
13,1,3,0,1,"A versatile line-up for Time-Space Havoc that offers Taunt, protection, True DMG, resurrection and M.DMG."
14,1,3,0,2,"An attack line-up for Time-Space Havoc that offers triple protection, single-target Buffs and P.DMG burst damage."
15,1,3,0,3,"A control-focused line-up for Time-Space Havoc that offers energy disruption, quick burst damage, continuous damage and resurrection."
16,1,4,0,1,"A quick-attack-focused line-up that offers early-battle kill, crowd control, DMG reduction and continuous damage."
17,1,4,0,2,"A survival-focused line-up that offers triple Buff support, two healers and M.DMG DPS."
18,1,4,0,3,"A single-core line-up that offers a tank, triple Buff support and M.DMG core DPS."
19,2,1,0,1,"A PvP defense line-up that offers two tanks, two supports and end-battle core DPS."
20,2,1,0,2,"A versatile PvP line-up that offers crowd Buff, crowd control, DMG reduction, continuous damage and end-battle clean-up."
21,2,1,0,3,"A double-core PvP line-up that offers speed control, two burst damage cores and resurrection."
22,2,2,0,1,"A survival-focused line-up that offers two tanks, two supports and two scaling cores."
23,2,2,0,2,"An attrition-focused line-up that offers crowd Debuffs, weakening curses and a tank."
24,2,2,0,3,"An attack-focused line-up that offers solid defense, damage burst, single-target control and crowd Debuffs."
25,2,3,0,1,"A PvP defense-focused line-up that offers multiple Buffs, True DMG, Shield, healing and crowd control."
26,2,3,0,2,"A PvP defense-focused line-up that offers triple Buff support, two healers and burst M.DMG combo."
27,2,3,0,3,"A classic PvP quick-attack-focused line-up that offers early-battle kill, crowd control, DMG reduction and continuous damage."
