id,hero_cid,divine_rank,fight_attr_base,fight_attr_pvp,ir_debris_count,coin
100101,1001,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:38:100|1:3:5:100|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,0,0
100102,1001,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:38:200|1:3:5:200|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,0,0
100103,1001,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:38:300|1:3:5:300|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,0,0
100201,1002,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:38:100|1:3:5:100|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,0,0
100202,1002,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:38:200|1:3:5:200|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,0,0
100203,1002,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:38:300|1:3:5:300|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,0,0
100301,1003,1,2:1:1:40,1:2:67:1|1:2:68:1|1:2:37:100|1:2:38:100|1:3:5:100|1:2:29:100|1:3:13:100|1:3:14:100|1:2:44:100|1:2:52:100|1:3:6:50|1:2:31:50|1:2:18:20|1:2:56:50,0,0
100302,1003,2,2:1:1:80,1:2:67:2|1:2:68:2|1:2:37:200|1:2:38:200|1:3:5:200|1:2:29:200|1:3:13:200|1:3:14:200|1:2:44:200|1:2:52:200|1:3:6:100|1:2:31:100|1:2:18:40|1:2:56:100,0,0
100303,1003,3,2:1:1:120,1:2:67:3|1:2:68:3|1:2:37:300|1:2:38:300|1:3:5:300|1:2:29:300|1:3:13:300|1:3:14:300|1:2:44:300|1:2:52:300|1:3:6:150|1:2:31:150|1:2:18:60|1:2:56:150,0,0
203701,2037,1,2:1:3:40,1:2:67:1|1:2:68:1|1:2:36:100|1:2:21:100|1:2:39:100|1:3:7:100|1:2:37:100|1:3:9:100|1:3:5:100|1:2:51:100|1:3:12:500|1:2:30:50|1:2:18:20|1:2:55:50,200,20000000
