cid,quality_level,potential,str_initial,agi_initial,int_initial,sta_initial,active_skill_ids,passive_skill_ids,round_add_energy
1001,101,400,120,120,120,120,180101001|180111001|180121001|180131001|180141001|180151001,0|240111001|240121001|240131001|240141001|240151001,1
1002,101,400,120,120,120,120,180101001|180111001|180121001|180131001|180141001|180151001,0|240111001|240121001|240131001|240141001|240151001,1
1003,101,400,120,120,120,120,180101001|180111001|180121001|180131001|180141001|180151001,0|240111001|240121001|240131001|240141001|240151001,1
2037,101,400,120,120,120,120,183601001|183611001|183621001|183631001|183641001|183651001,0|243611001|243621001|243631001|243641001|243651001,1
2039,101,400,120,120,120,120,183801001|183811001|183821001|183831001|183841001|183851001,0|243811001|243821001|243831001|243841001|243851001,1
2047,101,400,120,120,120,120,184601001|184611001|184621001|184631001|184641001|184651001,0|244611001|244621001|244631001|244641001|244651001,1
2049,101,400,120,120,120,120,184801001|184811001|184821001|184831001|184841001|184851001,0|244811001|244821001|244831001|244841001|244851001,1
2050,101,400,120,120,120,120,184901001|184911001|184921001|184931001|184941001|184951001,0|244911001|244921001|244931001|244941001|244951001,1
2051,101,400,120,120,120,120,185001001|185011001|185021001|185031001|185041001|185051001,0|245011001|245021001|245031001|245041001|245051001,1
2053,101,400,120,120,120,120,185201001|185211001|185221001|185231001|185241001|185251001,0|245211001|245221001|245231001|245241001|245251001,1
2054,101,400,120,120,120,120,185301001|185311001|185321001|185331001|185341001|185351001,0|245311001|245321001|245331001|245341001|245351001,1
2055,101,400,120,120,120,120,185401001|185411001|185421001|185431001|185441001|185451001,0|245411001|245421001|245431001|245441001|245451001,1
2060,101,400,120,120,120,120,185901001|185911001|185921001|185931001|185941001|185951001,0|245911001|245921001|245931001|245941001|245951001,1
2063,101,400,120,120,120,120,186201001|186211001|186221001|186231001|186241001|186251001,0|246211001|246221001|246231001|246241001|246251001,1
2065,101,400,120,120,120,120,186401001|186411001|186421001|186431001|186441001|186451001,0|246411001|246421001|246431001|246441001|246451001,1
2067,101,400,120,120,120,120,186601001|186611001|186621001|186631001|186641001|186651001,0|246611001|246621001|246631001|246641001|246651001,1
2068,101,400,120,120,120,120,186701001|186711001|186721001|186731001|186741001|186751001,0|246711001|246721001|246731001|246741001|246751001,1
2069,101,400,120,120,120,120,186901001|186911001|186921001|186931001|186941001|186951001,0|246911001|246921001|246931001|246941001|246951001,1
2073,101,400,120,120,120,120,187301001|187311001|187321001|187331001|187341001|187351001,0|247311001|247321001|247331001|247341001|247351001,1
2074,101,400,120,120,120,120,187401001|187411001|187421001|187431001|187441001|187451001,0|247411001|247421001|247431001|247441001|247451001,1
2076,101,400,120,120,120,120,187601001|187611001|187621001|187631001|187641001|187651001,0|247611001|247621001|247631001|247641001|247651001,1
2077,101,400,120,120,120,120,187701001|187711001|187721001|187731001|187741001|187751001,0|247711001|247721001|247731001|247741001|247751001,1
2078,101,400,120,120,120,120,187801001|187811001|187821001|187831001|187841001|187851001,0|247811001|247821001|247831001|247841001|247851001,1
2081,101,400,120,120,120,120,188101001|188111001|188121001|188131001|188141001|188151001,0|248111001|248121001|248131001|248141001|248151001,1
2082,101,400,120,120,120,120,188201001|188211001|188221001|188231001|188241001|188251001,0|248211001|248221001|248231001|248241001|248251001,1
2084,101,400,120,120,120,120,188401001|188411001|188421001|188431001|188441001|188451001,0|248411001|248421001|248431001|248441001|248451001,1
2086,101,400,120,120,120,120,188601001|188611001|188621001|188631001|188641001|188651001,0|248611001|248621001|248631001|248641001|248651001,1
2087,101,400,120,120,120,120,188701001|188711001|188721001|188731001|188741001|188751001,0|248711001|248721001|248731001|248741001|248751001,1
2088,101,400,120,120,120,120,188801001|188811001|188821001|188831001|188841001|188851001,0|248811001|248821001|248831001|248841001|248851001,1
2090,101,400,120,120,120,120,189001001|189011001|189021001|189031001|189041001|189051001,0|249011001|249021001|249031001|249041001|249051001,1
2091,101,400,120,120,120,120,189101001|189111001|189121001|189131001|189141001|189151001,0|249111001|249121001|249131001|249141001|249151001,1
2092,101,400,120,120,120,120,189201001|189211001|189221001|189231001|189241001|189251001,0|249211001|249221001|249231001|249241001|249251001,1
2093,101,400,120,120,120,120,189301001|189311001|189321001|189331001|189341001|189351001,0|249311001|249321001|249331001|249341001|249351001,1
2094,101,400,120,120,120,120,189401001|189411001|189421001|189431001|189441001|189451001,0|249411001|249421001|249431001|249441001|249451001,1
2095,101,400,120,120,120,120,189501001|189511001|189521001|189531001|189541001|189551001,0|249511001|249521001|249531001|249541001|249551001,1
2096,101,400,120,120,120,120,189601001|189611001|189621001|189631001|189641001|189651001,0|249611001|249621001|249631001|249641001|249651001,1
2097,101,400,120,120,120,120,189701001|189711001|189721001|189731001|189741001|189751001,0|249711001|249721001|249731001|249741001|249751001,1
2098,101,400,120,120,120,120,189801001|189811001|189821001|189831001|189841001|189851001,0|249811001|249821001|249831001|249841001|249851001,1
2099,101,400,120,120,120,120,189901001|189911001|189921001|189931001|189941001|189951001,0|249911001|249921001|249931001|249941001|249951001,1
2100,101,400,120,120,120,120,181000001|181001001|181002001|181003001|181004001|181005001,0|241001001|241002001|241003001|241004001|241005001,1
2101,101,400,120,120,120,120,181010001|181011001|181012001|181013001|181014001|181015001,0|241011001|241012001|241013001|241014001|241015001,1
2102,101,400,120,120,120,120,181020001|181021001|181022001|181023001|181024001|181025001,0|241021001|241022001|241023001|241024001|241025001,1
