cfg_id,quality,restore,name,icon,description
2037,7,25,IR Ra Shard,2037_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2039,7,25,IR Hera Shard,2039_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2047,7,25,IR Cupid Shard,2047_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2049,7,25,IR Icarus Shard,2049_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2050,7,25,IR Chaos Shard,2050_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2051,7,25,IR Heimdall Shard,2051_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2053,7,25,IR Himiko Shard,2053_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2054,7,25,IR Enmusubi Shard,2054_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2055,7,25,IR Frost Dragon Shard,2055_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2060,7,25,IR Freyja Shard,2060_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2063,7,25,IR Sim Cheong Shard,2063_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2065,7,25,IR Gemini Shard,2065_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2076,7,25,IR Loki Shard,2076_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2077,7,25,IR Thor Shard,2077_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2078,7,25,IR Apollo Shard,2078_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2082,7,25,IR Frigga Shard,2082_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2084,7,25,IR Uriel Shard,2084_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2086,7,25,IR Hela Shard,2086_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2088,7,25,IR Raphael the Arcangel Shard,2088_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2090,7,25,IR Lilith the Night Walker Shard,2090_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2091,7,25,IR Fallen Angel Lucifer Shard,2091_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
2092,7,25,IR Sworn Warrior Jeanne d'Arc Shard,2092_CSHS.jpg,This shard revives and advances the Creator’s Incarnation within the angel.
