name,value
OK,
AGREE,Annehmen
REFUSE,ablehnen
CANCEL,abbrechen
SUCCESS,Erfolg
FAIL,Fehlgeschlagen
BUY,Kaufen
GOTO,Gehe
TIME_UNIT_MONTH,Monat
TIME_UNIT_DAY,Tag
TIME_UNIT_HOUR,Std
TIME_UNIT_MIN,Min
TIME_UNIT_SEC,Sek
INPUT_CANNOT_BE_EMPTY,Die Eingabe darf nicht leer sein
STRING_LENGTH_LIMIT,Max. {0} Zeichen
GET_CONFIG_FAILD,Konfiguration konnte nicht gelesen werden
UNABLE_TO_CONNECT_TO_SERVER,Serververbindung fehlgeschlagen
INVALID_TOKEN,
INVALID_ENTRY_ID,
SERVER_ERROR,Der Server hat einen Fehler festgestellt
INVALID_PARAM,
SERVER_IS_FULL,Der Server ist voll
DUPLICATE_NAME,Name bereits vergeben
ILLEGAL_NAME_LENGTH,
ILLEGAL_NAME,
PASSPORT_CANT_BE_NULL,Konto kann nicht leer sein
CONFIRM_REPLACE_ARMOR,
USER_LEVEL_INVALID,
ARMOR_SCORE_FORMAT,Ausr. Punktzahl: {score}
ARMOR_LEVEL_FORMAT,Ausr. Lv.: {Level}
DUNGEON_WIN_RATE,Gewinnrate: {rate}%
DUNGEON_EXP_ADD_RATE,EXP Bonus: {rate}%
SKILL_LOCK,
SKILL_CONTINER_LOCK,Auf Stufe {Level} freigeschaltet
CUR_DUNEGON_IS_LOCK,Die Zielinstanz ist gesperrt
CUR_MAP_IS_LOCK,Die Zielkarte ist gesperrt
BOSS_TIAO_ZHAN,Boss Herausforderung
BOSS_SAO_DANG,Boss liquidieren
BUY_BOSS_FIGHT_COUNT_COST,Der heutige Versuch Nr.{0} kostet {1} Diamanten. Fortfahren? (Du bist jetzt VIP {2} und kannst heute noch {3}mal kaufen.)
FAST_FIGHT_COST,
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,"Min. Gewinnrate von 80%, um den Boss herauszufordern"
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,"Du hast noch noch {0} Schriftrollen, wollen Sie sie benutzen?"
REACH_USE_MAX_COUNT_TODAY,
IS_FIGHING_BOSS,In der Herausforderung
ALREADY_IN_DUNGEON,
DO_CHANGE_DUNGEON,Autokampf
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,Max HP
MAX_MP,Max MP
MIN_ATTACK,Min ATK
MAX_ATTACK,Max ATK
DEFEND,DEF
PHYSC_DEF,P.RES
MAGIC_DEF,M.RES
HIT,ACC
DEHIT,EVA
CRIT,Krit
DECRIT,FOR
MP_RECOVER,MP-Wiederherstellung
CUR_HP,Aktuelle HP
CUR_MP,Aktuelle MP
ATTACK_ADD,ATK Auf
HP_ADD,HP Auf
HIT_ADD,ACC Auf
DEFEND_ADD,DEF Auf
DECRIT_ADD,FOR Auf
DEHIT_ADD,EVA Auf
CRIT_ADD,Krit Auf
CRIT_DAMAGE_ADD,Krit. DMG Auf
DRAIN_HP,Blutegel
DEFEND_IGNORE,DEF PEN
PHYSC_DEF_IGNORE,P.PEN
MAGIC_DEF_IGNORE,M.PEN
PHYSC_DEF_ADD,P.RES Auf
MAGIC_DEF_ADD,M.RES Auf
DEBUFF_RESIST,Debuff RES
HP_RECOVER,
BOUNCE_RATE,DMG-Reflexion
EXP_ADD,EXP erhalten
EXP,EXP
VIP_EXP,VIP EXP
COIN_ADD,
COIN,
GOLD,Diamant
MEDAL,Heldentat
FUSION,Schmelz Pt.
ESSENCE,Verbesserungsessenz
GEM_TICKET,Jewelrollen
PRESTIGE,Prestige
DEBRIS,Scherbe der Heiligen Seele
SUMMON_SCORE,Punkt
HONOR,Ehre
STAR_STONE,Saphir
HIGH_QUALITY_RATE,
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>Grundattribute:</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>Artefakte Attribute:</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,Sek
TIME_MINUTE,Min
TIME_HOUR,Std
