name,value
OK,Bestätigen
AGREE,Annehmen
REFUSE,ablehnen
CANCEL,abbrechen
SUCCESS,Erfolg
FAIL,Fehlgeschlagen
BUY,Kaufen
GOTO,Gehe
TIME_UNIT_MONTH,Monat
TIME_UNIT_DAY,Tag
TIME_UNIT_HOUR,Std
TIME_UNIT_MIN,Min
TIME_UNIT_SEC,Sek
INPUT_CANNOT_BE_EMPTY,Die Eingabe darf nicht leer sein
STRING_LENGTH_LIMIT,Max. {0} Zeichen
GET_CONFIG_FAILD,Konfiguration konnte nicht gelesen werden
UNABLE_TO_CONNECT_TO_SERVER,Serververbindung fehlgeschlagen
INVALID_TOKEN,Ungültiger Einlog-Status
INVALID_ENTRY_ID,Ungültiger Zielserver
SERVER_ERROR,Der Server hat einen Fehler festgestellt
INVALID_PARAM,Ungültiger Parameter
SERVER_IS_FULL,Der Server ist voll
DUPLICATE_NAME,Name bereits vergeben
ILLEGAL_NAME_LENGTH,Ungültige Namenslänge
ILLEGAL_NAME,Der Name enthält ungültige Zeichen
PASSPORT_CANT_BE_NULL,Konto kann nicht leer sein
CONFIRM_REPLACE_ARMOR,Du hast bereits eine Ausrüstung an. Willst du <color=#00ff00>{name}</color> anziehen?
USER_LEVEL_INVALID,Ungültiges Level
ARMOR_SCORE_FORMAT,Ausr. Punktzahl: {score}
ARMOR_LEVEL_FORMAT,Ausr. Lv.: {Level}
DUNGEON_WIN_RATE,Gewinnrate: {rate}%
DUNGEON_EXP_ADD_RATE,EXP Bonus: {rate}%
SKILL_LOCK,Diese Fähigkeit wird auf Lv.{Level} freigeschaltet
SKILL_CONTINER_LOCK,Auf Stufe {Level} freigeschaltet
CUR_DUNEGON_IS_LOCK,Die Zielinstanz ist gesperrt
CUR_MAP_IS_LOCK,Die Zielkarte ist gesperrt
BOSS_TIAO_ZHAN,Boss Herausforderung
BOSS_SAO_DANG,Boss liquidieren
BUY_BOSS_FIGHT_COUNT_COST,Der heutige Versuch Nr.{0} kostet {1} Diamanten. Fortfahren? (Du bist jetzt VIP {2} und kannst heute noch {3}mal kaufen.)
FAST_FIGHT_COST,Du kannst für jeden Schnellkampf 2 Stunden Idle-Belohnungen erhalten (VIP {0} kann bis zu {1} Mal pro Tag kaufen)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,"Min. Gewinnrate von 80%, um den Boss herauszufordern"
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,"Du hast noch noch {0} Schriftrollen, wollen Sie sie benutzen?"
REACH_USE_MAX_COUNT_TODAY,Du hast das tägliche Nutzungslimit erreicht
IS_FIGHING_BOSS,In der Herausforderung
ALREADY_IN_DUNGEON,Zurück
DO_CHANGE_DUNGEON,Autokampf
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,Max HP
MAX_MP,Max MP
MIN_ATTACK,Min ATK
MAX_ATTACK,Max ATK
DEFEND,DEF
PHYSC_DEF,P.RES
MAGIC_DEF,M.RES
HIT,ACC
DEHIT,EVA
CRIT,Krit
DECRIT,FOR
MP_RECOVER,MP-Wiederherstellung
CUR_HP,Aktuelle HP
CUR_MP,Aktuelle MP
ATTACK_ADD,ATK Auf
HP_ADD,HP Auf
HIT_ADD,ACC Auf
DEFEND_ADD,DEF Auf
DECRIT_ADD,FOR Auf
DEHIT_ADD,EVA Auf
CRIT_ADD,Krit Auf
CRIT_DAMAGE_ADD,Krit. DMG Auf
DRAIN_HP,Blutegel
DEFEND_IGNORE,DEF PEN
PHYSC_DEF_IGNORE,P.PEN
MAGIC_DEF_IGNORE,M.PEN
PHYSC_DEF_ADD,P.RES Auf
MAGIC_DEF_ADD,M.RES Auf
DEBUFF_RESIST,Debuff RES
HP_RECOVER,HP zurückstellen
BOUNCE_RATE,DMG-Reflexion
EXP_ADD,EXP erhalten
EXP,EXP
VIP_EXP,VIP EXP
COIN_ADD,Münzenfall
COIN,Münzen
GOLD,Diamant
MEDAL,Heldentat
FUSION,Schmelz Pt.
ESSENCE,Verbesserungsessenz
GEM_TICKET,Jewelrollen
PRESTIGE,Prestige
DEBRIS,Scherbe der Heiligen Seele
SUMMON_SCORE,Punkt
HONOR,Ehre
STAR_STONE,Saphir
HIGH_QUALITY_RATE,Ausrüstungs-Drop
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>Grundattribute:</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>Zusätzliche Attribute:</color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>Artefakte Attribute:</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,Sek
TIME_MINUTE,Min
TIME_HOUR,Std
STRENGTHEN_LEVEL_MAX,Verbessertes Lv. kann nicht höher als Engel Lv. sein
CONFIRM_INHERIT_AND_REPLACE_ARMOR,"Willst du erben und durch <color=#00ff00>{name}</color> ersetzen? (Verbesserte Lv., ArteFakt Attribute und Juwelen bleiben gleich nach Erben)"
ARMOR_FULL,Ausrüstung ist voll
HERO_FULL_IN_BATTLE,Du hast die maximale Anzahl der eingesetzten Engeln erreicht
HERO_IN_ADVENTURE,Der Engel ist in einem Abenteuer und kann nicht kämpfen
XILIAN_ATRRIBUTE_ONLY_ONE,Ausrüstung mit geringerer als blauer Qualität kann nicht verfeinert werden
GEM_TICKET_NOT_ENOUGH,Unzureichende Jewelrollen
GEM_SLOT_OPEN_REQUEST,"Gib {cost} aus, um die Juwelbuchse freizuschalten？"
BAG_ADD_CAPACITY,"Gib 100 Diamanten für jeden Taschenkauf aus, um deine Tasche um 10 Slots zu erweitern"
SELL_GOODS,"1 Gegenstand recyceln, um Münze*{price} zu erhalten. Du kannst ihn auch als Andenken behalten. Bist du sicher, dass du recyceln möchtest?"
GEM_PART,Einsetzungsslot
WIN_RATE_NOT_ENOUGH,Gewinnrate zu niedrig
ALREADY_IN_TARGET_DUNGEON,Bereits in Zielinstanz
ZHU_WU,Mainhand
TOU_KUI,Helm
FU_SHOU,Offhand
XIONG_JIA,Rüstung
JIE_ZI,Ring
HU_TUI,Gamaschen
HU_SHOU,Handschützer
YAO_DAI,Gürtel
XIANG_LIAN,Halskette
XIE_ZI,Schuhe
SUMMON_REWARD_LEFT,100% nach {0} Beschwörung
WHITE,Weiß
GREEN,Grün
BLUE,Blau
PURPLE,Lila
ORANGE,Orange
RED,Rot
SUMMON_FREE_COUNT,Kostenlose Chancen ({0}/{1})
SUMMON_BUTTON_LABEL,{0} mal beschwören
NOT_ENOUGH,Unzureichend
BATTLE_REPORT_ENEMY_APPEAR,"Feind entdeckt! Lv. {Level}, {name}, HP: {hp}"
BATTLE_REPORT_VICTORY,Sieg!
BATTLE_REPORT_DEFEAT,Niederlage!
BATTLE_REPORT_AWARD,Hol dir {Name} * {Anzahl}
BATTLE_REPORT_SEARCH_ENEMY,Erkunden
BATTLE_REPORT_ROUND_BEGIN,Runde {count} Start
ARENA_TARGET_USER_ERROR,Datenfehler des Zielspielers
ARENA_REPORT_SUBTITLE_1,Herausgefordert von {0} und {1}. {2}
ARENA_REPORT_SUBTITLE_2,{0} und {1}. {2} herausgefordert
ARENA_RANK,Rangfolge
CONFIRM_SIGN_UP_HONOR_ARENA,"Sicher, dass du mit aktueller Aufstellung an Qualifikation teilnehmen willst? Du kannst deine Aufstellung in der Qualifikationsphase nicht zurücksetzen"
NOT_CHANGE,Unverändert
ARENA_SHOP_GOODS_DATA_ERROR,Artikeldatenfehler
ARENA_SHOP_GOODS_BUY_COUNT_LIMIT,Kauflimit überschritten. Kauf jeweils nur maximal 50 Artikel
SUCCESS_BUY,Gekauft
REACH_MAX_BAG_ARMOR_CAPACITY,"Die Tasche ist voll, du kannst keine neue Ausrüstung bekommen."
STILL_FIGHT,Kämpf weiter
LEFT_TIME,Verbleibend
COST_TIME,Verwendete Zeit
HERO_STATE_FREE,Idle-Zeit
HERO_STATE_BATTLE,Bereitstellen
HERO_STATE_ADVENTURE,Abenteuer
ADVENTURE_QUEUE_FULL,Du hast die maximale Anzahl verfügbarer Engel erreicht. Du kannst jetzt kein Abenteuer beginnen.
DAILY_ADVENTURE_TIMES_EMPTY,Du hast heute alle Abenteuerchancen aufgebraucht
ADVENTURE_SPEED_CONFIRM,"{cost} Diamanten ausgeben, um dieses Abenteuer sofort abzuschließen?"
ADVENTURE_CANCEL_CONFIRM,"Sicher, dass du das Abenteuer abbrichst? Beim Abbruch erhältst du keine Belohnungen"
ARENA_CHALLENGE_REFRESH_SUCC,Liste aktualisiert
WU_JIANG,Krieger
MOU_SHI,Magier
