name,value
OK,Confirm
AGREE,Accept
REFUSE,Refuse
CANCEL,Cancel
SUCCESS,Success
FAIL,Lose
BUY,Buy
GOTO,Go
TIME_UNIT_MONTH,Month
TIME_UNIT_DAY,Day
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,Input cannot be empty
STRING_LENGTH_LIMIT,Max {0} characters
GET_CONFIG_FAILD,Failed to read config
UNABLE_TO_CONNECT_TO_SERVER,Server Connection Failed
INVALID_TOKEN,Invalid Login State
INVALID_ENTRY_ID,Invalid Target Server
SERVER_ERROR,The server has encountered an error
INVALID_PARAM,Invalid Parameter
SERVER_IS_FULL,The server is full
DUPLICATE_NAME,Name is taken
ILLEGAL_NAME_LENGTH,Invalid Name Length
ILLEGAL_NAME,The name includes invalid characters
PASSPORT_CANT_BE_NULL,Account cannot be blank
CONFIRM_REPLACE_ARMOR,"You have already worn one gear, do you want to wear it <color=#00ff00>{name}</color>?"
USER_LEVEL_INVALID,Invalid Level
ARMOR_SCORE_FORMAT,Eqpt. Score: {score}
ARMOR_LEVEL_FORMAT,Eqpt. Lv.: {level}
DUNGEON_WIN_RATE,Win Rate: {rate}%
DUNGEON_EXP_ADD_RATE,EXP Bonus: {rate}%
SKILL_LOCK,This skill is unlocked at Lv.{level}
SKILL_CONTINER_LOCK,Unlocked at Lv.{level}
CUR_DUNEGON_IS_LOCK,The target dungeon is locked
CUR_MAP_IS_LOCK,The target map is locked
BOSS_TIAO_ZHAN,Boss Challenge
BOSS_SAO_DANG,Boss Sweep
BUY_BOSS_FIGHT_COUNT_COST,Purchasing Boss Challenge Attempt for the No.{0} time today costs {1} Diamonds. Continue? (You are now VIP{2} and you can purchase {3} more times today)
FAST_FIGHT_COST,You can gain 2 hours of Idle Rewards for every Quick Combat (VIP {0} can purchase up to {1} times each day)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,Reach over 80% Win Rate to challenge the Boss
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,You still have {0} Boss Challenge Scrolls. Do you want to use it?
