name,value
OK,Confirmer
AGREE,Accepter
REFUSE,Refuser
CANCEL,Annuler
SUCCESS,
FAIL,Perdre
BUY,Acheter
GOTO,Aller
TIME_UNIT_MONTH,Mois
TIME_UNIT_DAY,Jour
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,
STRING_LENGTH_LIMIT,
GET_CONFIG_FAILD,
UNABLE_TO_CONNECT_TO_SERVER,
INVALID_TOKEN,
INVALID_ENTRY_ID,Serveur cible invalide
SERVER_ERROR,
INVALID_PARAM,
SERVER_IS_FULL,Le serveur est plein
DUPLICATE_NAME,Le nom est pris
ILLEGAL_NAME_LENGTH,Longueur de nom invalide
ILLEGAL_NAME,
PASSPORT_CANT_BE_NULL,
CONFIRM_REPLACE_ARMOR,
USER_LEVEL_INVALID,Niveau invalide
ARMOR_SCORE_FORMAT,Score d'Eqpt: {score}
ARMOR_LEVEL_FORMAT,Niv d'Eqpt: {niveau}
DUNGEON_WIN_RATE,Taux de gain : {rate}%%
DUNGEON_EXP_ADD_RATE,Bonus d'EXP : {rate}%%.
SKILL_LOCK,
SKILL_CONTINER_LOCK,
CUR_DUNEGON_IS_LOCK,
CUR_MAP_IS_LOCK,
BOSS_TIAO_ZHAN,
BOSS_SAO_DANG,Balayage de Boss
BUY_BOSS_FIGHT_COUNT_COST,
FAST_FIGHT_COST,
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,
REACH_USE_MAX_COUNT_TODAY,
IS_FIGHING_BOSS,
ALREADY_IN_DUNGEON,Retour
DO_CHANGE_DUNGEON,Bataille auto
STRENGTH,FOR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,HP Max
MAX_MP,PM Max
MIN_ATTACK,ATQ Min
MAX_ATTACK,ATQ Max
DEFEND,DEF
PHYSC_DEF,TEN. P
MAGIC_DEF,TEN. MAG
HIT,VIS
DEHIT,EVIT
CRIT,Crit
DECRIT,DUR
MP_RECOVER,
CUR_HP,HP actuel
CUR_MP,MAG actuel
