name,value
OK,확인
AGREE,동의
REFUSE,거절
CANCEL,취소
SUCCESS,성공
FAIL,실패
BUY,구매
GOTO,바로가기
TIME_UNIT_MONTH,월
TIME_UNIT_DAY,일
TIME_UNIT_HOUR,시간
TIME_UNIT_MIN,분
TIME_UNIT_SEC,초
INPUT_CANNOT_BE_EMPTY,내용을 입력해주세요.
STRING_LENGTH_LIMIT,문자는 최대 {0}자 입니다.
GET_CONFIG_FAILD,로딩에 실패했습니다.
UNABLE_TO_CONNECT_TO_SERVER,서버 연결에 실패했습니다.
INVALID_TOKEN,비정상적인 로그인
INVALID_ENTRY_ID,서버 연결에 실패했습니다.
SERVER_ERROR,서버 연결에 실패했습니다.
INVALID_PARAM,"파라미터 오류, 다시 접속해주세요."
SERVER_IS_FULL,서버 접속인원이 너무 많습니다. 다른 서버를 선택해주세요.
DUPLICATE_NAME,이미 사용 중인 캐릭터명입니다.
ILLEGAL_NAME_LENGTH,캐릭터명은 최대 6자까지 가능합니다.
ILLEGAL_NAME,캐릭터명에 금칙어가 포함되어있습니다.
PASSPORT_CANT_BE_NULL,계정을 정확하게 입력해 주세요.
CONFIRM_REPLACE_ARMOR,다른 아이템을 착용하고 있습니다.
USER_LEVEL_INVALID,레벨에 맞지 않습니다.
ARMOR_SCORE_FORMAT,장비 평점 : {score}
ARMOR_LEVEL_FORMAT,장비 레벨 : {level}
DUNGEON_WIN_RATE,현재 승률 : {rate}%
DUNGEON_EXP_ADD_RATE,경험치 추가 획득 : {rate}%
SKILL_LOCK,{level} 레벨에 오픈됩니다.
SKILL_CONTINER_LOCK,{level} 레벨에 오픈됩니다.
CUR_DUNEGON_IS_LOCK,미활성화 된 던전입니다.
CUR_MAP_IS_LOCK,미활성화 된 지역입니다.
BOSS_TIAO_ZHAN,보스 도전
BOSS_SAO_DANG,보스 소탕
BUY_BOSS_FIGHT_COUNT_COST,오늘 {0}번째 보스 도전 횟수를 구매합니다. 구매 시 {1}다이아가 사용됩니다. 구매하시겠습니까? (현재 VIP {2}등급으로 {3}회 더 구매할 수 있습니다)
FAST_FIGHT_COST,"매 회 빠른 전투 시 2시간 보상 즉시 획득 (VIP{0}, 오늘 총 {1}회 구매 가능)"
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,승률 80%이상 달성시 보스 도전을 진행할 수 있습니다.
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,보스도전권 {0}장을 보유하고 계십니다.
REACH_USE_MAX_COUNT_TODAY,금일 사용 최대 횟수에 도달했습니다.
IS_FIGHING_BOSS,도전중
ALREADY_IN_DUNGEON,자동전투
DO_CHANGE_DUNGEON,자동전투 시작
STRENGTH,힘
AGILITY,민첩
INTELLIGENCE,지력
STAMINA,인내
MAX_HP,최대생명력
MAX_MP,최대 MP
MIN_ATTACK,최소공격력
MAX_ATTACK,최대공격력
DEFEND,방어력
PHYSC_DEF,물리저항
MAGIC_DEF,마법저항
HIT,명중
DEHIT,회피
CRIT,치명타
DECRIT,인성
MP_RECOVER,MP 회복
CUR_HP,현재 생명력
CUR_MP,현재 MP
ATTACK_ADD,공격력 증가
HP_ADD,생명력 증가
HIT_ADD,명중 증가
DEFEND_ADD,방어력 중가
DECRIT_ADD,인성 증가
DEHIT_ADD,회피 증가
CRIT_ADD,치명타 증가
CRIT_DAMAGE_ADD,치명대미지 증가
DRAIN_HP,생명력 흡수
DEFEND_IGNORE,방어 관통
PHYSC_DEF_IGNORE,물리저항 관통
MAGIC_DEF_IGNORE,마법저항 관통
PHYSC_DEF_ADD,물리저항 증가
MAGIC_DEF_ADD,마법저항 증가
DEBUFF_RESIST,디버프 저항
HP_RECOVER,생명력 회복
BOUNCE_RATE,대미지 반사
EXP_ADD,경험치 획득
EXP,경험치
VIP_EXP,VIP 경험치
COIN_ADD,골드 획득
COIN,골드
GOLD,다이아
MEDAL,무훈
FUSION,제련치
ESSENCE,강화정수
GEM_TICKET,보석 쿠폰
PRESTIGE,명성
DEBRIS,영혼 조각
SUMMON_SCORE,소환 포인트
HONOR,명예도
STAR_STONE,성석
HIGH_QUALITY_RATE,장비드랍률
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>기본속성 : </color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>추가속성 : </color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>신물속성 : </color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,강화레벨은 영웅레벨보다 높을 수 없습니다.
CONFIRM_INHERIT_AND_REPLACE_ARMOR,"아이템 레벨, 신물속성, 보석을 <color=#00ff00>{name}</color>에 계승하시겠습니까?"
ARMOR_FULL,장비 인벤토리가 꽉 찼습니다.
HERO_FULL_IN_BATTLE,더 이상 여신을 출전시킬 수 없습니다.
HERO_IN_ADVENTURE,모험에 참여한 여신은 출전시킬 수 없습니다.
XILIAN_ATRRIBUTE_ONLY_ONE,고급 이하 아이템은 제련할 수 없습니다.
GEM_TICKET_NOT_ENOUGH,보석 쿠폰이 부족합니다.
GEM_SLOT_OPEN_REQUEST,{cost}(을)를 사용하여 보석 슬롯을 오픈하시겠습니까?
BAG_ADD_CAPACITY,"인벤 슬롯을 구매할 때마다 10칸이 증가되며, 100다이아가 소모됩니다."
SELL_GOODS,1개의 아이템을 판매 시 *{price}골드 획득이 가능합니다.
GEM_PART,장착 부위
WIN_RATE_NOT_ENOUGH,승률 부족
ALREADY_IN_TARGET_DUNGEON,해당 던전에 입장 중입니다.
ZHU_WU,주무기
TOU_KUI,투구
FU_SHOU,보조무기
XIONG_JIA,갑옷
JIE_ZI,반지
HU_TUI,다리
HU_SHOU,아대
YAO_DAI,벨트
XIANG_LIAN,목걸이
XIE_ZI,신발
SUMMON_REWARD_LEFT,{0}회 소환 시 100% 획득
WHITE,하급
GREEN,일반
BLUE,고급
PURPLE,희귀
ORANGE,에픽
RED,레전드
