name,value
OK,Confirmar
AGREE,Aceitar
REFUSE,Recusar
CANCEL,Cancelar
SUCCESS,Sucesso
FAIL,Perder
BUY,Comprar
GOTO,Ir
TIME_UNIT_MONTH,
TIME_UNIT_DAY,Dia
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,
STRING_LENGTH_LIMIT,
GET_CONFIG_FAILD,
UNABLE_TO_CONNECT_TO_SERVER,
INVALID_TOKEN,
INVALID_ENTRY_ID,
SERVER_ERROR,O servidor encontrou um erro
INVALID_PARAM,
SERVER_IS_FULL,
DUPLICATE_NAME,
ILLEGAL_NAME_LENGTH,
ILLEGAL_NAME,
PASSPORT_CANT_BE_NULL,
CONFIRM_REPLACE_ARMOR,
USER_LEVEL_INVALID,
ARMOR_SCORE_FORMAT,
ARMOR_LEVEL_FORMAT,
DUNGEON_WIN_RATE,Taxa de ganhos: {rate}%
DUNGEON_EXP_ADD_RATE,
SKILL_LOCK,
SKILL_CONTINER_LOCK,
CUR_DUNEGON_IS_LOCK,
CUR_MAP_IS_LOCK,
BOSS_TIAO_ZHAN,Desafio de chefe
BOSS_SAO_DANG,Varredura de chefe
BUY_BOSS_FIGHT_COUNT_COST,
FAST_FIGHT_COST,
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,
REACH_USE_MAX_COUNT_TODAY,
IS_FIGHING_BOSS,Em Desafio
ALREADY_IN_DUNGEON,Voltar
DO_CHANGE_DUNGEON,
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,
MAX_MP,
MIN_ATTACK,
MAX_ATTACK,
DEFEND,DEF
PHYSC_DEF,P.RES
MAGIC_DEF,M.RES
HIT,ACC
DEHIT,EVA
CRIT,Crit
DECRIT,PARA
MP_RECOVER,
CUR_HP,HP atual
CUR_MP,MP atual
ATTACK_ADD,ATK UP
HP_ADD,HP UP
HIT_ADD,ACC UP
DEFEND_ADD,DEF UP
DECRIT_ADD,PARA CIMA
DEHIT_ADD,EVA UP
CRIT_ADD,Crit UP
CRIT_DAMAGE_ADD,Crit DMG UP
DRAIN_HP,Sanguessuga
DEFEND_IGNORE,DEF PEN
PHYSC_DEF_IGNORE,P.PEN
MAGIC_DEF_IGNORE,M.PEN
PHYSC_DEF_ADD,P.RES UP
MAGIC_DEF_ADD,M.RES UP
DEBUFF_RESIST,Debuff RES
HP_RECOVER,Restaurar HP
BOUNCE_RATE,
EXP_ADD,Ganho em EXP
EXP,EXP
VIP_EXP,VIP EXP
COIN_ADD,Coin Drop
COIN,Moedas
GOLD,Diamante
MEDAL,Explorar
FUSION,Smelt Pt.
ESSENCE,Enhance Essence
GEM_TICKET,Pergaminhos de Gema
PRESTIGE,
DEBRIS,
SUMMON_SCORE,ponto
HONOR,honra
STAR_STONE,Safira
HIGH_QUALITY_RATE,Queda de equipamentos
ARMOR_ATTR_PART1,
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color> </size>
ARMOR_ATTR_PART2,<size=30> <color=#FFFF00> Atributos adicionais: </color> </size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color> </size>
ARMOR_ATTR_PART3,<size=30> <color=#FF0000> Atributo do artefato: </color> </size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color> </size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,
CONFIRM_INHERIT_AND_REPLACE_ARMOR,
ARMOR_FULL,
HERO_FULL_IN_BATTLE,
HERO_IN_ADVENTURE,
XILIAN_ATRRIBUTE_ONLY_ONE,
GEM_TICKET_NOT_ENOUGH,Pergaminhos de Gema insuficientes
GEM_SLOT_OPEN_REQUEST,
BAG_ADD_CAPACITY,Gaste 100 diamantes em cada compra de bolsa para expandir sua bolsa em 10 slots
SELL_GOODS,
GEM_PART,Slot de soquete
WIN_RATE_NOT_ENOUGH,
ALREADY_IN_TARGET_DUNGEON,
ZHU_WU,
TOU_KUI,Capacete
FU_SHOU,
XIONG_JIA,armaduras
JIE_ZI,Anel
HU_TUI,Leggings
HU_SHOU,
YAO_DAI,Cinto
XIANG_LIAN,Colar
XIE_ZI,sapatos
SUMMON_REWARD_LEFT,
WHITE,Branco
GREEN,Verde
BLUE,Azul
PURPLE,Roxa
ORANGE,laranja
RED,Vermelho
SUMMON_FREE_COUNT,
SUMMON_BUTTON_LABEL,Evocar {0} Vezes
NOT_ENOUGH,Insuficiente
BATTLE_REPORT_ENEMY_APPEAR,
BATTLE_REPORT_VICTORY,
BATTLE_REPORT_DEFEAT,Derrota!
BATTLE_REPORT_AWARD,Obtenha {name} * {count}
BATTLE_REPORT_SEARCH_ENEMY,Explorando
BATTLE_REPORT_ROUND_BEGIN,
ARENA_TARGET_USER_ERROR,Erro nos dados do jogador alvo
ARENA_REPORT_SUBTITLE_1,Desafiado por {0} e {1}. {2}
ARENA_REPORT_SUBTITLE_2,Desafiou {0} e {1}. {2}
ARENA_RANK,Ranking
CONFIRM_SIGN_UP_HONOR_ARENA,
NOT_CHANGE,Inalterado
ARENA_SHOP_GOODS_DATA_ERROR,Erro nos dados do item
ARENA_SHOP_GOODS_BUY_COUNT_LIMIT,
SUCCESS_BUY,Comprado
REACH_MAX_BAG_ARMOR_CAPACITY,
STILL_FIGHT,Continua a lutar
LEFT_TIME,Remanescente
COST_TIME,Tempo usado
HERO_STATE_FREE,Ocioso
HERO_STATE_BATTLE,Implantar
HERO_STATE_ADVENTURE,Aventura
ADVENTURE_QUEUE_FULL,
DAILY_ADVENTURE_TIMES_EMPTY,
ADVENTURE_SPEED_CONFIRM,Gaste {cost} diamantes para completar esta aventura instantaneamente?
ADVENTURE_CANCEL_CONFIRM,
ARENA_CHALLENGE_REFRESH_SUCC,Lista atualizada
WU_JIANG,Guerreiro
MOU_SHI,Mago
GONG_JIANG,Arqueiro
WU_JIANG_DESC,Guerreiro
