name,value
OK,Confirmar
AGREE,Aceitar
REFUSE,Recusar
CANCEL,Cancelar
SUCCESS,Sucesso
FAIL,Perder
BUY,Comprar
GOTO,Ir
TIME_UNIT_MONTH,Mês
TIME_UNIT_DAY,Dia
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,Não pode estar vazia
STRING_LENGTH_LIMIT,Máximo de {0} letras
GET_CONFIG_FAILD,Falha ao ler a configuração
UNABLE_TO_CONNECT_TO_SERVER,Falha na conexão do servidor
INVALID_TOKEN,Estado de login inválido
INVALID_ENTRY_ID,Servidor de destino inválido
SERVER_ERROR,O servidor encontrou um erro
INVALID_PARAM,Parâmetro inválido
SERVER_IS_FULL,O servidor está cheio
DUPLICATE_NAME,Nome é usado
ILLEGAL_NAME_LENGTH,Comprimento de nome inválido
ILLEGAL_NAME,O nome inclui caracteres inválidos
PASSPORT_CANT_BE_NULL,A conta não pode ficar em branco
CONFIRM_REPLACE_ARMOR,Você já usou um equipamento. Deseja usá-lo <color=#00ff00> {name} </color>?
USER_LEVEL_INVALID,Nível inválido
ARMOR_SCORE_FORMAT,Eqpt. Pontuação: {score}
ARMOR_LEVEL_FORMAT,Eqpt. Nv .: {level}
DUNGEON_WIN_RATE,Taxa de ganhos: {rate}%
DUNGEON_EXP_ADD_RATE,Bônus de EXP: {rate}%
SKILL_LOCK,Essa habilidade é desbloqueada no nível {nível}
SKILL_CONTINER_LOCK,Desbloqueado no nível {nível}
CUR_DUNEGON_IS_LOCK,A masmorra alvo está bloqueada
CUR_MAP_IS_LOCK,O mapa de destino está bloqueado
BOSS_TIAO_ZHAN,Desafio de chefe
BOSS_SAO_DANG,Varredura de chefe
BUY_BOSS_FIGHT_COUNT_COST,Compra do desafio do chefe No.{0} x de compra hoje{1} Diamantes. Continuar? (Agora você é VIP {2} e pode comprar {3} mais vezes hoje)
FAST_FIGHT_COST,O combate rápido por 2 horas custa {0} diamantes. Você confirma? (Agora você é VIP {1} e pode comprar {2} mais vezes hoje)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,Atinja mais de 80% de taxa de vitórias para desafiar o chefe
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,Você ainda tem {0} Pergaminhos de Desafio de Chefe. Você quer usá-lo?
REACH_USE_MAX_COUNT_TODAY,Você atingiu o limite de uso diário
IS_FIGHING_BOSS,Em Desafio
ALREADY_IN_DUNGEON,Voltar
DO_CHANGE_DUNGEON,Batalha automática
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,HP máximo
MAX_MP,MP máximo
MIN_ATTACK,ATK mínimo
MAX_ATTACK,ATK máximo
DEFEND,DEF
PHYSC_DEF,P.RES
MAGIC_DEF,M.RES
HIT,ACC
DEHIT,EVA
CRIT,Crit
DECRIT,PARA
MP_RECOVER,Recuperação MP
CUR_HP,HP atual
CUR_MP,MP atual
ATTACK_ADD,ATK UP
HP_ADD,HP UP
HIT_ADD,ACC UP
DEFEND_ADD,DEF UP
DECRIT_ADD,PARA CIMA
DEHIT_ADD,EVA UP
CRIT_ADD,Crit UP
CRIT_DAMAGE_ADD,Crit DMG UP
DRAIN_HP,Sanguessuga
DEFEND_IGNORE,DEF PEN
PHYSC_DEF_IGNORE,P.PEN
MAGIC_DEF_IGNORE,M.PEN
PHYSC_DEF_ADD,P.RES UP
MAGIC_DEF_ADD,M.RES UP
DEBUFF_RESIST,Debuff RES
HP_RECOVER,Restaurar HP
BOUNCE_RATE,Reflexão DMG
EXP_ADD,Ganho em EXP
EXP,EXP
VIP_EXP,VIP EXP
COIN_ADD,Coin Drop
COIN,Moedas
GOLD,Diamante
MEDAL,Explorar
FUSION,Smelt Pt.
ESSENCE,Enhance Essence
GEM_TICKET,Pergaminhos de Gema
PRESTIGE,Prestígio
DEBRIS,Estilhaço da Alma Sagrada
SUMMON_SCORE,ponto
HONOR,honra
STAR_STONE,Safira
HIGH_QUALITY_RATE,Queda de equipamentos
ARMOR_ATTR_PART1,<size=30> <color=#FFFF00> Atributos básicos: </color> </size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color> </size>
ARMOR_ATTR_PART2,<size=30> <color=#FFFF00> Atributos adicionais: </color> </size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color> </size>
ARMOR_ATTR_PART3,<size=30> <color=#FF0000> Atributo do artefato: </color> </size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color> </size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,Aprimorar Lv. não pode ir mais alto que Anjo Lv.
CONFIRM_INHERIT_AND_REPLACE_ARMOR,"Deseja herdar e substituí-lo por <color=#00ff00> {name} </color>? (Melhorar Nv., Atributos de Artefato e Gemas serão mantidos após a herança)"
ARMOR_FULL,O equipamento está cheio
HERO_FULL_IN_BATTLE,Você atingiu o número máximo de anjos implantados
HERO_IN_ADVENTURE,"O anjo está em uma aventura, incapaz de lutar"
XILIAN_ATRRIBUTE_ONLY_ONE,Equipamentos com qualidade inferior à azul não podem ser refinados
GEM_TICKET_NOT_ENOUGH,Pergaminhos de Gema insuficientes
GEM_SLOT_OPEN_REQUEST,Gaste {cost} para desbloquear o encaixe da gema？
BAG_ADD_CAPACITY,Gaste 100 diamantes em cada compra de bolsa para expandir sua bolsa em 10 slots
SELL_GOODS,Reciclar 1 item irá gerar Moeda * {preço}. Você também pode manter o item como lembrança. Tem certeza de que deseja reciclar?
GEM_PART,Slot de soquete
WIN_RATE_NOT_ENOUGH,A taxa de vitórias é muito baixa
ALREADY_IN_TARGET_DUNGEON,Já na masmorra alvo
ZHU_WU,Mão principal
TOU_KUI,Capacete
FU_SHOU,Fora de mão
XIONG_JIA,armaduras
JIE_ZI,Anel
HU_TUI,Leggings
HU_SHOU,Protetor de mão
YAO_DAI,Cinto
XIANG_LIAN,Colar
XIE_ZI,sapatos
