name,value
OK,Confirmar
AGREE,Aceptar
REFUSE,Rechazar
CANCEL,Cancelar
SUCCESS,Triunfar
FAIL,Perder
BUY,Comprar
GOTO,Ir
TIME_UNIT_MONTH,Mes
TIME_UNIT_DAY,
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,
STRING_LENGTH_LIMIT,
GET_CONFIG_FAILD,
UNABLE_TO_CONNECT_TO_SERVER,
INVALID_TOKEN,
INVALID_ENTRY_ID,
SERVER_ERROR,Error en el servidor
INVALID_PARAM,Parametro invalido
SERVER_IS_FULL,
DUPLICATE_NAME,El nombre es usado
ILLEGAL_NAME_LENGTH,
ILLEGAL_NAME,
PASSPORT_CANT_BE_NULL,La cuenta no puede estar en blanco
CONFIRM_REPLACE_ARMOR,
USER_LEVEL_INVALID,
ARMOR_SCORE_FORMAT,
ARMOR_LEVEL_FORMAT,Niv. de Eqpt.: {level}
DUNGEON_WIN_RATE,% Victorias: {rate}%
DUNGEON_EXP_ADD_RATE,
SKILL_LOCK,Esta habilidad se desbloquea en Niv.{level}
SKILL_CONTINER_LOCK,Desbloqueada en Niv.{level}
CUR_DUNEGON_IS_LOCK,
CUR_MAP_IS_LOCK,
BOSS_TIAO_ZHAN,Desafiar Boss
BOSS_SAO_DANG,Aniquilar Boss
BUY_BOSS_FIGHT_COUNT_COST,
FAST_FIGHT_COST,
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,
REACH_USE_MAX_COUNT_TODAY,
IS_FIGHING_BOSS,Desafiando
ALREADY_IN_DUNGEON,Volver
DO_CHANGE_DUNGEON,Auto-batalla
STRENGTH,FZA
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,RES
MAX_HP,
MAX_MP,
MIN_ATTACK,
MAX_ATTACK,
DEFEND,DEF
PHYSC_DEF,RES.F
MAGIC_DEF,RES.M
HIT,GOL
DEHIT,ESQ
CRIT,Crit
DECRIT,DZA
MP_RECOVER,Rec.PM
CUR_HP,PV actual
CUR_MP,PM actual
ATTACK_ADD,ATQ Aumentado
HP_ADD,PV Aumentado
HIT_ADD,GOL Aumentado
DEFEND_ADD,DEF Aumentado
DECRIT_ADD,DZA Aumentada
DEHIT_ADD,ESQ Aumentado
CRIT_ADD,Crit Aumentado
CRIT_DAMAGE_ADD,
DRAIN_HP,Robo de Vida
DEFEND_IGNORE,Perf.DEF
PHYSC_DEF_IGNORE,Perf.F
MAGIC_DEF_IGNORE,Perf.M
PHYSC_DEF_ADD,RES.F Aumentado
MAGIC_DEF_ADD,RES.M Aumentado
DEBUFF_RESIST,RES Debuff
HP_RECOVER,Recuperar PV
BOUNCE_RATE,
EXP_ADD,Obtener EXP
EXP,EXP
VIP_EXP,EXP de VIP
COIN_ADD,
COIN,Moneda
GOLD,Diamante
MEDAL,
FUSION,
ESSENCE,Esencia de Mejora
GEM_TICKET,Rollos de Gema
PRESTIGE,Prestigio
DEBRIS,Fragmento de Alma Sagrada
SUMMON_SCORE,Puntos
HONOR,Honor
STAR_STONE,Zafiro
HIGH_QUALITY_RATE,
ARMOR_ATTR_PART1,
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
