name,value
OK,Confirmar
AGREE,Aceptar
REFUSE,Rechazar
CANCEL,Cancelar
SUCCESS,Triunfar
FAIL,Perder
BUY,Comprar
GOTO,Ir
TIME_UNIT_MONTH,Mes
TIME_UNIT_DAY,Día
TIME_UNIT_HOUR,h
TIME_UNIT_MIN,m
TIME_UNIT_SEC,s
INPUT_CANNOT_BE_EMPTY,La introducción no puede ser vacía
STRING_LENGTH_LIMIT,{0} caracteres como máximo
GET_CONFIG_FAILD,Error al leer la configuración
UNABLE_TO_CONNECT_TO_SERVER,Error en la conexión del servidor
INVALID_TOKEN,Inicio de sesión no válido
INVALID_ENTRY_ID,Servidor objetivo no válido
SERVER_ERROR,Error en el servidor
INVALID_PARAM,Parametro invalido
SERVER_IS_FULL,El servidor está lleno
DUPLICATE_NAME,El nombre es usado
ILLEGAL_NAME_LENGTH,Longitud de nombre inválido
ILLEGAL_NAME,El nombre incluye caracteres no válidos
PASSPORT_CANT_BE_NULL,La cuenta no puede estar en blanco
CONFIRM_REPLACE_ARMOR,"Ya has usado un equipamiento, ¿quieres usar <color=#00ff00>{name}</color>?"
USER_LEVEL_INVALID,Nivel inválido
ARMOR_SCORE_FORMAT,Valoración de Eqpt.: {score}
ARMOR_LEVEL_FORMAT,Niv. de Eqpt.: {level}
DUNGEON_WIN_RATE,% Victorias: {rate}%
DUNGEON_EXP_ADD_RATE,Bonificación de EXP: {rate}%
SKILL_LOCK,Esta habilidad se desbloquea en Niv.{level}
SKILL_CONTINER_LOCK,Desbloqueada en Niv.{level}
CUR_DUNEGON_IS_LOCK,La instancia objetiva está bloqueada
CUR_MAP_IS_LOCK,El mapa objetivo está bloqueado
BOSS_TIAO_ZHAN,Desafiar Boss
BOSS_SAO_DANG,Aniquilar Boss
BUY_BOSS_FIGHT_COUNT_COST,Comprar la oportunidad de desafiar Boss por n°{0} veces cuesta {1} Diamantes. ¿confirmas? (Ahora eres VIP{2} y puedes comprar {3} veces más hoy)
FAST_FIGHT_COST,El combate rápido durante 2 horas cuesta {0} Diamantes. ¿Confirmas? (Ahora eres VIP{1} y puedes comprar {2} veces más hoy)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,Alcanzar más del 80% de tasa de victorias puede desafiar a Boss
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,Todavía tienes {0} pergaminos del desafío de Boss. ¿Quieres usarlo?
REACH_USE_MAX_COUNT_TODAY,Has alcanzado el límite de uso diario
IS_FIGHING_BOSS,Desafiando
ALREADY_IN_DUNGEON,Volver
DO_CHANGE_DUNGEON,Auto-batalla
STRENGTH,FZA
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,RES
MAX_HP,Máx.PV
MAX_MP,Máx.PM
MIN_ATTACK,Mín.ATQ
MAX_ATTACK,Máx.ATQ
DEFEND,DEF
PHYSC_DEF,RES.F
MAGIC_DEF,RES.M
HIT,GOL
DEHIT,ESQ
CRIT,Crit
DECRIT,DZA
MP_RECOVER,Rec.PM
CUR_HP,PV actual
CUR_MP,PM actual
ATTACK_ADD,ATQ Aumentado
HP_ADD,PV Aumentado
HIT_ADD,GOL Aumentado
DEFEND_ADD,DEF Aumentado
DECRIT_ADD,DZA Aumentada
DEHIT_ADD,ESQ Aumentado
CRIT_ADD,Crit Aumentado
CRIT_DAMAGE_ADD,DAÑO Crítico Aumentado
