name,value
OK,確認
AGREE,Agree
REFUSE,拒絕
CANCEL,Cancel
SUCCESS,Success
FAIL,失敗
BUY,購買
GOTO,Go
TIME_UNIT_MONTH,月
TIME_UNIT_DAY,　Day(s)
TIME_UNIT_HOUR,小時
TIME_UNIT_MIN,分鐘
TIME_UNIT_SEC,秒
INPUT_CANNOT_BE_EMPTY,輸入不能為空
STRING_LENGTH_LIMIT,文字上限{0}字
GET_CONFIG_FAILD,讀取配置失敗
UNABLE_TO_CONNECT_TO_SERVER,無法連接到伺服器
INVALID_TOKEN,無效的登錄狀態
INVALID_ENTRY_ID,無效的目標伺服器
SERVER_ERROR,伺服器出錯了
INVALID_PARAM,參數無效
SERVER_IS_FULL,伺服器已滿
DUPLICATE_NAME,名字重複
ILLEGAL_NAME_LENGTH,名字長度不合法
ILLEGAL_NAME,名字包含無效字元
PASSPORT_CANT_BE_NULL,帳號不能為空
CONFIRM_REPLACE_ARMOR,身上已經穿戴了一件裝備，要戴上<color=#00ff00>{name}</color>嗎？
USER_LEVEL_INVALID,等級不合法
ARMOR_SCORE_FORMAT,裝備評分：{score}
ARMOR_LEVEL_FORMAT,裝備等級：{level}
DUNGEON_WIN_RATE,當前勝率：{rate}%
DUNGEON_EXP_ADD_RATE,經驗加成：{rate}%
SKILL_LOCK,該技能{level}級開放
SKILL_CONTINER_LOCK,該技能槽{level}級開放
CUR_DUNEGON_IS_LOCK,目標副本還未解鎖
CUR_MAP_IS_LOCK,目標地圖還未解鎖
BOSS_TIAO_ZHAN,BOSS挑戰
BOSS_SAO_DANG,BOSS掃蕩
BUY_BOSS_FIGHT_COUNT_COST,今天第{0}次購買挑戰BOSS次數將消花費 {1}鑽石，確定繼續嗎？(您是VIP{2}，今天還可以購買{3}次)
FAST_FIGHT_COST,每次快速掛機立即獲得2小時掛機收益(您是VIP{0}，今天一共可以購買{1}次)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,勝率80%以上才能挑戰BOSS
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,您還有{0}張BOSS挑戰券，是否使用？
REACH_USE_MAX_COUNT_TODAY,達到每日使用次數上限
IS_FIGHING_BOSS,挑戰中
ALREADY_IN_DUNGEON,返回掛機
DO_CHANGE_DUNGEON,進入掛機
STRENGTH,STR
AGILITY,AGI
INTELLIGENCE,INT
STAMINA,EDR
MAX_HP,Max HP
MAX_MP,最大魔法
MIN_ATTACK,最小攻擊
MAX_ATTACK,最大攻擊
DEFEND,防禦力
PHYSC_DEF,物抗
MAGIC_DEF,魔抗
HIT,命中
DEHIT,閃避
CRIT,暴擊值
DECRIT,韌性
MP_RECOVER,魔法回復
CUR_HP,當前生命
CUR_MP,當前魔法
ATTACK_ADD,增加攻擊
HP_ADD,增加生命
HIT_ADD,增加命中
DEFEND_ADD,增加防禦力
DECRIT_ADD,增加韌性
DEHIT_ADD,增加閃避
CRIT_ADD,增加暴擊值
CRIT_DAMAGE_ADD,增加暴傷
DRAIN_HP,吸血
DEFEND_IGNORE,防禦穿透
PHYSC_DEF_IGNORE,物抗穿透
MAGIC_DEF_IGNORE,魔抗穿透
PHYSC_DEF_ADD,增加物抗
MAGIC_DEF_ADD,增加魔抗
DEBUFF_RESIST,異常抵抗
HP_RECOVER,生命回復
BOUNCE_RATE,傷害反彈
EXP_ADD,經驗獲得
EXP,經驗
VIP_EXP,vip經驗
COIN_ADD,金幣掉落
COIN,金幣
GOLD,鑽石
MEDAL,武勳
FUSION,熔煉值
ESSENCE,強化精華
GEM_TICKET,寶石券
PRESTIGE,聲望
DEBRIS,Holy Soul Shard
SUMMON_SCORE,召喚積分
HONOR,榮譽值
STAR_STONE,星石
HIGH_QUALITY_RATE,裝備掉落
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>基礎屬性：</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>附加屬性：</color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>神器屬性：</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,強化等級不可超過玩家等級
CONFIRM_INHERIT_AND_REPLACE_ARMOR,是否繼承並替換上<color=#00ff00>{name}</color>？（繼承原裝備的強化等級、神器屬性和寶石）
ARMOR_FULL,裝備已滿
HERO_FULL_IN_BATTLE,出戰女神達到限制
HERO_IN_ADVENTURE,女神冒險中，不能出戰
XILIAN_ATRRIBUTE_ONLY_ONE,藍色以下裝備不能洗練
