npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10001,Fallen Valkyrie,2049.png,YKLS0,YKLS0,24,1,100,112202001,0,1346625,54600,60060,2520,3209,3209,7560,9660,23,7350,7350,0,0,0,0,0,0,0,3000,0,0,0
10002,Clone of Lucifer,2041.png,HFSTS0,HFSTS0,24,2,100,112901001,0,2693250,109200,120120,5040,6418,6418,15120,19320,46,14700,14700,0,0,0,0,0,0,0,3000,0,0,0
10003,Archangel,NPC48.png,NPC48,NPC48,24,3,100,112801001,0,1410750,57200,62920,2640,3362,3362,7920,10120,24,7700,7700,0,0,0,0,0,0,0,3000,0,0,0
10004,Soul-eating Witch,2040.png,HSZR0,HSZR0,24,1,100,112902001,0,2821500,114400,125840,5280,6724,6724,15840,20240,48,15400,15400,0,0,0,0,0,0,0,3000,0,0,0
10005,War Witch,NPC12.png,NPC12,NPC12,24,2,100,111901001,0,1474875,59800,65780,2760,3515,3515,8280,10580,25,8050,8050,0,0,0,0,0,0,0,3000,0,0,0
10006,White Bone Lady,2015.png,YD0,YD0,24,3,100,100310001,0,2949750,119600,131560,5520,7029,7029,16560,21160,51,16100,16100,0,0,0,0,0,0,0,3000,0,0,0
10007,Shadow Demon,NPC13.png,NPC13,NPC13,24,1,100,112202001,0,1539000,62400,68640,2880,3667,3667,8640,11040,26,8400,8400,0,0,0,0,0,0,0,3000,0,0,0
10008,Madam Ubume,2008.png,SN0,SN0,24,2,100,112901001,0,3078000,124800,137280,5760,7335,7335,17280,22080,53,16800,16800,0,0,0,0,0,0,0,3000,0,0,0
10009,Dragon Girl,NPC27.png,NPC27,NPC27,24,3,100,112801001,0,1763438,71500,78650,3300,4202,4202,9900,12650,30,9625,9625,0,0,0,0,0,0,0,3000,0,0,0
10010,Ghost Rakshasa,2014.png,NK0,NK0,24,1,100,112902001,0,3526875,143000,157300,6600,8405,8405,19800,25300,61,19250,19250,0,0,0,0,0,0,0,3000,0,0,0
10011,Clone of Fuxi,2026.png,FX0,FX0,24,2,100,110201001,0,1667250,67600,74360,3120,3973,3973,9360,11960,29,9100,9100,0,0,0,0,0,0,0,3000,0,0,0
10012,Wraith Princess,2004.png,Y0,Y0,24,3,100,100302001,0,3334500,135200,148720,6240,7946,7946,18720,23920,57,18200,18200,0,0,0,0,0,0,0,3000,0,0,0
10013,Judge,NPC26.png,NPC26,NPC26,24,1,100,112202001,0,1731375,70200,77220,3240,4126,4126,9720,12420,30,9450,9450,0,0,0,0,0,0,0,3000,0,0,0
10014,Ghost Lady,2032.png,TZDS0,TZDS0,24,2,100,112901001,0,3462750,140400,154440,6480,8252,8252,19440,24840,59,18900,18900,0,0,0,0,0,0,0,3000,0,0,0
10015,Ogre,NPC22.png,NPC22,NPC22,24,3,100,112801001,0,1795500,72800,80080,3360,4279,4279,10080,12880,31,9800,9800,0,0,0,0,0,0,0,3000,0,0,0
10016,Samurai Spirit,2038.png,WN0,WN0,24,1,100,112902001,0,3591000,145600,160160,6720,8557,8557,20160,25760,62,19600,19600,0,0,0,0,0,0,0,3000,0,0,0
10017,Xiwangmu,2027.png,XWM1,XWM1,24,2,100,100109001,0,1859625,75400,82940,3480,4431,4431,10440,13340,32,10150,10150,0,0,0,0,0,0,0,3000,0,0,0
10018,Tsukuyomi,NPC30.png,NPC30,NPC30,24,3,100,100101001,0,3719250,150800,165880,6960,8863,8863,20880,26680,64,20300,20300,0,0,0,0,0,0,0,3000,0,0,0
10019,Frost Giant,NPC39.png,NPC39,NPC39,24,1,100,112202001,0,2116125,85800,94380,3960,5043,5043,11880,15180,36,11550,11550,0,0,0,0,0,0,0,3000,0,0,0
10020,Witch Elf,NPC18.png,NPC18,NPC18,24,2,100,112901001,0,4232250,171600,188760,7920,10085,10085,23760,30360,73,23100,23100,0,0,0,0,0,0,0,3000,0,0,0
10021,Blue Dragon King,NPC48.png,NPC48,NPC48,24,3,100,112801001,0,1987875,80600,88660,3720,4737,4737,11160,14260,34,10850,10850,0,0,0,0,0,0,0,3000,0,0,0
10022,Maid of Demonlord,2019.png,NMXS0,NMXS0,24,1,100,112902001,0,3975750,161200,177320,7440,9474,9474,22320,28520,68,21700,21700,0,0,0,0,0,0,0,3000,0,0,0
10023,Glory Angel,NPC51.png,NPC51,NPC51,24,2,100,110501001,0,2052000,83200,91520,3840,4890,4890,11520,14720,35,11200,11200,0,0,0,0,0,0,0,3000,0,0,0
10024,Little Devil,NPC19.png,NPC19,NPC19,24,3,100,113301001,0,4104000,166400,183040,7680,9780,9780,23040,29440,70,22400,22400,0,0,0,0,0,0,0,3000,0,0,0
10025,Gabriel,2003.png,LXF0,LXF0,24,1,100,112202001,0,2116125,85800,94380,3960,5043,5043,11880,15180,36,11550,11550,0,0,0,0,0,0,0,3000,0,0,0
10026,Argus,2022.png,BLDD0,BLDD0,24,2,100,112901001,0,4232250,171600,188760,7920,10085,10085,23760,30360,73,23100,23100,0,0,0,0,0,0,0,3000,0,0,0
10027,Erebus,2031.png,ERBS0,ERBS0,24,3,100,112801001,0,2180250,88400,97240,4080,5196,5196,12240,15640,37,11900,11900,0,0,0,0,0,0,0,3000,0,0,0
10028,Faceless banshee,NPC20.png,NPC20,NPC20,24,1,100,112902001,0,4360500,176800,194480,8160,10391,10391,24480,31280,75,23800,23800,0,0,0,0,0,0,0,3000,0,0,0
10029,Earthly Giant,NPC22.png,NPC22,NPC22,24,2,100,110902001,0,2468813,100100,110110,4620,5883,5883,13860,17710,42,13475,13475,0,0,0,0,0,0,0,3000,0,0,0
10030,Warden of Souls,2035.png,AD0,AD0,24,3,100,110201001,0,4937625,200200,220220,9240,11766,11766,27720,35420,85,26950,26950,0,0,0,0,0,0,0,3000,0,0,0
10031,Bear Lady,2007.png,XN0,XN0,24,1,100,100304001,0,2308500,93600,102960,4320,5501,5501,12960,16560,40,12600,12600,0,0,0,0,0,0,0,3000,0,0,0
10032,Fire sacrifice,NPC31.png,NPC31,NPC31,24,2,100,112201001,0,4617000,187200,205920,8640,11002,11002,25920,33120,79,25200,25200,0,0,0,0,0,0,0,3000,0,0,0
10033,Black Dragon,NPC46.png,NPC46,NPC46,24,3,100,100101001,0,2372625,96200,105820,4440,5654,5654,13320,17020,41,12950,12950,0,0,0,0,0,0,0,3000,0,0,0
10034,Ink Lady,2046.png,YXNM0,YXNM0,24,1,100,112901001,0,4745250,192400,211640,8880,11308,11308,26640,34040,81,25900,25900,0,0,0,0,0,0,0,3000,0,0,0
10035,Fox Fairy,NPC31.png,NPC31,NPC31,24,2,100,100303001,0,2436750,98800,108680,4560,5807,5807,13680,17480,42,13300,13300,0,0,0,0,0,0,0,3000,0,0,0
10036,Peacock banshee,NPC22.png,NPC22,NPC22,24,3,100,112002001,0,4873500,197600,217360,9120,11614,11614,27360,34960,84,26600,26600,0,0,0,0,0,0,0,3000,0,0,0
10037,Horse Face,NPC37.png,NPC37,NPC37,24,1,100,100304001,0,2500875,101400,111540,4680,5960,5960,14040,17940,43,13650,13650,0,0,0,0,0,0,0,3000,0,0,0
10038,Hell Maid,2015.png,YD0,YD0,24,2,100,112201001,0,5001750,202800,223080,9360,11919,11919,28080,35880,86,27300,27300,0,0,0,0,0,0,0,3000,0,0,0
10039,Venomous King,NPC25.png,NPC25,NPC25,24,3,100,100101001,0,2821500,114400,125840,5280,6724,6724,15840,20240,48,15400,15400,0,0,0,0,0,0,0,3000,0,0,0
10040,Tree Essence,NPC23.png,NPC23,NPC23,24,1,100,100304001,0,5643000,228800,251680,10560,13447,13447,31680,40480,97,30800,30800,0,0,0,0,0,0,0,3000,0,0,0
10041,Shadow Sage,NPC44.png,NPC44,NPC44,24,2,100,112201001,0,2629125,106600,117260,4920,6265,6265,14760,18860,45,14350,14350,0,0,0,0,0,0,0,3000,0,0,0
10042,Isis,2021.png,YXS0,YXS0,24,3,100,100101001,0,5258250,213200,234520,9840,12530,12530,29520,37720,90,28700,28700,0,0,0,0,0,0,0,3000,0,0,0
10043,Idun,2015.png,YD0,YD0,24,1,100,100304001,0,2693250,109200,120120,5040,6418,6418,15120,19320,46,14700,14700,0,0,0,0,0,0,0,3000,0,0,0
10044,Witch,NPC24.png,NPC24,NPC24,24,2,100,112201001,0,5386500,218400,240240,10080,12836,12836,30240,38640,92,29400,29400,0,0,0,0,0,0,0,3000,0,0,0
10045,Verdandi,2022.png,BLDD1,BLDD1,24,3,100,100101001,0,2757375,111800,122980,5160,6571,6571,15480,19780,47,15050,15050,0,0,0,0,0,0,0,3000,0,0,0
10046,Queen of Centaur,2023.png,XF0,XF0,24,1,100,112602001,0,5514750,223600,245960,10320,13142,13142,30960,39560,95,30100,30100,0,0,0,0,0,0,0,3000,0,0,0
10047,Sif,2023.png,XF0,XF0,24,2,100,100110001,0,2821500,114400,125840,5280,6724,6724,15840,20240,48,15400,15400,0,0,0,0,0,0,0,3000,0,0,0
10048,Snake Demon,NPC24.png,NPC24,NPC24,24,3,100,112602001,0,5643000,228800,251680,10560,13447,13447,31680,40480,97,30800,30800,0,0,0,0,0,0,0,3000,0,0,0
10049,Odin,2035.png,AD0,AD0,24,1,100,112202001,0,3174188,128700,141570,5940,7564,7564,17820,22770,54,17325,17325,0,0,0,0,0,0,0,3000,0,0,0
10050,Dark Dragon,NPC28.png,NPC28,NPC28,24,2,100,112901001,0,6348375,257400,283140,11880,15128,15128,35640,45540,109,34650,34650,0,0,0,0,0,0,0,3000,0,0,0
10051,Shadow Demon,NPC52.png,NPC52,NPC52,24,3,100,112801001,0,2949750,119600,131560,5520,7029,7029,16560,21160,51,16100,16100,0,0,0,0,0,0,0,3000,0,0,0
10052,Shadow Lady,NPC26.png,NPC26,NPC26,24,1,100,112902001,0,5899500,239200,263120,11040,14059,14059,33120,42320,101,32200,32200,0,0,0,0,0,0,0,3000,0,0,0
10053,Criminal God,NPC46.png,NPC46,NPC46,24,2,100,100302001,0,3013875,122200,134420,5640,7182,7182,16920,21620,52,16450,16450,0,0,0,0,0,0,0,3000,0,0,0
