npc_id,name,avatar_path,spine_name,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,fight_value
1001,Frost Troll,NPC7.png,NPC7,13,2,81,112202001,0,1729000,186772,193600,6032,10713,10713,18100,32066,90,17583,21100,0,0,0,0,0,0,0,0,0,0,0,1101100
1002,Tundra Wolf,NPC15.png,NPC15,13,2,82,112202001,0,1843000,193811,203200,6229,10920,10920,18700,32462,90,18081,21697,0,0,0,0,0,0,0,0,0,0,0,1132100
1003,Zombie,NPC6.png,NPC6,13,2,83,112202001,0,1957000,200850,212800,6426,11126,11126,19300,32858,90,18579,22295,0,0,0,0,0,0,0,0,0,0,0,1163100
1004,Raven Hag,NPC10.png,NPC10,13,2,84,112202001,0,2071000,207888,222400,6623,11332,11332,19900,33254,90,19077,22892,0,0,0,0,0,0,0,0,0,0,0,1194100
1005,Frost Dragon,NPC1.png,NPC1,13,2,85,112202001,0,2185000,268660,290000,6820,11539,11539,20500,33650,90,19575,23490,0,0,0,0,0,0,0,0,0,0,0,1225100
1006,World Devourer,NPC17.png,NPC17,13,2,86,100304001,0,2299000,221966,241600,7016,11745,11745,21100,34046,90,20073,24088,0,0,0,0,0,0,0,0,0,0,0,1498000
1007,Dwarf Centurion,NPC5.png,NPC5,13,2,87,100304001,0,2413000,229004,251200,7213,11952,11952,21700,34442,90,20571,24685,0,0,0,0,0,0,0,0,0,0,0,1527000
1008,Soul Reaper,NPC4.png,NPC4,13,2,88,100304001,0,2527000,236044,260800,7410,12158,12158,22300,34838,90,21069,25283,0,0,0,0,0,0,0,0,0,0,0,1556000
1009,Luke Blacktooth,NPC11.png,NPC11,13,2,89,112202001,0,2641000,243082,270400,7607,12364,12364,22900,35234,90,21567,25880,0,0,0,0,0,0,0,0,0,0,0,1585000
1010,Stone Mistress,NPC9.png,NPC9,13,3,90,112801001,0,3114100,280294,315040,8729,12708,12708,23900,35894,90,22397,26876,0,0,0,0,0,0,0,0,0,0,0,1614000
1011,Yellow Wind Demon,NPC5.png,NPC5,13,1,91,112202001,0,3161125,282772,317972,8873,12815,12815,24200,36166,100,22708,27250,0,0,0,0,0,0,0,0,0,0,0,1820700
1012,Nine-Headed Serpent,NPC4.png,NPC4,13,2,92,112202001,0,3317875,289809,325009,9310,13064,13064,25400,37162,100,23956,28747,0,0,0,0,0,0,0,0,0,0,0,1899000
1013,Bull Demon King,NPC9.png,NPC9,13,2,93,112202001,0,3474625,296846,332046,9749,13314,13314,26600,38158,100,25204,30245,0,0,0,0,0,0,0,0,0,0,0,1934100
1014,Ganoderma,NPC1.png,NPC1,13,2,94,112202001,0,3631375,303884,339084,10187,13564,13564,27800,39154,100,26452,31742,0,0,0,0,0,0,0,0,0,0,0,1976700
1015,Spirit of Lust,NPC9.png,NPC9,13,2,95,112202001,0,3788125,388652,432652,10626,13813,13813,29000,40150,100,27700,33240,0,0,0,0,0,0,0,0,0,0,0,2107900
1016,Fallen Paladin,NPC1.png,NPC1,13,2,96,100304001,0,3944875,317957,353157,11064,14063,14063,30200,41146,100,28948,34738,0,0,0,0,0,0,0,0,0,0,0,2277500
1017,Witch Hunter,NPC7.png,NPC7,13,2,97,100304001,0,4101625,324995,360195,11502,14312,14312,31400,42142,100,30196,36235,0,0,0,0,0,0,0,0,0,0,0,2486600
1018,Bloodthirst Priest,NPC15.png,NPC15,13,2,98,100304001,0,4258375,332033,367233,11941,14562,14562,32600,43138,100,31444,37733,0,0,0,0,0,0,0,0,0,0,0,2695700
1019,Evil Governer,NPC13.png,NPC13,13,2,99,112202001,0,4415125,339070,374270,12378,14812,14812,33800,44134,100,32692,39230,0,0,0,0,0,0,0,0,0,0,0,2904800
1020,Plague Knight,NPC17.png,NPC17,13,3,100,112801001,0,5101500,382690,421090,14300,15228,15228,35800,45794,100,34772,48681,0,0,0,0,0,0,0,200,0,0,0,3006500
1021,War Knight,NPC1.png,NPC1,13,2,101,111901001|110402001,0,4728625,354345,389545,13257,15367,15367,36160,46233,110,35250,49350,0,0,0,0,0,0,0,200,0,0,0,3106200
1022,Witch Hunter,NPC7.png,NPC7,13,2,102,111901001|110402001,0,4885375,368424,403624,13606,15880,15880,37120,47631,110,36750,51450,0,0,0,0,0,0,0,200,0,0,0,3113400
1023,Eye of Samsara,NPC16.png,NPC16,13,2,103,111901001|110402001,0,5042125,382503,417703,13955,16394,16394,38080,49029,110,38250,53550,0,0,0,0,0,0,0,200,0,0,0,3213300
1024,Oblivion Incarnation,NPC7.png,NPC7,13,2,104,111901001|110402001,0,5198875,396581,431781,14303,16908,16908,39040,50427,110,39750,55650,0,0,0,0,0,0,0,200,0,0,0,3259700
1025,Jorogumo,NPC17.png,NPC17,13,2,105,111901001|110402001,0,5355625,513326,557326,14652,17421,17421,40000,51825,110,41250,57750,0,0,0,0,0,0,0,200,0,0,0,3278200
