id,quality,quality_level_init,quality_level_max,awake_level_max,strengthen_skill_1,strengthen_skill_awake_1,strengthen_skill_2,strengthen_skill_awake_2,relic_pvp_skill,attr_fixd_type_type,attr_fixd_type,attr_fixd_value,attr_exclusive_id,name,icon_path,desc
150001,3,1,5,0,0,0,0,0,0,2,23,40,0,Horn of Doom,150001.png,The doomsday represents the end of the old era. What new era will usher in? The horn of doomsday does not give its answer.
150002,3,1,5,0,0,0,0,0,0,2,22,40,0,Cretan's Maze,150002.png,"Daedalus built an unusually complex and chaotic maze. But no matter how complicated it is, it cannot be a cover for Milos."
150003,3,1,5,0,0,0,0,0,0,2,21,40,0,Elato's Harp,150003.png,"This is a story about art and joy, and the harp silently recounts this memory in its own way."
150004,3,1,5,0,0,0,0,0,0,2,16,20,0,Gold Censer,150004.png,"The censer is full of magical power. It can ward off evil spirits, attract blessings, and gives peculiar power to the Ungnyeo."
150005,4,2,7,0,0,0,0,0,0,2,22,60,0,Shennongqin,150005.png,"Shennongqin has five strings on it: Yue, Gong, Jiao, Zheng, Yu. \nThe sound of it can express the virtue of heaven and earth and bring happiness to people."
150006,4,2,7,0,0,0,0,0,0,2,29,80,0,Gentle Pray,150006.png,"Raphael owns the title of Wisdom Angel. This is representative of powerful strength. \nIn the night of winter, it is the existence that can warm and heal people's hearts."
150007,4,2,7,0,0,0,0,0,0,2,21,60,0,Blood Pool,150007.png,"When he came back to his senses, the hand was tingled. \nThe scar is healed by time, but the heart was sad by rose. \nThe heart has been stolen, willing to turn into a drop in this pool of blood."
150008,4,2,7,0,0,0,0,0,0,2,23,60,0,Spirit Wrapper,150008.png,"The wrapper is sacred and pure. Geb used them to wrap the sinful souls. \nBuried under the earth, there is no way to escape forever."
150009,4,2,7,0,0,0,0,0,0,2,16,30,0,Dead blond hair,150009.png,"It is dazzling, like golden wheat in the ground. \nEven if the gold thread is now woven into such an eternal laurel, there is no chance to return to that summer."
150010,4,2,7,0,0,0,0,0,0,2,23,60,1,Pyramid,150010.png,"Memories are blurred by suffering and joy is taken away by death. \nFor the souls who came to the underworld, it is still the other side of the heart."
150011,4,2,7,0,0,0,0,0,0,2,21,60,2,Book of Destiny,150011.png,No one knows their fate on Book of Destiny. \nYou will know nothing about your life until you open the fate box.
150012,4,2,7,0,0,0,0,0,0,2,18,5,3,Moonlight Law,150012.png,"Light can scribble through the night sky, and light can shine straight into people's hearts. \nBut light will be absorbed by black hole and it also follows Nyx's Moon Night Law."
150013,4,2,7,0,0,0,0,0,0,2,22,60,4,Myth Peach,150013.png,"The flowers and the fruits are small. Myth Peach were riped for three thousand years, when people ate them, they will become immortals and their body will be be light; \n Myth Peach were riped for six thousand years, when people ate them will be soaring and living forever; \n Myth Peach were riped in nine thousand years, when people ate them, their lives will be as long as the world living."
150014,4,2,7,0,0,0,0,0,0,2,23,60,5,Throne,150014.png,"Iris as the meaning of the throne provided the throne to pharaoh who is Iris' child. Iris can use her throne to protect young children and dead people,  also she can also use her throne to resurrect the dead."
150015,5,4,14,0,0,0,0,0,0,2,21,80,6,Poseidon's Trident,150015.png,"Ordinary weapons: tearing the land, crushing rocks, and collapsing the earth. \nPoseidon's Trident: It can do what Ordinary weapons can do. Also it can tear the universe and expose the underworld."
150016,5,4,14,0,0,0,0,0,0,2,23,80,7,Magic mirror,150016.png,"Phantasos knew every skill and she can transform into the appearance of everything in the world. No one has ever seen the original appearance of Phantasos, maybe she has forgotten what she was originally."
150017,5,4,14,0,0,0,0,0,0,2,18,10,8,Song of Siren,150017.png,Don't approach the good night in the night and fall asleep in such a comfortable song to avoid falling into their mouths.
150018,5,4,14,0,0,0,0,0,0,2,22,80,9,Petrified Magic Eye,150018.png,"Through the beautiful eyes, I saw you and Medusa are in the journey. \nIt is beautiful and pure. It likes an unattainable dream, but it makes you willing to pursue it until your body and soul slowly petrify."
150019,5,4,14,0,0,0,0,0,0,2,22,80,10,Laurel Wreath,150019.png,"Embarked on a journey to find the only one in my heart. \n The road is torturous and complicated in journey, but as long as your firm direction , the angel of victory will eventually wear a laurel crown on your head."
150020,5,4,14,0,0,0,0,0,0,2,23,80,11,Merciless punishment,150020.png,"Sins turn into silk threads and gradually wrap around you. You cannot breathe. Your body and soul will die unless the silks are cut through by Nemesis.\nEven in her merciless justice, death is inevitable as she cuts through the silks, down into your very soul."
150021,5,4,14,0,0,0,0,0,0,3,2,60,12,Sky dome,150021.png,"The sun, moon and stars all perish and regenerate under her dome. Hundreds of millions of lives on the earth are sheltering the reincarnation of the next generation."
150022,5,4,14,0,0,0,0,0,0,2,16,50,13,Flag of Resistance,150022.png,Jeanne d'Arc met an angel under the big tree behind the village and received 'God's revelation'. She raised the rebellious war flag and led her generals to win the war. This flag followed her in the battle on the front lines of the war but was never broken. The oracles from flag often helped Jeanne d'Arc.
150023,5,4,14,0,0,0,0,0,0,2,23,80,14,Youth Apple,150023.png,When the bird of youth is not there and it was captured by the autumn wind. \nOnly youth apples can bring vigor and hope to people.
150024,5,4,14,0,0,0,0,0,0,2,23,80,15,Blessing Elixir,150024.png,"The baby in the swaddle was abandoned and life shouldn't have been so damaged. \nThe magpie was flying to guard and the golden tortoise swam into the sea with the baby on its back. Buddha rescued her and handed it to Huazi for adoption. \nWhen this baby growed up, she will bring more healing to the creatures."
150025,5,4,14,0,0,0,0,0,0,2,18,10,16,Eight Trigrams,150025.png,"Anciently, when Bao-xi had come to the rule of all under heaven, looking up, he contemplated the brilliant forms exhibited in the sky, and looking down he surveyed the patterns shown on the earth. On this he devised the eight trigrams, to show fully the attributes of the spirit-like and intelligent (operations working secretly), and to classify the qualities of the myriads of things."
150026,5,4,14,0,0,0,0,0,0,2,22,80,17,Pride Wings,150026.png,We can't detect her guilt through her beautiful face from a fallen angel. \nUntil she spread her Pride Wings.
150027,5,4,14,0,0,0,0,0,0,2,21,80,18,Pandora's Box,150027.png,"Even though humans know what dangers lie ahead, they still can't restrain their desires, hence a lot of suffering in the wake of opening Pandora's Boxes. \nHumans are still opening Pandora's Boxes one after another. But never forget the last hope hidden in Pandora's Boxes."
150028,5,4,14,0,0,0,0,0,0,2,15,50,19,Starfire Stone,150028.png,"Under the uncanny work of nature, this Starfire Stone has continued the Chinese civilization.\nLie down in the jungle and mountains when calm, and burst into starlight sparks when fierce. \nIt is both a continuation of civilization and a dangerous terminator."
150029,5,4,14,90,1134010011,1134010011,1134020011,1134020011,88888802,2,22,120,20,Gangnir,150029.png,"Simple and powerful-the truth of the world is also summed up by this sentence. \nMake your oath to Gangnir, never regret it and the oath will be fulfilled. You can use them to enemies when you are in fight.. \nWhen you are using it, it is like a meteor piercing the sky. It will penetrate everything even the Holy Sword Gram cannot escape this disaster."
150030,5,4,14,90,1130010011,1130010011,1130020011,1130020011,88888805,2,22,120,21,Nether Shawl,150030.png,"The nether god Erebus is the embodiment of eternal darkness, and she uses her Nether Shawl to block the world and the underworld. \nNo trace of light can pass through the Nether Shawl  to reach the territory of Erebus, she is staying in darkness forever."
