quality_level,quality,attr_random_count,need_same_count,need_all_count,need_quality_level,attr_param,original_relic_num,common_relic_num,content
1,3,1,2,2,1,0,0,0,Advancement requires 2 same N relics
2,4,2,2,2,2,5,0,0,Advancement requires 2 same R relics
3,4,2,0,2,3,10,0,0,Advancement requires any 2 R+ relics
4,5,3,1,1,4,20,0,0,Advancement requires 1 same SR relic
5,5,3,0,2,5,30,1,0,Advancement requires any 2 SR+ relics
6,6,3,1,1,5,50,1,4,Advancement requires 1 same SR+ relic
7,6,3,0,1,7,60,3,4,Advancement requires any 1 SSR+ relic
8,6,3,0,1,7,80,3,12,Advancement requires any 1 SSR+ relic
9,6,3,2,2,5,105,3,20,Advancement requires 2 same SR+ relics
10,6,3,1,1,5,110,7,20,Advancement requires 1 same SR+ relic
11,6,3,1,1,5,115,9,20,Advancement requires 1 same SR+ relic
12,6,3,1,1,5,120,11,20,Advancement requires 1 same SR+ relic
13,6,3,1,1,5,125,13,20,Advancement requires 1 same SR+ relic
14,6,3,1,1,5,130,15,20,Relic has reached the highest level
