level,exp,add_attribute
1,1984,1:1:1000|1:2:1000|1:3:1000|1:4:1000|2:3:800|2:1:10000
2,6735,1:1:1300|1:2:1300|1:3:1300|1:4:1300|2:3:1600|2:1:20000
3,14654,1:1:1600|1:2:1600|1:3:1600|1:4:1600|2:3:2400|2:1:30000
4,25741,1:1:1900|1:2:1900|1:3:1900|1:4:1900|2:3:3200|2:1:40000
5,39995,1:1:2200|1:2:2200|1:3:2200|1:4:2200|2:3:4000|2:1:50000
6,57416,1:1:2500|1:2:2500|1:3:2500|1:4:2500|2:3:4800|2:1:60000
7,78006,1:1:2800|1:2:2800|1:3:2800|1:4:2800|2:3:5600|2:1:70000
8,101762,1:1:3100|1:2:3100|1:3:3100|1:4:3100|2:3:6400|2:1:80000
9,128687,1:1:3400|1:2:3400|1:3:3400|1:4:3400|2:3:7200|2:1:90000
10,158779,1:1:3700|1:2:3700|1:3:3700|1:4:3700|2:3:8000|2:1:100000
11,192038,1:1:4000|1:2:4000|1:3:4000|1:4:4000|2:3:8800|2:1:110000
12,228465,1:1:4300|1:2:4300|1:3:4300|1:4:4300|2:3:9600|2:1:120000
13,268060,1:1:4600|1:2:4600|1:3:4600|1:4:4600|2:3:10400|2:1:130000
14,310822,1:1:4900|1:2:4900|1:3:4900|1:4:4900|2:3:11200|2:1:140000
15,356752,1:1:5200|1:2:5200|1:3:5200|1:4:5200|2:3:12000|2:1:150000
16,405849,1:1:5500|1:2:5500|1:3:5500|1:4:5500|2:3:12800|2:1:160000
17,458114,1:1:5800|1:2:5800|1:3:5800|1:4:5800|2:3:13600|2:1:170000
18,513547,1:1:6100|1:2:6100|1:3:6100|1:4:6100|2:3:14400|2:1:180000
19,572147,1:1:6400|1:2:6400|1:3:6400|1:4:6400|2:3:15200|2:1:190000
20,633914,1:1:6700|1:2:6700|1:3:6700|1:4:6700|2:3:16000|2:1:200000
21,698850,1:1:7000|1:2:7000|1:3:7000|1:4:7000|2:3:16800|2:1:210000
22,766952,1:1:7300|1:2:7300|1:3:7300|1:4:7300|2:3:17600|2:1:220000
23,838223,1:1:7600|1:2:7600|1:3:7600|1:4:7600|2:3:18400|2:1:230000
24,912661,1:1:7900|1:2:7900|1:3:7900|1:4:7900|2:3:19200|2:1:240000
25,990266,1:1:8200|1:2:8200|1:3:8200|1:4:8200|2:3:20000|2:1:250000
26,1071039,1:1:8500|1:2:8500|1:3:8500|1:4:8500|2:3:20800|2:1:260000
27,1154980,1:1:8800|1:2:8800|1:3:8800|1:4:8800|2:3:21600|2:1:270000
28,1242088,1:1:9100|1:2:9100|1:3:9100|1:4:9100|2:3:22400|2:1:280000
29,1332364,1:1:9400|1:2:9400|1:3:9400|1:4:9400|2:3:23200|2:1:290000
30,0,1:1:10000|1:2:10000|1:3:10000|1:4:10000|2:3:24000|2:1:300000
