level,exp,upgrade_coin,add_attribute
1,350,10000,2:3:800|2:1:10000|2:17:400|2:6:400|2:7:400|2:5:400
2,450,10000,2:3:1600|2:1:20000|2:17:800|2:6:800|2:7:800|2:5:800
3,600,10000,2:3:2400|2:1:30000|2:17:1200|2:6:1200|2:7:1200|2:5:1200
4,800,10000,2:3:3200|2:1:40000|2:17:1600|2:6:1600|2:7:1600|2:5:1600
5,1050,10000,2:3:4000|2:1:50000|2:17:2000|2:6:2000|2:7:2000|2:5:2000
6,1350,10000,2:3:4800|2:1:60000|2:17:2400|2:6:2400|2:7:2400|2:5:2400
7,1700,10000,2:3:5600|2:1:70000|2:17:2800|2:6:2800|2:7:2800|2:5:2800
8,2100,10000,2:3:6400|2:1:80000|2:17:3200|2:6:3200|2:7:3200|2:5:3200
9,2550,10000,2:3:7200|2:1:90000|2:17:3600|2:6:3600|2:7:3600|2:5:3600
10,2750,10000,2:3:8000|2:1:100000|2:17:4000|2:6:4000|2:7:4000|2:5:4000
11,2970,10000,2:3:8800|2:1:110000|2:17:4400|2:6:4400|2:7:4400|2:5:4400
12,3210,10000,2:3:9600|2:1:120000|2:17:4800|2:6:4800|2:7:4800|2:5:4800
13,3470,10000,2:3:10400|2:1:130000|2:17:5200|2:6:5200|2:7:5200|2:5:5200
14,3750,10000,2:3:11200|2:1:140000|2:17:5600|2:6:5600|2:7:5600|2:5:5600
15,4050,10000,2:3:12000|2:1:150000|2:17:6000|2:6:6000|2:7:6000|2:5:6000
16,4370,10000,2:3:12800|2:1:160000|2:17:6400|2:6:6400|2:7:6400|2:5:6400
17,4710,10000,2:3:13600|2:1:170000|2:17:6800|2:6:6800|2:7:6800|2:5:6800
18,5070,10000,2:3:14400|2:1:180000|2:17:7200|2:6:7200|2:7:7200|2:5:7200
19,5450,10000,2:3:15200|2:1:190000|2:17:7600|2:6:7600|2:7:7600|2:5:7600
20,9450,10000,2:3:16000|2:1:200000|2:17:8000|2:6:8000|2:7:8000|2:5:8000
21,13650,10000,2:3:16800|2:1:210000|2:17:8400|2:6:8400|2:7:8400|2:5:8400
22,18050,10000,2:3:17600|2:1:220000|2:17:8800|2:6:8800|2:7:8800|2:5:8800
23,22650,10000,2:3:18400|2:1:230000|2:17:9200|2:6:9200|2:7:9200|2:5:9200
24,27450,10000,2:3:19200|2:1:240000|2:17:9600|2:6:9600|2:7:9600|2:5:9600
25,32450,10000,2:3:20000|2:1:250000|2:17:10000|2:6:10000|2:7:10000|2:5:10000
26,37650,10000,2:3:20800|2:1:260000|2:17:10400|2:6:10400|2:7:10400|2:5:10400
27,43050,10000,2:3:21600|2:1:270000|2:17:10800|2:6:10800|2:7:10800|2:5:10800
28,48650,10000,2:3:22400|2:1:280000|2:17:11200|2:6:11200|2:7:11200|2:5:11200
29,54450,10000,2:3:23200|2:1:290000|2:17:11600|2:6:11600|2:7:11600|2:5:11600
30,0,0,2:3:24000|2:1:300000|2:17:12000|2:6:12000|2:7:12000|2:5:12000
