level,exp,add_attribute
1,1168,1:1:1000|1:2:1000|1:3:1000|1:4:1000
2,3470,1:1:1300|1:2:1300|1:3:1300|1:4:1300
3,7308,1:1:1600|1:2:1600|1:3:1600|1:4:1600
4,12680,1:1:1900|1:2:1900|1:3:1900|1:4:1900
5,19588,1:1:2200|1:2:2200|1:3:2200|1:4:2200
6,28030,1:1:2500|1:2:2500|1:3:2500|1:4:2500
7,38008,1:1:2800|1:2:2800|1:3:2800|1:4:2800
8,49520,1:1:3100|1:2:3100|1:3:3100|1:4:3100
9,62568,1:1:3400|1:2:3400|1:3:3400|1:4:3400
10,77150,1:1:3700|1:2:3700|1:3:3700|1:4:3700
11,93268,1:1:4000|1:2:4000|1:3:4000|1:4:4000
12,110920,1:1:4300|1:2:4300|1:3:4300|1:4:4300
13,130108,1:1:4600|1:2:4600|1:3:4600|1:4:4600
14,150830,1:1:4900|1:2:4900|1:3:4900|1:4:4900
15,173088,1:1:5200|1:2:5200|1:3:5200|1:4:5200
16,196880,1:1:5500|1:2:5500|1:3:5500|1:4:5500
17,222208,1:1:5800|1:2:5800|1:3:5800|1:4:5800
18,249070,1:1:6100|1:2:6100|1:3:6100|1:4:6100
19,277468,1:1:6400|1:2:6400|1:3:6400|1:4:6400
20,307400,1:1:6700|1:2:6700|1:3:6700|1:4:6700
21,338868,1:1:7000|1:2:7000|1:3:7000|1:4:7000
22,371870,1:1:7300|1:2:7300|1:3:7300|1:4:7300
23,406408,1:1:7600|1:2:7600|1:3:7600|1:4:7600
24,442480,1:1:7900|1:2:7900|1:3:7900|1:4:7900
25,480088,1:1:8200|1:2:8200|1:3:8200|1:4:8200
26,519230,1:1:8500|1:2:8500|1:3:8500|1:4:8500
27,559908,1:1:8800|1:2:8800|1:3:8800|1:4:8800
28,602120,1:1:9100|1:2:9100|1:3:9100|1:4:9100
29,645868,1:1:9400|1:2:9400|1:3:9400|1:4:9400
30,0,1:1:10000|1:2:10000|1:3:10000|1:4:10000
