sid,type,is_normal,init_anger,use_need_anger,kill_enemy_trigger,cause_damage_trigger,before_fight_trigger,action_trigger,die_trigger,after_action_trigger,mp_cost,eid,open_level,show_popup,adjust_target_position,prepare_anim,skill_anim,multi_target_spacing_time,name,icon,info,simple_info,skill_tag,mr_skill_add_attr_info,mr_skill_awake_enhance_info,anger_skill_hero_bg,frame_id
9999,1,0,0,0,0,0,1,0,0,0,0,9999,1,0,0,,,0,首领,10000.jpg,(主线BOSS专用)进入战斗时，获得【首领】状态,(进入战斗时，获得【首领】状态,8,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
10000,1,1,0,0,0,0,0,0,0,0,0,10000,1,0,0,attack_act,,0,Basic Attack,10000.jpg,Just a basic attack that looks normal and is indeed normal,Basic Attack,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
10001,1,1,0,0,0,0,0,0,0,0,0,10001,1,0,0,attack_act,,0,Basic Attack,10000.jpg,Just a basic attack that looks normal and is indeed normal,Basic Attack,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
10002,1,1,0,0,0,0,0,0,0,0,0,10002,1,0,0,attack_2_act,,0,Basic Attack,10000.jpg,Just a basic attack that looks normal and is indeed normal,Basic Attack,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
10003,1,1,0,0,0,0,0,0,0,0,0,10003,1,0,0,attack_3_act,,0,Basic Attack,10000.jpg,Just a basic attack that looks normal and is indeed normal,Basic Attack,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000001,1,0,0,0,0,0,0,0,0,0,0,100000101,1,0,0,HQMW_act,HQMW_att,0,Strong poison 1,10000.jpg,"Apply [poison] until the battle ends, lose 5% of max HP every round. [Poison] can stack, up to 5 times.",Causes 1 enemy to lose HP each turn until the end of the battle.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000002,1,0,0,0,0,0,0,0,0,0,0,100000102,1,0,0,HQMW_act,HQMW_att,0,Strong poison 2,10000.jpg,"Apply [poison] until the battle ends, lose 5% of max HP every round. [Poison] can stack, up to 5 times. (can not be dispelled）",Causes 1 enemy to lose HP each turn until the end of the battle.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000003,1,0,0,0,0,0,0,0,0,0,0,100000103,1,0,0,HQMW_act,HQMW_att,0,Strong poison 3,10000.jpg,"Apply [poison] until the battle ends, lose 10% of max HP every round. [Poison] can stack, up to 5 times.",Causes 1 enemy to lose HP each turn until the end of the battle.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000004,1,0,0,0,0,0,0,0,0,0,0,100000104,1,0,0,HQMW_act,HQMW_att,0,Strong poison 4,10000.jpg,"Apply [poison] until the battle ends, lose 10% of max HP every round. [Poison] can stack and undispellable, up to 5 times.",Causes 1 enemy to lose HP each turn until the end of the battle.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000005,1,0,0,0,0,0,0,0,0,0,0,100000105,1,0,0,1008_act,,0,Stack Armor 1,10000.jpg,"[Blessing] to self, which increase ATK by 40% and DEF by 40%, lasts for 3 rounds. [Blessing] can lasts until the battle ends and can stack, up to 5 times.",Increases your own attributes for 3 rounds.,4,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100000006,1,0,0,0,0,0,0,0,0,0,0,100000106,1,0,0,1008_act,,0,Stack Armor 2,10000.jpg,"[Blessing] to self, which increase ATK by 40% and DEF by 40%, lasts for 3 rounds. [Blessing] can lasts until the battle ends and can stack, up to 5 times. (can not be dispelled）",Increases your own attributes for 3 rounds.,4,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100101001,1,0,0,0,0,0,0,0,0,0,100,100101101,8,0,0,1001_act,,0,Heroic Strike,1001.jpg,Deals 240% P.DMG to 1 enemy,Deals P.DMG to 1 enemy.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100102001,1,0,0,0,0,0,0,0,0,0,250,100102101,10,0,0,1002_act,,0,Storm Hammer,1002.jpg,Deals 280% P.DMG to 1 enemy and has 50% chance to stun the enemy for 1 round.,Deals P.DMG to 1 enemy with a chance to prevent them from acting for 1 round.,1|2,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100103001,1,0,0,0,0,0,0,0,0,0,200,100103101,15,0,0,1003_act,,0,First Aid,1003.jpg,Heals 1 angel of our team with the lowest HP by 100%,Restores HP to 1 ally.,5,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
100104001,1,0,0,0,0,0,0,0,0,0,300,100104101,20,0,0,1004_act,1004_att,0,Bladestorm,1004.jpg,Deals 200% P.DMG to 3 enemies in front row,Deals P.DMG to 3 enemies.,1,策划配置：MR技能增加的属性,策划配置：MR觉醒技能强化描述,,0
