layer,reward,reward_first,normal_monster_npc_id_list,multi_npc_id_list_array[0],multi_npc_id_list_array[1],max_round,desc
1,1:1:11000|1:4:10,1:1:1100|1:4:10|5:3000007:1,3001|3001|3001|3001|3001|3001,,,30,Be careful of the high magic damage!
2,1:1:12000|1:4:10,1:1:1200|1:4:10,3002|3002|3002|3002|3002|3002,,,30,Shadow archers always appear in darkness.
3,1:1:13000|1:4:10,1:1:1300|1:4:10,3003|3003|3003|3003|3003|3003,,,30,Death warriors are unbeatable!
4,1:1:14000|1:4:10,1:1:1400|1:4:10,3004|3004|3004|3004|3004|3004,,,30,Be careful of the high magic damage!
5,1:1:15000|1:4:10,1:1:1500|1:4:10,3005|3005|3005|3005|3005|3005,,,30,Shadow archers always appear in darkness.
6,1:1:16000|1:4:10,1:1:1600|1:4:10,3006|3006|3006|3006|3006|3006,,,30,Death warriors are unbeatable!
7,1:1:17000|1:4:10,1:1:1700|1:4:10,3007|3007|3007|3007|3007|3007,,,30,Be careful of the high magic damage!
8,1:1:18000|1:4:10,1:1:1800|1:4:10,3008|3008|3008|3008|3008|3008,,,30,Shadow archers always appear in darkness.
9,1:1:19000|1:4:10,1:1:1900|1:4:10,3009|3009|3009|3009|3009|3009,,,30,Death warriors are unbeatable!
10,1:1:20000|5:1000004:1,1:1:2000|1:4:10|5:3000007:5,3010|3010|3010|3010|3010|3010,,,30,Man-faced Spiders have higher DEF than normal monsters.
11,1:1:21000|1:4:10,1:1:2100|1:4:10,3011|3011|3011|3011|3011|3011,,,30,Shadow archers always appear in darkness.
12,1:1:22000|1:4:10,1:1:2200|1:4:10,3012|3012|3012|3012|3012|3012,,,30,Death warriors are unbeatable!
13,1:1:23000|1:4:10,1:1:2300|1:4:10,3013|3013|3013|3013|3013|3013,,,30,Be careful of the high magic damage!
14,1:1:24000|1:4:10,1:1:2400|1:4:10,3014|3014|3014|3014|3014|3014,,,30,Shadow archers always appear in darkness.
15,1:1:25000|1:4:10,1:1:2500|1:4:10,3015|3015|3015|3015|3015|3015,,,30,Death warriors are unbeatable!
16,1:1:26000|1:4:10,1:1:2600|1:4:10,3016|3016|3016|3016|3016|3016,,,30,Be careful of the high magic damage!
17,1:1:27000|1:4:10,1:1:2700|1:4:10,3017|3017|3017|3017|3017|3017,,,30,Shadow archers always appear in darkness.
18,1:1:28000|1:4:10,1:1:2800|1:4:10,3018|3018|3018|3018|3018|3018,,,30,Death warriors are unbeatable!
19,1:1:29000|1:4:10,1:1:2900|1:4:10,3019|3019|3019|3019|3019|3019,,,30,Be careful of the high magic damage!
20,1:1:30000|5:1000004:1,1:1:3000|1:4:10|5:3000007:5,3020|3020|3020|3020|3020|3020,,,30,"Incredible crit, much higher ACC and EVA. Ladies of Snow are dangers!"
