id,cid,awake,skill_id,need_debris_count,max_level
1,1,0,33311101,0,10
2,1,1,33312101,1,20
3,1,2,33313101,1,30
4,1,3,33314101,2,35
5,1,4,33315101,2,40
6,1,5,33316101,3,50
7,2,0,33321101,0,10
8,2,1,33322101,1,20
9,2,2,33323101,1,30
10,2,3,33324101,2,35
11,2,4,33325101,2,40
12,2,5,33326101,3,50
13,3,0,33331101,0,10
14,3,1,33332101,1,20
15,3,2,33333101,1,30
16,3,3,33334101,2,35
17,3,4,33335101,2,40
18,3,5,33336101,3,50
19,4,0,33341101,0,10
20,4,1,33342101,1,20
21,4,2,33343101,1,30
22,4,3,33344101,2,35
23,4,4,33345101,2,40
24,4,5,33346101,3,50
25,5,0,33351101,0,10
26,5,1,33352101,1,20
27,5,2,33353101,1,30
28,5,3,33354101,2,35
29,5,4,33355101,2,40
30,5,5,33356101,3,50
31,6,0,33361101,0,10
32,6,1,33362101,1,20
33,6,2,33363101,1,30
34,6,3,33364101,2,35
35,6,4,33365101,2,40
36,6,5,33366101,3,50
37,7,0,33371101,0,10
38,7,1,33372101,1,20
39,7,2,33373101,1,30
40,7,3,33374101,2,35
41,7,4,33375101,2,40
42,7,5,33376101,3,50
43,8,0,33381101,0,10
44,8,1,33382101,1,20
45,8,2,33383101,1,30
46,8,3,33384101,2,35
47,8,4,33385101,2,40
48,8,5,33386101,3,50
49,9,0,33391101,0,10
50,9,1,33392101,1,20
51,9,2,33393101,1,30
52,9,3,33394101,2,35
53,9,4,33395101,2,40
54,9,5,33396101,3,50
55,10,0,33401101,0,10
56,10,1,33402101,1,20
57,10,2,33403101,1,30
58,10,3,33404101,2,35
59,10,4,33405101,2,40
60,10,5,33406101,3,50
61,11,0,33411101,0,10
62,11,1,33412101,1,20
63,11,2,33413101,1,30
64,11,3,33414101,2,35
65,11,4,33415101,2,40
66,11,5,33416101,3,50
67,12,0,33421101,0,10
68,12,1,33422101,1,20
69,12,2,33423101,1,30
70,12,3,33424101,2,35
71,12,4,33425101,2,40
72,12,5,33426101,3,50
73,13,0,33431101,0,10
74,13,1,33432101,1,20
75,13,2,33433101,1,30
76,13,3,33434101,2,35
77,13,4,33435101,2,40
78,13,5,33436101,3,50
