id,angel_cid,level,need_exp,strength,agility,intelligence,stamina,fight_attr
1,1,1,0,0,0,0,0,3:1:100|3:2:100|3:4:100
2,1,2,1000,0,0,0,0,3:1:103|3:2:103|3:4:103
3,1,3,1500,0,0,0,0,3:1:106|3:2:106|3:4:106
4,1,4,2200,0,0,0,0,3:1:109|3:2:109|3:4:109
5,1,5,3000,0,0,0,0,3:1:112|3:2:112|3:4:112
6,1,6,3700,0,0,0,0,3:1:115|3:2:115|3:4:115
7,1,7,4500,0,0,0,0,3:1:118|3:2:118|3:4:118
8,1,8,5300,0,0,0,0,3:1:121|3:2:121|3:4:121
9,1,9,6100,0,0,0,0,3:1:124|3:2:124|3:4:124
10,1,10,6900,0,0,0,0,3:1:127|3:2:127|3:4:127
11,1,11,7700,0,0,0,0,3:1:130|3:2:130|3:4:130
12,1,12,8600,0,0,0,0,3:1:133|3:2:133|3:4:133
13,1,13,9500,0,0,0,0,3:1:136|3:2:136|3:4:136
14,1,14,10300,0,0,0,0,3:1:139|3:2:139|3:4:139
15,1,15,11200,0,0,0,0,3:1:142|3:2:142|3:4:142
16,1,16,12100,0,0,0,0,3:1:145|3:2:145|3:4:145
17,1,17,13000,0,0,0,0,3:1:148|3:2:148|3:4:148
18,1,18,14000,0,0,0,0,3:1:151|3:2:151|3:4:151
19,1,19,14900,0,0,0,0,3:1:154|3:2:154|3:4:154
20,1,20,15800,0,0,0,0,3:1:157|3:2:157|3:4:157
21,1,21,16500,0,0,0,0,3:1:160|3:2:160|3:4:160
22,1,22,16500,0,0,0,0,3:1:163|3:2:163|3:4:163
23,1,23,16500,0,0,0,0,3:1:166|3:2:166|3:4:166
24,1,24,16500,0,0,0,0,3:1:169|3:2:169|3:4:169
25,1,25,16500,0,0,0,0,3:1:172|3:2:172|3:4:172
26,1,26,16500,0,0,0,0,3:1:175|3:2:175|3:4:175
27,1,27,16500,0,0,0,0,3:1:178|3:2:178|3:4:178
28,1,28,16500,0,0,0,0,3:1:181|3:2:181|3:4:181
29,1,29,16500,0,0,0,0,3:1:184|3:2:184|3:4:184
30,1,30,16500,0,0,0,0,3:1:187|3:2:187|3:4:187
31,1,31,16500,0,0,0,0,3:1:190|3:2:190|3:4:190
32,1,32,16500,0,0,0,0,3:1:193|3:2:193|3:4:193
33,1,33,16500,0,0,0,0,3:1:196|3:2:196|3:4:196
34,1,34,16500,0,0,0,0,3:1:199|3:2:199|3:4:199
35,1,35,16500,0,0,0,0,3:1:202|3:2:202|3:4:202
36,1,36,16500,0,0,0,0,3:1:205|3:2:205|3:4:205
37,1,37,16500,0,0,0,0,3:1:208|3:2:208|3:4:208
38,1,38,16500,0,0,0,0,3:1:211|3:2:211|3:4:211
39,1,39,16500,0,0,0,0,3:1:214|3:2:214|3:4:214
40,1,40,16500,0,0,0,0,3:1:217|3:2:217|3:4:217
41,1,41,16500,0,0,0,0,3:1:220|3:2:220|3:4:220
42,1,42,16500,0,0,0,0,3:1:223|3:2:223|3:4:223
43,1,43,16500,0,0,0,0,3:1:226|3:2:226|3:4:226
44,1,44,16500,0,0,0,0,3:1:229|3:2:229|3:4:229
45,1,45,16500,0,0,0,0,3:1:232|3:2:232|3:4:232
