index,hero_quality_level,awake_count,give_goods_one,give_goods_two
1,1,0,5,0
2,1,1,2,0
3,1,2,3,0
4,2,0,5,0
5,2,1,2,0
6,2,2,3,0
7,2,3,5,0
8,3,0,5,0
9,3,1,2,0
10,3,2,3,0
11,3,3,5,0
12,4,0,10,0
13,4,1,3,0
14,4,2,5,0
15,4,3,7,0
16,4,4,10,0
17,5,0,10,0
18,5,1,3,0
19,5,2,5,0
20,5,3,7,0
21,5,4,10,0
22,6,0,15,0
23,6,1,5,0
24,6,2,10,0
25,6,3,15,0
26,6,4,15,0
27,6,5,15,0
28,7,0,15,0
29,7,1,5,0
30,7,2,10,0
31,7,3,15,0
32,7,4,15,0
33,7,5,15,0
34,8,0,20,4
35,8,1,5,1
36,8,2,10,1
37,8,3,15,2
38,8,4,20,3
39,8,5,20,4
40,9,0,20,5
41,9,1,10,1
42,9,2,10,2
43,9,3,15,3
44,9,4,20,4
45,9,5,20,5
46,15,0,25,10
47,15,1,10,2
48,15,2,15,4
49,15,3,20,6
50,15,4,30,8
51,15,5,30,10
52,101,0,25,10
53,101,1,10,2
54,101,2,15,4
55,101,3,20,6
56,101,4,30,8
57,101,5,30,10
