id,name,resource_type,resource_id
0,Lv.,5,3000006
1,Star,5,3000027
2,Training,5,3000007
3,Destiny Star,27,1001
4,Affinity,5,7000003
5,Fashion,5,3000148
6,Gear,5,5100001
7,Enhance,1,4
8,Gear Ascend,5,5100005
9,Essence Level,5,5100004
10,Essence Stats,5,5100004
11,Gem,4,101
12,Artifact,5,3000011
13,Attire Level,5,3000066
14,Attire Quality,5,5100002
15,Relic Level,5,3000139
16,Relic Awaken,15,150001
17,Seraphel Level,5,3000295
18,Seraphel Star Level,5,5100003
19,Angels Temple,0,0
20,Holy Hall,5,7000003
21,Wonder Hall,0,0
22,Talent,5,3000092
23,Gem Resonance,4,101
24,Artifact Resonance,5,3000011
25,Attire Resonance,5,5100002
26,Trial Palace,0,0
27,Eudemons Star Level,5,5100006
28,Eudemons Level,5,3000104
29,Miracle Card,0,0
30,Apotheosis,5,5100007
