task_id,task_type,task_condition,task_value,reward,name,content,content_param,link
14000001,14,97,5,5:3000052:1,Daily Bonus,Watch game AD 5 times,,109|1
14000002,14,48,3,5:3000052:1,Daily Sweeping,Sweep Sky-tower 3 times,,10
14000003,14,6,50,5:3000052:1,Daily Training,Train an Angel 50 times,,1|2
14000004,14,81,10000,5:3000052:1,Daily Enhancing,Consume 10000 Enhance Essences,,1|0
14000005,14,26,5,5:3000052:1,Daily Contest,Challenge the Arena 5 times,,3|0
14000006,14,93,3,5:3000052:1,Daily Craft,Craft 3 pieces of gear or artifacts,,102|1
14000007,14,11,100,5:3000052:1,Daily Smelting,Smelt gear 100 times,,102|0
14000008,14,33,5,5:3000052:1,Daily Adventures,Adventure 5 times,,5
14000009,14,99,5,5:3000052:1,Daily Shop,Purchase 5 times from the shop,,2|0
14000010,14,25,3,5:3000052:1,Daily Quick-combat,Quick-combat 3 times,,4
14000011,14,92,3,5:3000052:1,Daily Summon,Summon 3 times,,8
