task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,holiday_td_active_value,name,content,content_param,link
1100001,41,1,1100001,0,0,10002,1000,1:2:10,20,战斗中精灵召唤,活动期间累积召唤精灵1000次,,
1100002,41,1,1100001,0,1100001,10002,3000,1:2:10,20,战斗中精灵召唤,活动期间累积召唤精灵3000次,,
1100003,41,1,1100001,0,1100002,10002,5000,1:2:10,20,战斗中精灵召唤,活动期间累积召唤精灵5000次,,
1300001,41,1,1300001,0,0,10007,500,1:2:10,20,通过波次,活动期间累积通过500波,,
1300002,41,1,1300001,0,1300001,10007,1500,1:2:10,20,通过波次,活动期间累积通过1500波,,
1300003,41,1,1300001,1,1300002,10007,3000,1:2:10,20,通过波次,活动期间累积通过3000波,,
1400001,41,1,1400001,0,0,10001,5000,1:2:10,20,杀死小怪,活动期间累积击败怪物5000次,,
1400002,41,1,1400001,0,1400001,10001,10000,1:2:10,20,杀死小怪,活动期间累积击败怪物10000次,,
1400003,41,1,1400001,0,1400002,10001,20000,1:2:10,20,杀死小怪,活动期间累积击败怪物20000次,,
1500001,41,1,1500001,0,0,10006,10,1:2:10,20,杀死boss,活动期间累积击败首领10次,,
1500002,41,1,1500001,0,1500001,10006,30,1:2:10,20,杀死boss,活动期间累积击败首领30次,,
1500003,41,1,1500001,1,1500002,10006,50,1:2:10,20,杀死boss,活动期间累积击败首领50次,,
1600001,41,1,1600001,0,0,10000,5,1:2:10,20,累积战斗,活动期间累积战斗5次,,
1600002,41,1,1600001,0,1600001,10000,15,1:2:10,20,累积战斗,活动期间累积战斗15次,,
1600003,41,1,1600001,1,1600002,10000,30,1:2:10,20,累积战斗,活动期间累积战斗30次,,
1700001,41,1,1700001,0,0,10003,50,1:2:10,20,招募,活动期间圣晶石招募50次,,
1700002,41,1,1700001,0,1700001,10003,100,1:2:10,20,招募,活动期间圣晶石招募100次,,
1700003,41,1,1700001,1,1700002,10003,200,1:2:10,20,招募,活动期间圣晶石招募200次,,
