task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
3140001,3,1,0,0,0,54,1,1:1:100000|1:2:100,Account Binding,Bind with any social account,,
3150001,3,1,3150001,0,0,8,1,1:1:50000|1:2:50,女神升星,Any Angel awaken to {0} star,1,
3150002,3,1,3150001,1,3150001,8,2,1:1:100000|1:2:100,女神升星,Any Angel awakens to 2 star,,
3150003,3,1,3150001,2,3150002,8,3,1:1:150000|1:2:150,女神升星,Any Angel awakens to 3 star,,
3150004,3,1,3150001,3,3150003,8,4,1:1:200000|1:2:200,女神升星,Any Angel awakens to 4 star,,
3150005,3,1,3150001,4,3150004,8,5,1:1:300000|1:2:300,女神升星,Any Angel awakens to 5 star,,
3160001,3,1,3160001,0,0,30,10000,1:1:10000|1:2:50,战力提升,Combat Rating reaches 10000,,
3160002,3,1,3160001,1,3160001,30,30000,1:1:30000|1:2:100,战力提升,Combat Rating reaches 30000,,
3160003,3,1,3160001,2,3160002,30,100000,1:1:40000|1:2:150,战力提升,Combat Rating reaches 100000,,
3160004,3,1,3160001,3,3160003,30,500000,1:1:80000|1:2:200,战力提升,Combat Rating reaches 500000,,
3160005,3,1,3160001,4,3160004,30,1000000,1:1:90000|1:2:250,战力提升,Combat Rating reaches 1000000,,
3160006,3,1,3160001,5,3160005,30,2000000,1:1:110000|1:2:300,战力提升,Combat Rating reaches 2000000,,
3160007,3,1,3160001,6,3160006,30,3000000,1:1:130000|1:2:350,战力提升,Combat Rating reaches 3000000,,
3160008,3,1,3160001,7,3160007,30,5000000,1:1:170000|1:2:400,战力提升,Combat Rating reaches 5000000,,
3160009,3,1,3160001,8,3160008,30,8000000,1:1:200000|1:2:450,战力提升,Combat Rating reaches 8000000,,
3160010,3,1,3160001,9,3160009,30,10000000,1:1:220000|1:2:500,战力提升,Combat Rating reaches 10000000,,
3160011,3,1,3160001,10,3160010,30,11000000,1:1:230000|1:2:550,战力提升,Combat Rating reaches 11000000,,
3160012,3,1,3160001,11,3160011,30,12000000,1:1:240000|1:2:600,战力提升,Combat Rating reaches 12000000,,
3160013,3,1,3160001,12,3160012,30,13000000,1:1:250000|1:2:650,战力提升,Combat Rating reaches 13000000,,
3160014,3,1,3160001,13,3160013,30,14000000,1:1:260000|1:2:700,战力提升,Combat Rating reaches 14000000,,
3160015,3,1,3160001,14,3160014,30,15000000,1:1:270000|1:2:750,战力提升,Combat Rating reaches 15000000,,
3160016,3,1,3160001,15,3160015,30,20000000,1:1:280000|1:2:800,战力提升,Combat Rating reaches 20000000,,
3170001,3,20,3170001,0,0,28,3000,1:2:50,pvp排名,No.3000 in Arena,,
3170002,3,20,3170001,1,3170001,28,2000,1:2:50,pvp排名,No.2000 in Arena,,
3170003,3,20,3170001,2,3170002,28,1000,1:2:50,pvp排名,No.1000 in Arena,,
3170004,3,20,3170001,3,3170003,28,500,1:2:50,pvp排名,No.500 in Arena,,
3170005,3,20,3170001,4,3170004,28,300,1:2:50,pvp排名,No.300 in Arena,,
3170006,3,20,3170001,5,3170005,28,200,1:2:100,pvp排名,No.200 in Arena,,
3170007,3,20,3170001,6,3170006,28,100,1:2:100,pvp排名,No.100 in Arena,,
3170008,3,20,3170001,7,3170007,28,50,1:2:100,pvp排名,No.50 in Arena,,
3170009,3,20,3170001,8,3170008,28,30,1:2:100,pvp排名,No.30 in Arena,,
3170010,3,20,3170001,9,3170009,28,20,1:2:200,pvp排名,No.20 in Arena,,
3170011,3,20,3170001,10,3170010,28,10,1:2:200,pvp排名,No.10 in Arena,,
3170012,3,20,3170001,11,3170011,28,5,1:2:300,pvp排名,No.5 in Arena,,
3170013,3,20,3170001,12,3170012,28,1,1:2:500,pvp排名,No.1 in Arena,,
3180001,3,1,3180001,0,0,25,5,5:2000006:1,Quick combat,Quick Combat 5 times,,
3180002,3,1,3180001,1,3180001,25,10,5:2000006:1,Quick combat,Quick Combat 10 times,,
3180003,3,1,3180001,2,3180002,25,20,5:2000006:1,Quick combat,Quick Combat 20 times,,
3180004,3,1,3180001,3,3180003,25,30,5:2000006:1,Quick combat,Quick Combat 30 times,,
3180005,3,1,3180001,4,3180004,25,50,5:2000006:1,Quick combat,Quick Combat 50 times,,
3180006,3,1,3180001,5,3180005,25,80,5:2000006:1,Quick combat,Quick Combat 80 times,,
3180007,3,1,3180001,6,3180006,25,110,5:2000006:1,Quick combat,Quick Combat 110 times,,
3180008,3,1,3180001,7,3180007,25,140,5:2000006:1,Quick combat,Quick Combat 140 times,,
3180009,3,1,3180001,8,3180008,25,170,5:2000006:1,Quick combat,Quick Combat 170 times,,
3180010,3,1,3180001,9,3180009,25,200,5:2000006:1,Quick combat,Quick Combat 200 times,,
3180011,3,1,3180001,10,3180010,25,250,5:2000006:1,Quick combat,Quick Combat 250 times,,
3180012,3,1,3180001,11,3180011,25,300,5:2000006:1,Quick combat,Quick Combat 300 times,,
3180013,3,1,3180001,12,3180012,25,350,5:2000006:1,Quick combat,Quick Combat 350 times,,
3180014,3,1,3180001,13,3180013,25,400,5:2000006:1,Quick combat,Quick Combat 400 times,,
3180015,3,1,3180001,14,3180014,25,450,5:2000006:1,Quick combat,Quick Combat 450 times,,
3180016,3,1,3180001,15,3180015,25,500,5:2000006:1,Quick combat,Quick Combat 500 times,,
3190001,3,5,3190001,0,0,11,50,1:1:10000|1:3:100,Smelt,Smelt gear 50 times,,
3190002,3,5,3190001,1,3190001,11,100,1:1:20000|1:3:200,Smelt,Smelt gear 100 times,,
3190003,3,5,3190001,2,3190002,11,200,1:1:30000|1:3:500,Smelt,Smelt gear 200 times,,
3190004,3,5,3190001,3,3190003,11,500,1:1:40000|1:3:1000,Smelt,Smelt gear 500 times,,
3190005,3,5,3190001,4,3190004,11,1000,1:1:50000|1:3:2000,Smelt,Smelt gear 1000 times,,
3190006,3,5,3190001,5,3190005,11,2000,1:1:60000|1:3:5000,Smelt,Smelt gear 2000 times,,
3190007,3,5,3190001,6,3190006,11,5000,1:1:70000|1:3:10000,Smelt,Smelt gear 5000 times,,
3190008,3,5,3190001,7,3190007,11,10000,1:1:80000|1:3:15000,Smelt,Smelt gear 10000 times,,
3190009,3,5,3190001,8,3190008,11,20000,1:1:90000|1:3:20000,Smelt,Smelt gear 20000 times,,
3190010,3,5,3190001,9,3190009,11,30000,1:1:100000|1:3:25000,Smelt,Smelt gear 30000 times,,
3190011,3,5,3190001,10,3190010,11,40000,1:1:110000|1:3:30000,Smelt,Smelt gear 40000 times,,
3190012,3,5,3190001,11,3190011,11,50000,1:1:120000|1:3:35000,Smelt,Smelt gear 50000 times,,
3190013,3,5,3190001,12,3190012,11,60000,1:1:130000|1:3:40000,Smelt,Smelt gear 60000 times,,
3190014,3,5,3190001,13,3190013,11,70000,1:1:140000|1:3:45000,Smelt,Smelt gear 70000 times,,
3190015,3,5,3190001,14,3190014,11,80000,1:1:150000|1:3:50000,Smelt,Smelt gear 80000 times,,
3190016,3,5,3190001,15,3190015,11,90000,1:1:160000|1:3:55000,Smelt,Smelt gear 90000 times,,
3190017,3,5,3190001,16,3190016,11,100000,1:1:170000|1:3:60000,Smelt,Smelt gear 100000 times,,
3200001,3,1,3200001,0,0,84,6,13:1006:1,VIP提升,Reach VIP Lv.6,,
3200002,3,1,3200001,1,3200001,84,7,13:1007:1,VIP提升,Reach VIP Lv.7,,
3200003,3,1,3200001,2,3200002,84,8,13:1008:1,VIP提升,Reach VIP Lv.8,,
3200004,3,1,3200001,3,3200003,84,9,13:1009:1,VIP提升,Reach VIP Lv.9,,
3200005,3,1,3200001,4,3200004,84,10,13:1010:1,VIP提升,Reach VIP Lv.10,,
3200006,3,1,3200001,5,3200005,84,11,13:1011:1,VIP提升,Reach VIP Lv.11,,
3200007,3,1,3200001,6,3200006,84,12,13:1012:1,VIP提升,Reach VIP Lv.12,,
3200008,3,1,3200001,7,3200007,84,13,13:1013:1,VIP提升,Reach VIP Lv.13,,
3200009,3,1,3200001,8,3200008,84,14,13:1014:1,VIP提升,Reach VIP Lv.14,,
3200010,3,1,3200001,9,3200009,84,15,13:1015:1,VIP提升,Reach VIP Lv.15,,
3200011,3,1,3200001,10,3200010,84,15,18:1003:1,VIP提升,Reach VIP Lv.15,,
3200012,3,1,3200001,11,3200011,84,16,13:1016:1|18:1016:1,VIP提升,VIP Level reached 16,,
3200013,3,1,3200001,12,3200012,84,17,13:1017:1|18:1017:1,VIP提升,VIP Level reached 17,,
3200014,3,1,3200001,13,3200013,84,18,13:1018:1|18:1018:1,VIP提升,VIP Level reached 18,,
3200015,3,1,3200001,14,3200014,84,19,13:1019:1|18:1019:1,VIP提升,VIP Level reached 19,,
3200016,3,1,3200001,15,3200015,84,20,13:1020:1|18:1020:1,VIP提升,VIP Level reached 20,,
3210001,3,50,3210001,0,0,88,1,13:2001:1,Glory Arena,Become Top 8 at Glory Arena,,
3210002,3,50,3210001,1,3210001,89,1,13:2002:1,Glory Arena,Become Top 4 at Glory Arena,,
3210003,3,50,3210001,2,3210002,90,1,13:2003:1,Glory Arena,Become Top 2 at Glory Arena,,
3210004,3,50,3210001,3,3210003,91,1,13:2004:1,Glory Arena,Win Glory Arena championship,,
3210005,3,50,3210001,4,3210004,91,2,13:2005:1,Glory Arena,Win Glory Arena championship 2 times,,
3220001,3,25,3220001,0,0,115,30,1:1:10000|1:2:10,World Boss,Defeat Lv.30 World Boss,,
3220002,3,25,3220001,1,3220001,115,40,1:1:20000|1:2:10,World Boss,Defeat Lv.40 World Boss,,
